,Loss
0,6.347158
1,5.4184504
2,5.484402
3,5.462624
4,5.3147173
5,5.09031
6,5.0344276
7,4.871669
8,4.8178515
9,4.774964
10,4.6946807
11,4.6150393
12,4.519496
13,4.471108
14,4.394379
15,4.285456
16,4.2528386
17,4.1599994
18,4.125347
19,4.0428414
20,3.9688778
21,3.9064813
22,3.8402386
23,3.792606
24,3.7170274
25,3.649915
26,3.5972707
27,3.547091
28,3.4894524
29,3.43071
30,3.3665593
31,3.302559
32,3.2521417
33,3.1943612
34,3.1519501
35,3.0809345
36,3.0410812
37,2.9764984
38,2.9383564
39,2.882188
40,2.8337162
41,2.7841082
42,2.7355833
43,2.685936
44,2.645738
45,2.5917659
46,2.552729
47,2.5074198
48,2.469732
49,2.4257817
50,2.3767054
51,2.3413317
52,2.2971992
53,2.2586122
54,2.2158196
55,2.182114
56,2.140637
57,2.1051147
58,2.0697083
59,2.032965
60,2.0016677
61,1.9627606
62,1.9296441
63,1.8956541
64,1.8604887
65,1.8318189
66,1.7995852
67,1.7704544
68,1.7384788
69,1.7042006
70,1.6770295
71,1.6503731
72,1.6192796
73,1.5923827
74,1.5640237
75,1.5368706
76,1.5099105
77,1.4887601
78,1.4608542
79,1.4389743
80,1.4116944
81,1.3866798
82,1.3636657
83,1.3404928
84,1.3175213
85,1.2973868
86,1.2740449
87,1.2501221
88,1.2293462
89,1.2049377
90,1.185586
91,1.1639668
92,1.1486108
93,1.1254396
94,1.1088527
95,1.0876644
96,1.0730094
97,1.0539445
98,1.0329331
99,1.0191097
100,0.99808985
101,0.98467314
102,0.96574056
103,0.9482414
104,0.93504816
105,0.91732234
106,0.9070732
107,0.8850354
108,0.87502515
109,0.8610101
110,0.8434732
111,0.8313835
112,0.8141491
113,0.80245477
114,0.7894823
115,0.7764611
116,0.7606482
117,0.74900687
118,0.73887414
119,0.72807354
120,0.7131328
121,0.70627266
122,0.690677
123,0.6837845
124,0.6683398
125,0.6578512
126,0.64839363
127,0.6394229
128,0.63116074
129,0.6195433
130,0.60936993
131,0.5975082
132,0.587277
133,0.58181417
134,0.5705043
135,0.562153
136,0.5560065
137,0.54612356
138,0.5348778
139,0.5285734
140,0.51921785
141,0.5095808
142,0.50558555
143,0.49340537
144,0.48849532
145,0.48293173
146,0.47636092
147,0.4682099
148,0.46007866
149,0.45375186
150,0.4462327
151,0.44125503
152,0.43328825
153,0.4280504
154,0.42197305
155,0.41597515
156,0.40812737
