,Loss
0,5.9670844
1,5.5479245
2,5.4902983
3,5.571683
4,5.4997644
5,5.159281
6,5.1216474
7,5.096352
8,5.078932
9,4.943565
10,4.974671
11,4.9118366
12,4.813848
13,4.678305
14,4.6183357
15,4.5786104
16,4.563102
17,4.443022
18,4.413773
19,4.3111644
20,4.3000193
21,4.2679467
22,4.1407633
23,4.1372724
24,4.102404
25,4.004615
26,3.9834876
27,3.887631
28,3.8822842
29,3.8097773
30,3.7574296
31,3.7321618
32,3.6375787
33,3.5868266
34,3.6081502
35,3.5288656
36,3.4665763
37,3.400942
38,3.3766985
39,3.3507698
40,3.2665873
41,3.2786298
42,3.174659
43,3.1526494
44,3.1197197
45,3.0985413
46,3.0414464
47,2.993924
48,2.9389765
49,2.9167225
50,2.8815908
51,2.8426397
52,2.8074296
53,2.7515247
54,2.7568717
55,2.6957755
56,2.6560423
57,2.6301482
58,2.5867355
59,2.5621374
60,2.5235076
61,2.487467
62,2.444227
63,2.4104404
64,2.3756077
65,2.3373508
66,2.3437834
67,2.302556
68,2.2700374
69,2.2547894
70,2.2009656
71,2.2088878
72,2.1652973
73,2.1148937
74,2.099301
75,2.0776765
76,2.04038
77,2.006326
78,1.9995332
79,1.967586
80,1.9426966
81,1.9292378
82,1.8921821
83,1.8708985
84,1.835237
85,1.8192326
86,1.8055546
87,1.7752292
88,1.7429842
89,1.7387311
90,1.6981255
91,1.6832652
92,1.6583542
93,1.6356032
94,1.6143496
95,1.5857986
96,1.5831391
97,1.5536245
98,1.5395038
99,1.5058527
100,1.5008385
101,1.491499
102,1.4664396
103,1.4332501
104,1.419592
105,1.3963687
106,1.3986481
107,1.370872
108,1.3420862
109,1.3362341
110,1.309061
111,1.3022707
112,1.2927784
113,1.283215
114,1.262731
115,1.2358947
116,1.2293575
117,1.2015616
118,1.1984286
119,1.1698192
120,1.164598
121,1.1459553
122,1.1361897
123,1.1238537
124,1.1140082
125,1.1010649
126,1.0802448
127,1.0719537
128,1.0685092
129,1.0480882
130,1.0252306
131,1.0197223
132,1.0088083
133,0.9899622
134,0.99639964
135,0.9754398
136,0.9622679
137,0.9484095
138,0.9310493
139,0.9170957
140,0.9124813
141,0.91740173
142,0.8925997
143,0.89307964
144,0.8826152
145,0.87320924
146,0.852513
147,0.8527203
148,0.8337404
149,0.82566583
150,0.81954336
151,0.80334556
152,0.79752797
153,0.7889579
154,0.78017706
155,0.770659
156,0.765197
157,0.7618653
158,0.74562204
159,0.7388743
160,0.72606915
161,0.7235773
162,0.7246571
163,0.7012788
164,0.700331
165,0.68679434
166,0.6832511
167,0.6803167
168,0.66204906
169,0.6572423
170,0.6585921
171,0.65662336
172,0.64904565
173,0.6378752
174,0.6339074
175,0.6291057
176,0.6158348
177,0.6074483
178,0.605714
179,0.6018752
180,0.5941802
181,0.58609754
182,0.58266646
183,0.5776763
184,0.5696081
185,0.5614916
186,0.5647432
187,0.5577565
188,0.55192906
189,0.5434144
190,0.5345331
191,0.53682137
192,0.521467
193,0.52409136
194,0.51137745
195,0.516548
196,0.5164394
197,0.50673187
198,0.5079963
199,0.5014498
200,0.48780522
201,0.492907
202,0.4828839
203,0.48039734
204,0.47424048
205,0.45816427
206,0.46674237
207,0.46014056
208,0.45703465
209,0.45951557
210,0.44510555
211,0.43882632
212,0.43755293
213,0.44198325
214,0.4343319
215,0.43113917
216,0.42517874
217,0.41814402
218,0.41571063
219,0.41916445
220,0.4145672
221,0.40402237
222,0.40607628
223,0.40001342
224,0.39149922
225,0.40112156
226,0.39578882
227,0.38478816
228,0.38462815
229,0.3870669
230,0.37788576
231,0.38190794
232,0.3767444
233,0.37080827
234,0.36877748
235,0.37027878
236,0.36354294
237,0.36406913
238,0.36083156
239,0.3534092
240,0.35034704
241,0.3495592
242,0.34741977
243,0.33829936
244,0.34341076
245,0.3461201
246,0.3383883
247,0.34176722
248,0.33402997
249,0.33628115
250,0.3343079
251,0.3274918
252,0.32219824
253,0.328162
254,0.32042137
255,0.3188714
256,0.3169652
257,0.3092208
258,0.3120051
259,0.30876908
260,0.31158596
261,0.307607
262,0.3017278
263,0.30500412
264,0.29510653
265,0.30034223
266,0.3014537
267,0.29704195
268,0.29915234
269,0.29427785
270,0.29323432
271,0.29031917
272,0.29553133
273,0.27953082
274,0.28421855
275,0.2764623
276,0.27303347
277,0.2719705
278,0.27235994
279,0.2822084
280,0.27155942
281,0.26670215
282,0.26613003
283,0.26394337
284,0.26776004
285,0.27019328
286,0.26977268
287,0.26270092
288,0.26394406
289,0.25386545
290,0.26031715
291,0.2626341
292,0.24972521
293,0.2503442
294,0.2506134
295,0.255485
296,0.25202468
297,0.25334272
298,0.24856877
299,0.24611008
300,0.24326178
301,0.24915048
302,0.2468715
303,0.23681946
304,0.24224186
305,0.23924997
306,0.2365236
307,0.23889178
308,0.23603123
309,0.2320531
310,0.2298009
311,0.22717631
312,0.22377144
313,0.2315696
