,Loss
0,5.9913745
1,5.715996
2,5.647039
3,5.4204316
4,5.481505
5,5.218886
6,5.2965064
7,5.20659
8,5.1951265
9,5.0589476
10,5.10053
11,5.052568
12,4.9378734
13,4.754918
14,4.8421545
15,4.809107
16,4.765989
17,4.710204
18,4.5174913
19,4.501207
20,4.526666
21,4.438993
22,4.468163
23,4.344689
24,4.3875666
25,4.2297273
26,4.285573
27,4.147988
28,4.145218
29,3.9886324
30,3.9191718
31,4.0440187
32,3.905396
33,3.902693
34,3.7979379
35,3.8800998
36,3.712406
37,3.669547
38,3.5941036
39,3.6952796
40,3.5413187
41,3.6211329
42,3.4778244
43,3.544177
44,3.399175
45,3.3479276
46,3.3338208
47,3.409559
48,3.2061458
49,3.213423
50,3.2530313
51,3.2408118
52,3.1982672
53,3.1875281
54,3.1724524
55,3.1343498
56,3.1126907
57,2.9953043
58,3.008717
59,3.0202112
60,2.8811994
61,2.9328043
62,2.821198
63,2.769568
64,2.7533426
65,2.8087475
66,2.7812963
67,2.7826796
68,2.7757297
69,2.6496654
70,2.68938
71,2.652081
72,2.5308063
73,2.605995
74,2.5763984
75,2.5886993
76,2.475409
77,2.464743
78,2.4744053
79,2.4358022
80,2.333519
81,2.358979
82,2.325484
83,2.29553
84,2.3531802
85,2.362012
86,2.2760742
87,2.2274425
88,2.2633486
89,2.1985688
90,2.210761
91,2.1933982
92,2.096572
93,2.0923772
94,2.17089
95,2.0313482
96,2.1055455
97,2.0962846
98,2.039555
99,2.0491612
100,1.9567158
101,2.0014658
102,1.9044173
103,1.9746692
104,1.90569
105,1.9292185
106,1.8999362
107,1.8543199
108,1.7999551
109,1.7849958
110,1.8457849
111,1.8507308
112,1.8565067
113,1.8159983
114,1.8130566
115,1.7353687
116,1.8105922
117,1.7666314
118,1.6725898
119,1.7423706
120,1.6722351
121,1.6983118
122,1.7253854
123,1.7050447
124,1.5900973
125,1.6632149
126,1.6074799
127,1.6134832
128,1.5533655
129,1.6501856
130,1.4888923
131,1.5654924
132,1.5030819
133,1.5581853
134,1.5349202
135,1.4412055
136,1.4669133
137,1.5200708
138,1.4401298
139,1.4433334
140,1.3774248
141,1.4312311
142,1.4482524
143,1.4036127
144,1.4438279
145,1.4279385
146,1.3144922
147,1.3555927
148,1.4012948
149,1.3451455
150,1.3729242
151,1.3158636
152,1.3007016
153,1.2397906
154,1.2845198
155,1.2736251
156,1.3175886
157,1.3154349
158,1.28734
159,1.2875689
160,1.2210218
161,1.2908918
162,1.2605386
163,1.2450738
164,1.1703542
165,1.1978602
166,1.2520518
167,1.2392745
168,1.208952
169,1.1627349
170,1.1941805
171,1.1743014
172,1.1876433
173,1.1364127
174,1.2067878
175,1.1598623
176,1.0575223
177,1.0597415
178,1.085122
179,1.0666801
180,1.101248
181,1.0979674
182,1.1218452
183,1.0770906
184,1.1196759
185,1.1173781
186,1.07723
187,1.1050014
188,1.0894578
189,1.0013946
190,1.0291202
191,0.98856944
192,1.0474471
193,1.0490047
194,1.0063587
195,0.9844678
196,0.9510927
197,0.94788694
198,0.98180676
199,1.0118899
200,0.9949126
201,1.0242027
202,1.0328432
203,1.0009799
204,0.9922155
205,1.0295006
206,0.95521575
207,0.9235924
208,0.9417236
209,0.9844849
210,0.9606328
211,0.9459327
212,0.9469174
213,0.9458687
214,0.94569486
215,0.9185721
216,0.9360778
217,0.9298031
218,0.835026
219,0.9267279
220,0.8256254
221,0.8422616
222,0.91398335
223,0.86147916
224,0.90064687
225,0.90209675
226,0.8853986
227,0.8208822
228,0.81360495
229,0.89355373
230,0.79132885
231,0.7893989
232,0.8930429
233,0.78792524
234,0.8565681
235,0.8799809
236,0.84991115
237,0.77930284
238,0.8415753
239,0.78905857
240,0.8456659
241,0.7400164
242,0.8142543
243,0.82620907
244,0.8321646
245,0.74499464
246,0.804271
247,0.78877324
248,0.8063047
249,0.8112705
250,0.7618245
251,0.8201164
252,0.7999123
253,0.70489705
254,0.7152481
255,0.7680972
256,0.8054578
257,0.7954898
258,0.7856441
259,0.7833028
260,0.7681236
261,0.7643939
262,0.68287957
263,0.76907504
264,0.6752604
265,0.7040882
266,0.76641965
267,0.7641601
268,0.6963195
269,0.74816656
270,0.70114684
271,0.6893171
272,0.7338846
273,0.718524
274,0.6678204
275,0.7262143
276,0.7308731
277,0.6594825
278,0.7367095
279,0.7410351
280,0.69558454
281,0.65171844
282,0.70259583
283,0.70591646
284,0.6601317
285,0.68741745
286,0.6748983
287,0.66161305
288,0.63095164
289,0.6977613
290,0.6061949
291,0.72058594
292,0.60176134
293,0.6932616
294,0.61888665
295,0.70484686
296,0.6714179
297,0.62138844
298,0.69277114
299,0.591039
300,0.59809625
301,0.7231934
302,0.6825125
303,0.60558754
304,0.6042627
305,0.62474465
306,0.59811866
307,0.6523086
308,0.60885715
309,0.6011202
310,0.6024723
311,0.64637095
312,0.64838344
313,0.59516466
314,0.5938332
315,0.6121119
316,0.5839108
317,0.5806688
318,0.6577717
319,0.591493
320,0.6425487
321,0.5786154
322,0.63597584
323,0.6564065
324,0.57564974
325,0.6731138
326,0.64697945
327,0.54837894
328,0.6267358
329,0.5431822
330,0.5541476
331,0.63718295
332,0.5045798
333,0.5493026
334,0.622787
335,0.61508524
336,0.5758326
337,0.60337645
338,0.6297835
339,0.52677757
340,0.60214114
341,0.52514017
342,0.5342666
343,0.595472
344,0.5378299
345,0.54006994
346,0.60635436
347,0.576097
348,0.52978545
349,0.54474354
350,0.53264344
351,0.5670093
352,0.52449894
353,0.591269
354,0.58758146
355,0.6002799
356,0.53566617
357,0.5872632
358,0.58211714
359,0.55159295
360,0.5135722
361,0.56792176
362,0.56107783
363,0.532423
364,0.50410044
365,0.5242765
366,0.5303832
367,0.5486944
368,0.49792325
369,0.59123254
370,0.504467
371,0.5537335
372,0.51405925
373,0.46723008
374,0.48413396
375,0.56615126
376,0.4973677
377,0.5006815
378,0.48513627
379,0.46494234
380,0.49164426
381,0.5342858
382,0.49476779
383,0.5509278
384,0.46480906
385,0.55940497
386,0.49163413
387,0.5397713
388,0.5297182
389,0.4640797
390,0.48940122
391,0.49939346
392,0.5532732
393,0.53668004
394,0.55926156
395,0.5481864
396,0.46129546
397,0.5683727
398,0.49364585
399,0.55542207
400,0.47115257
401,0.55712605
402,0.5037147
403,0.4858303
404,0.44562578
405,0.56755435
406,0.5021733
407,0.51587665
408,0.46838224
409,0.4816312
410,0.50895655
411,0.51324475
412,0.4441203
413,0.4856922
414,0.45504314
415,0.44889563
416,0.51261353
417,0.48983338
418,0.44202685
419,0.46263605
420,0.5290226
421,0.48827648
422,0.43892115
423,0.5062103
424,0.47478738
425,0.50867164
426,0.43406644
427,0.49505067
428,0.47040725
429,0.4421795
430,0.44683427
431,0.462058
432,0.5068014
433,0.5133326
434,0.5098094
435,0.43409055
436,0.43708128
437,0.44401765
438,0.47653204
439,0.45268765
440,0.5048306
441,0.4960183
442,0.4420578
443,0.46838313
444,0.4920255
445,0.50325227
446,0.48930517
447,0.41921374
448,0.5050027
449,0.4964797
450,0.5117237
451,0.46486393
452,0.44187662
453,0.42074478
454,0.5136939
455,0.4192009
456,0.4387423
457,0.43653828
458,0.48609948
459,0.48896754
460,0.514157
461,0.42885798
462,0.42580318
463,0.41023082
464,0.43025303
465,0.4201159
466,0.43567207
467,0.4301045
468,0.4856198
469,0.5006894
470,0.42971408
471,0.48204863
472,0.46467456
473,0.43090993
474,0.46928388
475,0.45704708
476,0.42405125
477,0.48516327
478,0.47010872
479,0.48205152
480,0.41785908
481,0.486478
482,0.46917152
483,0.42479518
484,0.4189383
485,0.43300658
486,0.43519592
487,0.41843525
488,0.47812253
489,0.42233267
490,0.47933614
491,0.4884792
492,0.47150898
493,0.41820437
494,0.43546975
495,0.47223085
496,0.41591325
497,0.45540196
498,0.41218495
499,0.4829682
500,0.48392284
501,0.4759154
502,0.45185825
503,0.41210043
504,0.40908834
505,0.49396774
506,0.4634722
507,0.42022216
508,0.38042295
509,0.41621888
510,0.42688704
511,0.46587563
512,0.47981682
513,0.4048854
514,0.47022718
515,0.41234934
516,0.39696026
517,0.4755482
518,0.46917284
519,0.46175063
520,0.39260077
521,0.44960755
522,0.4181248
523,0.41234657
524,0.44453752
525,0.4773827
526,0.3918084
527,0.47770277
528,0.49382776
529,0.4174353
530,0.38893527
531,0.43830532
532,0.40861025
533,0.44610363
534,0.38475907
535,0.46646985
536,0.39416805
537,0.37044138
538,0.37381133
539,0.43414003
540,0.4277712
541,0.4621628
542,0.37276015
543,0.45065367
544,0.44387838
545,0.47666353
546,0.38051113
547,0.43429005
548,0.41072154
549,0.377025
550,0.3689571
551,0.45735157
552,0.38947505
553,0.46351677
554,0.44102383
555,0.40214562
556,0.39849055
557,0.46545482
558,0.39545763
559,0.44889414
560,0.40831017
561,0.39369422
562,0.3780393
563,0.45704567
564,0.3966826
565,0.45368618
566,0.4504832
567,0.43459886
568,0.45716858
569,0.45893425
570,0.3844325
571,0.36070406
572,0.43994763
573,0.40653458
574,0.39976415
575,0.37487754
576,0.38032287
577,0.45139796
578,0.37454185
579,0.41015163
580,0.3914702
581,0.4506629
582,0.3888561
583,0.40537608
584,0.38682336
585,0.4329328
586,0.3997376
587,0.3859657
588,0.4429772
589,0.37513798
590,0.43292466
591,0.41148466
592,0.34587738
593,0.42685938
594,0.3685429
