,Loss
0,6.4920034
1,5.760503
2,5.5512605
3,5.683962
4,5.4469295
5,5.283083
6,5.130337
7,5.1043262
8,5.169041
9,5.0090704
10,4.9625373
11,4.8898396
12,4.834795
13,4.6768584
14,4.651216
15,4.6408997
16,4.550724
17,4.467854
18,4.460956
19,4.3226647
20,4.3720756
21,4.2596836
22,4.2152767
23,4.1710854
24,4.1003118
25,4.061015
26,3.9847972
27,3.9393125
28,3.9112124
29,3.8380601
30,3.8051043
31,3.7401936
32,3.6933575
33,3.6388319
34,3.58288
35,3.5532053
36,3.5266857
37,3.4383402
38,3.419497
39,3.374083
40,3.32444
41,3.2986782
42,3.2344747
43,3.216219
44,3.158119
45,3.137466
46,3.0800097
47,3.0456827
48,3.0073586
49,2.9736345
50,2.9096296
51,2.8960834
52,2.8478706
53,2.823624
54,2.7950294
55,2.7305012
56,2.7079983
57,2.689643
58,2.6397545
59,2.6057696
60,2.584521
61,2.5655067
62,2.5131698
63,2.4580743
64,2.4386227
65,2.3957098
66,2.3908439
67,2.3761764
68,2.3208137
69,2.3100348
70,2.2803261
71,2.2603471
72,2.2270942
73,2.1940422
74,2.1826608
75,2.1333752
76,2.126562
77,2.081279
78,2.0677817
79,2.0518217
80,2.017031
81,1.982473
82,1.9834521
83,1.9605917
84,1.9363667
85,1.906741
86,1.877379
87,1.8628079
88,1.8159852
89,1.8114871
90,1.8030012
91,1.7773659
92,1.7446504
93,1.7189667
94,1.718428
95,1.6860356
96,1.6711138
97,1.6508759
98,1.6272374
99,1.6104053
100,1.5837189
101,1.5667931
102,1.5597359
103,1.5531298
104,1.5290982
105,1.504206
106,1.5016166
107,1.4837729
108,1.4639008
109,1.4371744
110,1.4250665
111,1.413135
112,1.3917862
113,1.3830746
114,1.3630037
115,1.34245
116,1.337843
117,1.2941464
118,1.3116039
119,1.2793692
120,1.2674295
121,1.2629302
122,1.2578282
123,1.2460561
124,1.2271945
125,1.2084836
126,1.1912905
127,1.1765115
128,1.1706711
129,1.1581295
130,1.1533058
131,1.1336404
132,1.1209584
133,1.1165538
134,1.1112792
135,1.0970075
136,1.0839198
137,1.0674318
138,1.0467397
139,1.0386431
140,1.0312414
141,1.0384151
142,1.0064932
143,1.0178493
144,1.0000381
145,0.9776058
146,0.97281635
147,0.9770508
148,0.9567681
149,0.9562628
150,0.94587946
151,0.93020284
152,0.92900306
153,0.91294324
154,0.90861666
155,0.9052394
156,0.8971123
157,0.880103
158,0.8723716
159,0.85902554
160,0.84571874
161,0.8567915
162,0.8383229
163,0.82266474
164,0.83168095
165,0.82159483
166,0.8069901
167,0.7989501
168,0.7858727
169,0.76760006
170,0.7713845
171,0.7824588
172,0.76746744
173,0.763093
174,0.7535341
175,0.7495766
176,0.7403738
177,0.73564065
178,0.7349925
179,0.71140593
180,0.69534975
181,0.7055973
182,0.7026994
183,0.68456835
184,0.7042713
185,0.69822997
186,0.68500215
187,0.6849966
188,0.6723442
189,0.65435356
190,0.6521435
191,0.65206856
192,0.65012914
193,0.65795577
194,0.63854086
195,0.637935
196,0.6350229
197,0.608824
198,0.6228502
199,0.61943007
200,0.61524886
201,0.6079116
202,0.5890573
203,0.58360606
204,0.58991206
205,0.59515715
206,0.59271944
207,0.5634583
208,0.570862
209,0.5650847
210,0.54938537
211,0.5639559
212,0.54368496
213,0.5515615
214,0.54769015
215,0.5479859
216,0.5317117
217,0.53805196
218,0.5456668
219,0.53505754
220,0.5386619
221,0.521851
222,0.50556624
223,0.5223279
224,0.50564253
225,0.50910294
226,0.5089759
227,0.48622924
228,0.49134016
229,0.48717463
230,0.4856465
231,0.49045205
232,0.49277985
233,0.47393614
234,0.47618532
235,0.48511612
236,0.48111913
237,0.46222603
238,0.4603425
239,0.4494744
240,0.46415737
241,0.47338772
242,0.44716376
243,0.45364743
244,0.42161846
245,0.43738577
246,0.43658245
247,0.4427789
248,0.44059896
249,0.44212806
250,0.4370457
251,0.43084884
252,0.41211703
253,0.4074598
254,0.43222043
255,0.40662763
256,0.41891873
257,0.3962953
258,0.41573212
259,0.41046602
260,0.39130703
261,0.4088938
262,0.41789356
263,0.3971334
264,0.39671865
265,0.40372235
266,0.4064874
267,0.38875574
268,0.39467782
269,0.37458676
270,0.39016786
271,0.3802872
272,0.3698575
273,0.37347305
274,0.38327223
275,0.37007374
276,0.37649482
277,0.3746689
278,0.36135793
279,0.36975998
280,0.3681863
281,0.358856
282,0.36314002
283,0.36038566
284,0.3540401
285,0.37010616
286,0.34981805
287,0.35794532
288,0.35789135
289,0.3374775
290,0.3626451
291,0.3463709
292,0.34056026
293,0.33746374
294,0.33320773
295,0.3377831
296,0.32919794
297,0.34101045
298,0.35136896
299,0.34440953
300,0.31885725
301,0.3240581
302,0.32770234
303,0.3372489
304,0.33190256
305,0.32935062
306,0.319126
307,0.3446287
308,0.31272292
309,0.3116543
310,0.32360685
311,0.3232689
312,0.30877528
313,0.33008406
314,0.32712016
315,0.31351325
316,0.30579025
317,0.30131274
318,0.31765178
319,0.3066423
320,0.30720273
321,0.31143808
322,0.30246374
323,0.28560734
324,0.30279696
325,0.29403204
326,0.29049385
327,0.30782124
328,0.29776657
329,0.29890227
330,0.29375547
331,0.29438332
332,0.29942375
333,0.29799098
334,0.29727298
335,0.2891097
336,0.2836811
337,0.2913584
338,0.27350628
339,0.29257727
340,0.2814161
341,0.278014
342,0.27926785
343,0.2888412
344,0.2840066
345,0.27733538
346,0.27694425
347,0.2752545
348,0.2885594
349,0.28514767
350,0.26678818
351,0.27327073
352,0.273319
353,0.2820544
354,0.25759882
355,0.26305988
356,0.27165452
357,0.28138041
358,0.2681244
359,0.25725028
360,0.26348555
361,0.24792123
362,0.27630675
363,0.27328545
364,0.2642216
365,0.2562427
366,0.27251384
367,0.25219765
368,0.26084852
369,0.26827574
370,0.25755727
371,0.2439372
372,0.2500489
373,0.25330034
374,0.26476014
375,0.24806255
376,0.25071767
