,Loss
0,7.9837284
1,6.1757774
2,5.9471474
3,5.6249332
4,5.451734
5,5.3354554
6,5.2060366
7,5.120446
8,5.059178
9,4.9673767
10,4.9313264
11,4.842556
12,4.7892003
13,4.7216883
14,4.661858
15,4.6006575
16,4.5465446
17,4.496686
18,4.435443
19,4.379559
20,4.3252673
21,4.271631
22,4.2197385
23,4.165201
24,4.107111
25,4.0617013
26,3.9999928
27,3.9573102
28,3.8965714
29,3.8467443
30,3.8069105
31,3.7422655
32,3.7074947
33,3.6545846
34,3.6073387
35,3.559918
36,3.5094812
37,3.4674914
38,3.408534
39,3.372199
40,3.323378
41,3.2793734
42,3.235128
43,3.1903093
44,3.1442263
45,3.1076057
46,3.0601697
47,3.0183914
48,2.9788435
49,2.9391537
50,2.8974502
51,2.8504398
52,2.8177722
53,2.7779222
54,2.743814
55,2.7040174
56,2.6663485
57,2.6252456
58,2.5909157
59,2.5527267
60,2.5182147
61,2.4809408
62,2.4466288
63,2.4113696
64,2.3729684
65,2.342837
66,2.3133674
67,2.2811284
68,2.248247
69,2.212239
70,2.1795785
71,2.1525533
72,2.1234841
73,2.0929017
74,2.06293
75,2.0317156
76,1.9999636
77,1.974514
78,1.943509
79,1.9206209
80,1.8936497
81,1.8639749
82,1.8381854
83,1.8094211
84,1.7826768
85,1.7610152
86,1.7345655
87,1.7112044
88,1.6845908
89,1.6629598
90,1.6387742
91,1.614598
92,1.5881951
93,1.5696948
94,1.546736
95,1.5225564
96,1.5013565
97,1.4819101
98,1.4590701
99,1.4394107
100,1.4173672
101,1.3982105
102,1.3731145
103,1.3574098
104,1.3392792
105,1.3173444
106,1.3006593
107,1.2822523
108,1.2623922
109,1.2439653
110,1.2288003
111,1.2074795
112,1.1942728
113,1.176927
114,1.1584419
115,1.14372
116,1.1241766
117,1.1120284
118,1.0939626
119,1.0806246
120,1.0650024
121,1.0475836
122,1.0359423
123,1.0182465
124,1.0056332
125,0.9899848
126,0.9761251
127,0.9623099
128,0.9502663
129,0.93520373
130,0.9209703
131,0.91034436
132,0.89913124
133,0.88410324
134,0.8730115
135,0.86191034
136,0.8480018
137,0.83563656
138,0.82413507
139,0.8111088
140,0.80117893
141,0.79096687
142,0.78005147
143,0.768764
144,0.75817
145,0.7485045
146,0.7360553
147,0.72802216
148,0.71544784
149,0.7049009
150,0.6972844
151,0.6864224
152,0.677015
153,0.6693206
154,0.660193
155,0.6510865
156,0.64313316
157,0.6331078
158,0.62407523
159,0.6153441
160,0.6062847
161,0.59740233
162,0.59005284
163,0.58209974
164,0.5745131
165,0.5661714
166,0.56004155
167,0.5531335
168,0.54630435
169,0.5381317
170,0.5315924
171,0.5253654
172,0.5176939
173,0.51003784
174,0.50283664
175,0.4947003
176,0.4892839
177,0.48323676
178,0.4765796
179,0.47111228
180,0.46593994
181,0.45960134
182,0.45374808
183,0.4445608
184,0.43902716
185,0.4337763
186,0.42961213
187,0.423618
188,0.41625917
189,0.41285488
190,0.40878707
191,0.4034073
192,0.3980212
193,0.38962787
194,0.38945994
195,0.3829633
196,0.37699443
197,0.37462705
198,0.36869478
199,0.36266872
200,0.35823438
201,0.35335395
202,0.35026884
203,0.34537455
204,0.34263566
