,Loss
0,8.183872
1,6.6593266
2,6.1971216
3,5.9663672
4,5.8231688
5,5.6107154
6,5.608231
7,5.421477
8,5.295046
9,5.2835126
10,5.205652
11,5.1316037
12,5.0543637
13,4.9926934
14,4.978428
15,4.871498
16,4.827225
17,4.7862926
18,4.7282753
19,4.695099
20,4.622264
21,4.6020527
22,4.5506573
23,4.4933667
24,4.455071
25,4.420493
26,4.377373
27,4.3096867
28,4.2858787
29,4.2278743
30,4.1955585
31,4.1516056
32,4.1101303
33,4.07139
34,4.037216
35,3.9870708
36,3.9446168
37,3.9125814
38,3.8686292
39,3.8391128
40,3.7826648
41,3.7509913
42,3.7139301
43,3.6613681
44,3.6308334
45,3.5880682
46,3.550101
47,3.5047197
48,3.4851768
49,3.44135
50,3.4027035
51,3.3754828
52,3.3341093
53,3.30759
54,3.265156
55,3.2344623
56,3.2003446
57,3.167945
58,3.135979
59,3.09745
60,3.0593345
61,3.0301414
62,2.9963279
63,2.9599228
64,2.9318547
65,2.892252
66,2.86415
67,2.832961
68,2.8016014
69,2.7670264
70,2.7489312
71,2.7070422
72,2.6786687
73,2.651595
74,2.6225548
75,2.5940654
76,2.5661216
77,2.5367122
78,2.512526
79,2.4790134
80,2.45787
81,2.432351
82,2.4033384
83,2.3739214
84,2.3423233
85,2.3283138
86,2.2930925
87,2.274595
88,2.2461767
89,2.221024
90,2.1935914
91,2.1696317
92,2.1440735
93,2.118971
94,2.1003523
95,2.0797532
96,2.0498369
97,2.0274355
98,2.0092597
99,1.9848605
100,1.9601837
101,1.9364704
102,1.915758
103,1.8978729
104,1.87425
105,1.8510841
106,1.8316345
107,1.8096355
108,1.7940905
109,1.771008
110,1.752287
111,1.7342072
112,1.7141372
113,1.6939527
114,1.6760527
115,1.6588967
116,1.6374695
117,1.6121733
118,1.6030103
119,1.5786996
120,1.5622934
121,1.5448756
122,1.5307636
123,1.5114626
124,1.4947275
125,1.4780345
126,1.4655142
127,1.441713
128,1.4323989
129,1.4125414
130,1.3989617
131,1.3855859
132,1.3664427
133,1.3523004
134,1.333568
135,1.3200091
136,1.3064265
137,1.2935246
138,1.2732905
139,1.2652912
140,1.2439411
141,1.2299929
142,1.2196177
143,1.2056257
144,1.1968967
145,1.1824001
146,1.1692784
147,1.1544753
148,1.1384708
149,1.1238112
150,1.1174593
151,1.1007487
152,1.0905641
153,1.0837144
154,1.066113
155,1.0557152
156,1.0427423
157,1.0332762
158,1.0227392
159,1.0096489
160,1.0008634
161,0.9900088
162,0.9774018
163,0.96755546
164,0.95520264
165,0.94444615
166,0.9372455
167,0.9268462
168,0.91231805
169,0.9041378
170,0.88989544
171,0.886205
172,0.87359816
173,0.8642482
174,0.8556144
175,0.84434515
176,0.8359565
177,0.8234432
178,0.82064855
179,0.80836505
180,0.79685605
181,0.79162186
182,0.7846899
183,0.773774
184,0.76475424
185,0.7601918
186,0.7481954
187,0.74073917
188,0.7330892
189,0.72865635
190,0.7200783
191,0.71238524
192,0.70564914
193,0.69869167
194,0.6837478
195,0.6792465
196,0.6714306
197,0.67066574
198,0.6587341
199,0.6533014
200,0.64982
201,0.64032334
202,0.6359345
203,0.6286953
204,0.6186375
205,0.6135322
206,0.60896456
207,0.5992487
208,0.59434134
209,0.5885355
210,0.5802938
211,0.57638776
212,0.56588703
213,0.5656998
214,0.55778235
215,0.5511759
216,0.5441764
217,0.54259026
218,0.5370974
219,0.53128207
220,0.5280332
221,0.51891446
222,0.5131631
223,0.50866103
224,0.50536793
225,0.502615
226,0.49660376
227,0.4903919
228,0.48409596
229,0.48271167
230,0.4776164
231,0.4731686
232,0.46477392
233,0.4608615
234,0.45800656
235,0.45280924
236,0.4506985
237,0.44585082
238,0.4410631
239,0.43572706
240,0.43155432
241,0.43123865
242,0.42720634
243,0.42039594
244,0.41740173
245,0.41194248
246,0.40781233
247,0.40214297
248,0.40280274
249,0.3969038
250,0.39375916
251,0.39093062
252,0.38959652
253,0.38537675
254,0.3776696
255,0.37617505
256,0.37513354
257,0.37139022
258,0.36680466
259,0.36207545
260,0.36208504
261,0.35760623
262,0.35416806
263,0.35014674
264,0.35040778
265,0.3447153
266,0.34065396
267,0.3374101
268,0.3361135
