,Loss
0,8.088298
1,7.2816057
2,6.7173376
3,6.476022
4,6.218764
5,6.145952
6,6.035946
7,5.9525785
8,5.8107357
9,5.803377
10,5.5810065
11,5.522269
12,5.4936624
13,5.3656373
14,5.2409267
15,5.3626227
16,5.212201
17,5.07254
18,5.0528107
19,4.986288
20,4.958533
21,4.962522
22,4.8841615
23,4.8383517
24,4.8311076
25,4.7449527
26,4.65326
27,4.6707945
28,4.6427975
29,4.5593467
30,4.4857626
31,4.5041075
32,4.434411
33,4.363923
34,4.3760037
35,4.3373117
36,4.265651
37,4.2838917
38,4.2364535
39,4.08067
40,4.1203213
41,4.137556
42,4.034171
43,3.9614553
44,3.966146
45,3.9482007
46,3.9042163
47,3.9004836
48,3.8293352
49,3.8224595
50,3.794661
51,3.743661
52,3.7040126
53,3.7279992
54,3.6717033
55,3.6087384
56,3.5130277
57,3.5725584
58,3.3963861
59,3.4988582
60,3.4896054
61,3.4044192
62,3.3633964
63,3.4218318
64,3.2844696
65,3.2930882
66,3.3114877
67,3.2916276
68,3.2850173
69,3.2140071
70,3.1778815
71,3.1321867
72,3.155735
73,3.0459046
74,3.0325053
75,3.0075355
76,3.0554504
77,3.015193
78,3.0157826
79,2.8845491
80,2.8648484
81,2.9012666
82,2.8188267
83,2.8499777
84,2.8729362
85,2.904045
86,2.730946
87,2.709544
88,2.7940645
89,2.7407246
90,2.7238407
91,2.6469858
92,2.6871808
93,2.6516197
94,2.6047173
95,2.587236
96,2.5562696
97,2.4821765
98,2.560339
99,2.533528
100,2.5285492
101,2.521007
102,2.4741778
103,2.3879943
104,2.383411
105,2.236951
106,2.3760834
107,2.4162264
108,2.4068236
109,2.3454943
110,2.291297
111,2.3371637
112,2.1872702
113,2.3069887
114,2.214593
115,2.2645311
116,2.1985095
117,2.1483755
118,2.1016595
119,2.149881
120,2.0453742
121,2.1407647
122,2.161368
123,2.0768442
124,2.1232424
125,1.9614953
126,2.0584211
127,2.048481
128,2.0544357
129,1.9919214
130,2.0108097
131,1.9388531
132,1.9591268
133,1.934168
134,1.9471903
135,1.9337127
136,1.905591
137,1.8718348
138,1.8684386
139,1.8721111
140,1.8612425
141,1.8567827
142,1.799852
143,1.7532371
144,1.8287333
145,1.7935863
146,1.7567794
147,1.7452141
148,1.7916026
149,1.7290444
150,1.7800919
151,1.755327
152,1.7488561
153,1.7121689
154,1.7240381
155,1.6711887
156,1.7349598
157,1.6200912
158,1.6676662
159,1.6726792
160,1.7069825
161,1.6880913
162,1.586067
163,1.6451277
164,1.5625882
165,1.5956435
166,1.5720941
167,1.6394061
168,1.4725466
169,1.6043937
170,1.5470545
171,1.4540184
172,1.5415459
173,1.5478467
174,1.5850036
175,1.5132805
176,1.4702766
177,1.4904115
178,1.4606243
179,1.4741911
180,1.4656347
181,1.4362915
182,1.4639314
183,1.398356
184,1.481304
185,1.3859065
186,1.4634031
187,1.4528438
188,1.3458974
189,1.3543751
190,1.4030151
191,1.3791611
192,1.4280066
193,1.369302
194,1.3636401
195,1.4090371
196,1.4209716
197,1.3448073
198,1.3266301
199,1.3012528
200,1.2825218
201,1.3156134
202,1.3022937
203,1.2449765
204,1.2924867
205,1.2340991
206,1.2436134
207,1.280583
208,1.2436739
209,1.2922348
210,1.1932424
211,1.2826157
212,1.2385497
213,1.18679
214,1.2421763
215,1.270921
216,1.2838752
217,1.1687837
218,1.1924362
219,1.2121893
220,1.1969475
221,1.2363068
222,1.1442406
223,1.212972
224,1.1630757
225,1.2137905
226,1.1401994
227,1.1251123
228,1.164299
229,1.1884122
230,1.1111729
231,1.072858
232,1.116429
233,1.1297302
234,1.1025983
235,1.0919042
236,1.0692711
237,1.1068239
238,1.029551
239,1.0898787
240,1.0573543
241,1.0486393
242,1.1098511
243,1.1045756
244,1.0868194
245,1.1059523
246,1.0990468
247,1.0561085
248,1.0820627
249,1.0332106
250,1.0134542
251,1.0269037
252,1.0100907
253,1.0527196
254,1.0407801
255,0.96759534
256,1.0181077
257,1.0354536
258,0.98229694
259,1.0020618
260,1.056535
261,1.0278933
262,1.0771673
263,1.0082902
264,0.9394966
265,1.0177814
266,0.98025215
267,0.90174437
268,1.012477
269,0.9970443
270,0.99242574
271,1.0173817
272,1.0224173
273,0.9447745
274,0.98079306
275,0.92170066
276,1.0164518
277,1.0006876
278,1.0150534
279,0.9857652
280,0.9746531
281,0.97282684
282,0.9554193
283,0.92658776
284,0.9702712
285,0.8881922
286,0.8948786
287,0.93256015
288,0.8559837
289,0.89413637
290,0.8971282
291,0.944026
292,0.9461688
293,0.872946
294,0.87781537
295,0.94913745
296,0.91982204
297,0.92828006
298,0.8858177
299,0.8672459
300,0.8159627
301,0.88410884
302,0.8660709
303,0.9008435
304,0.86952335
305,0.9132228
306,0.84406877
307,0.8579219
308,0.8422112
309,0.84695613
310,0.90575033
311,0.85314953
312,0.7922567
313,0.90882397
314,0.86133343
315,0.8768476
316,0.89352536
317,0.76127607
318,0.8824979
319,0.84005636
320,0.70402837
321,0.84210014
322,0.8666649
323,0.82316864
324,0.81555986
325,0.8515855
326,0.86976635
327,0.83195126
328,0.8451607
329,0.7708868
330,0.7609947
331,0.7604804
332,0.8270133
333,0.7716218
334,0.79072285
335,0.8586763
336,0.81728435
337,0.8441016
338,0.77705276
339,0.83350813
340,0.8521342
341,0.83208334
342,0.7966521
343,0.7425922
344,0.72600317
345,0.7091235
346,0.7891005
347,0.8147844
348,0.815279
349,0.7582766
350,0.78885067
351,0.8107752
352,0.82143706
353,0.8134277
354,0.7788174
355,0.76221776
356,0.733047
357,0.78309494
358,0.72780734
359,0.7867565
360,0.7800296
361,0.7998488
362,0.76449156
363,0.7170962
364,0.781317
365,0.7143594
366,0.7273892
367,0.7826915
368,0.731347
369,0.75969243
370,0.79181015
371,0.648088
372,0.80138046
373,0.72603464
374,0.77776384
375,0.76025605
376,0.73250693
377,0.7831278
378,0.70804536
379,0.7409625
380,0.7741287
381,0.7722117
382,0.7466372
383,0.7449548
384,0.6947621
385,0.77809536
386,0.7406725
387,0.7547513
388,0.6769471
389,0.7546114
390,0.70651484
391,0.6957545
392,0.70729864
393,0.74622416
394,0.72724736
395,0.7175987
396,0.6770126
397,0.6554303
398,0.66516113
399,0.6520909
400,0.7341166
401,0.7550117
402,0.6920711
403,0.70389605
404,0.7079209
405,0.7432482
406,0.7211108
407,0.72129726
408,0.65421104
409,0.72413313
410,0.65872854
411,0.7119621
412,0.71059597
413,0.68502307
414,0.72486997
415,0.7036728
416,0.6623155
417,0.5882603
418,0.6909034
419,0.65012425
420,0.61394614
421,0.6386069
422,0.6651026
423,0.6026904
424,0.69560623
425,0.7274281
426,0.68662393
427,0.6469796
428,0.6631301
429,0.69480026
430,0.6905967
431,0.7038554
432,0.6011891
433,0.63595426
434,0.6405703
435,0.62361073
436,0.64887327
437,0.6816492
438,0.6785548
439,0.6411319
440,0.68503
441,0.57791144
442,0.66228294
443,0.6775471
444,0.6815089
445,0.63194764
446,0.6774081
447,0.66486186
448,0.62522256
449,0.6310545
450,0.6863218
451,0.6814803
452,0.63908005
453,0.64825463
454,0.6430831
455,0.6564902
456,0.67183685
457,0.6266577
458,0.680683
459,0.66267604
460,0.6059158
461,0.6846509
462,0.61070704
463,0.65593255
464,0.65674853
465,0.6499644
466,0.6365587
467,0.6695715
468,0.6158643
469,0.61586994
470,0.6349676
471,0.62841433
472,0.659512
473,0.67205155
474,0.65439296
475,0.58296645
476,0.5536532
477,0.58898807
478,0.59408927
479,0.64581907
480,0.61796135
481,0.58279175
482,0.57020736
483,0.64994276
484,0.606444
485,0.6488302
486,0.61173797
487,0.60441446
488,0.5892667
489,0.6609887
490,0.6320864
491,0.63927126
492,0.63291955
493,0.5468936
494,0.5914898
495,0.6017964
496,0.57390296
497,0.64423394
498,0.6504613
499,0.59347165
500,0.5632671
501,0.57426643
502,0.6292956
503,0.66380906
504,0.65897214
505,0.5900357
506,0.62876636
507,0.6211738
508,0.5870761
509,0.62947893
510,0.5872669
511,0.59151936
512,0.5691978
513,0.59812236
514,0.58979833
515,0.5626092
516,0.61100185
517,0.55947644
518,0.603722
519,0.5877023
520,0.59502923
521,0.6299933
522,0.6240301
523,0.6337769
524,0.5457605
525,0.6318027
526,0.5461325
527,0.56432056
528,0.6291717
529,0.64242184
530,0.6356858
531,0.5803591
532,0.5886787
533,0.6036179
534,0.57307816
535,0.615297
536,0.61421686
537,0.5623574
538,0.5869294
539,0.64245677
540,0.53912
541,0.5396805
542,0.6184039
543,0.5759179
544,0.5158833
545,0.5638218
546,0.57375395
547,0.6118092
548,0.54339045
549,0.56932616
550,0.5356163
551,0.61837757
552,0.6210661
553,0.6117868
554,0.5629436
555,0.5460938
556,0.59672165
557,0.55190176
558,0.5166796
559,0.6041871
560,0.55691844
561,0.56378233
562,0.5945289
563,0.5795047
564,0.53263426
565,0.5776228
566,0.5406013
567,0.58603686
568,0.56377935
569,0.59476185
570,0.59290826
571,0.52655953
572,0.60754466
573,0.5924814
574,0.54153705
575,0.5183805
576,0.5842178
577,0.5690049
578,0.58575606
579,0.5594186
580,0.58481824
581,0.5201763
582,0.57303154
583,0.57665956
584,0.56029165
585,0.5553267
586,0.56563914
587,0.5888984
588,0.5855951
589,0.52832305
590,0.5842572
591,0.59057444
592,0.5934066
593,0.53707045
594,0.5307562
595,0.5370286
596,0.5812192
597,0.6034124
598,0.5706458
599,0.6047564
600,0.6046207
601,0.56840897
602,0.5676074
603,0.5684886
604,0.5717764
605,0.59391594
606,0.5659212
607,0.56066966
608,0.55626345
609,0.593114
610,0.59085524
611,0.5268022
612,0.5430709
613,0.55060613
614,0.49007192
615,0.50826406
616,0.5501896
617,0.5712596
618,0.5750867
619,0.57506204
620,0.5749706
621,0.5526844
622,0.56133556
623,0.575522
624,0.53280365
625,0.5158031
626,0.5334254
627,0.4975214
628,0.5404151
629,0.53613484
630,0.5818872
631,0.57131255
632,0.49443132
633,0.5522866
634,0.5849322
635,0.530185
636,0.54717445
637,0.58591926
638,0.5460131
639,0.5004078
640,0.4890923
641,0.57564735
642,0.5777055
643,0.5497143
644,0.5708473
645,0.56094563
646,0.53568935
647,0.527207
648,0.57332504
649,0.5168532
650,0.5660056
651,0.5521654
652,0.52026165
653,0.5536643
654,0.5752492
655,0.549786
656,0.4746455
657,0.5383822
658,0.5567771
659,0.538122
660,0.5115694
661,0.5704045
662,0.55985105
663,0.50853145
664,0.4857753
665,0.5230253
666,0.5078949
667,0.55381286
668,0.5057787
669,0.5188215
670,0.53770196
671,0.5156459
672,0.5349386
673,0.5192884
674,0.58650947
675,0.4674954
676,0.4723292
677,0.4998817
678,0.5486326
679,0.46772864
680,0.5218266
681,0.5651445
682,0.49808177
683,0.50635624
684,0.52169895
685,0.49406397
686,0.5299246
687,0.53991896
688,0.57334495
689,0.51118934
690,0.53897667
691,0.5339733
692,0.56469
693,0.48451948
694,0.48613134
695,0.4807295
696,0.50674236
697,0.51088166
698,0.5502794
699,0.5477257
700,0.5283692
701,0.55474705
702,0.51484275
703,0.5439156
704,0.51582956
705,0.53717494
706,0.51474833
707,0.5400408
708,0.5256671
709,0.5153694
710,0.53034127
711,0.5416316
712,0.47994107
713,0.53943
714,0.534177
715,0.5473949
716,0.50674045
717,0.52252275
718,0.54327816
719,0.486979
720,0.55015934
721,0.5207162
722,0.52612287
723,0.5421118
724,0.53617036
725,0.5149833
726,0.5360111
727,0.5024818
728,0.54260576
729,0.51185197
730,0.49452898
