,Loss
0,7.800037
1,6.2507954
2,5.9819636
3,5.804254
4,5.6149173
5,5.502482
6,5.422625
7,5.28809
8,5.2555785
9,5.1980357
10,5.150131
11,5.0673184
12,4.977632
13,4.9442325
14,4.879965
15,4.8602357
16,4.790646
17,4.71743
18,4.6701326
19,4.6205616
20,4.5865326
21,4.5078816
22,4.4728646
23,4.4227157
24,4.3894377
25,4.3193603
26,4.274484
27,4.246887
28,4.182509
29,4.140965
30,4.072029
31,4.028157
32,4.0140452
33,3.9704785
34,3.9092128
35,3.8571374
36,3.8511581
37,3.7899868
38,3.762592
39,3.7170148
40,3.669684
41,3.6306503
42,3.6027
43,3.566133
44,3.507756
45,3.471279
46,3.4290466
47,3.3904738
48,3.3650928
49,3.3262732
50,3.2786653
51,3.2478337
52,3.2252443
53,3.1855707
54,3.1466482
55,3.0946832
56,3.0786827
57,3.0441308
58,2.983761
59,2.966009
60,2.9225366
61,2.8778372
62,2.8732076
63,2.8383746
64,2.8076377
65,2.7849126
66,2.7386355
67,2.695022
68,2.681364
69,2.6494489
70,2.6099217
71,2.6039722
72,2.573337
73,2.5194538
74,2.5134773
75,2.4763718
76,2.4526966
77,2.4349272
78,2.4005523
79,2.371955
80,2.342593
81,2.3199606
82,2.2809596
83,2.2606514
84,2.2133875
85,2.220369
86,2.2125854
87,2.161989
88,2.15645
89,2.128305
90,2.0989604
91,2.0673766
92,2.061084
93,2.0486064
94,2.0299087
95,1.992524
96,1.9679594
97,1.9496307
98,1.9364624
99,1.9025688
100,1.9033052
101,1.840783
102,1.8576748
103,1.8388221
104,1.8182861
105,1.7648423
106,1.7820616
107,1.7435521
108,1.7172911
109,1.6960919
110,1.6918079
111,1.6875046
112,1.6453856
113,1.6231307
114,1.6386214
115,1.6101446
116,1.5974674
117,1.5661775
118,1.5653263
119,1.5445074
120,1.5379149
121,1.5060558
122,1.5022982
123,1.4784293
124,1.4748975
125,1.444152
126,1.4237399
127,1.4104924
128,1.4124824
129,1.4026839
130,1.3730445
131,1.3587346
132,1.3406109
133,1.3336796
134,1.3272966
135,1.3014016
136,1.3136669
137,1.2830462
138,1.272083
139,1.2725524
140,1.254891
141,1.218962
142,1.2105119
143,1.2144865
144,1.1969837
145,1.1938499
146,1.1733416
147,1.1793878
148,1.1527487
149,1.148498
150,1.1158966
151,1.121628
152,1.0859976
153,1.0901717
154,1.0929098
155,1.0900778
156,1.0639467
157,1.0530353
158,1.0507933
159,1.0405078
160,1.0167792
161,1.0083662
162,1.0299001
163,1.0035571
164,1.0008444
165,0.9845813
166,0.9769252
167,0.9577313
168,0.9504094
169,0.95681393
170,0.93426573
171,0.91944784
172,0.94332737
173,0.9108077
174,0.8947525
175,0.89302063
176,0.90137553
177,0.8640534
178,0.86931366
179,0.86842245
180,0.85100293
181,0.8640644
182,0.8545151
183,0.8355154
184,0.84027076
185,0.8307299
186,0.8075788
187,0.80053777
188,0.8157903
189,0.7857716
190,0.7818092
191,0.77514863
192,0.78230417
193,0.7877448
194,0.75799066
195,0.75225866
196,0.7586041
197,0.7284131
198,0.7228157
199,0.72837275
200,0.7398976
201,0.72491586
202,0.72277164
203,0.70047635
204,0.7072527
205,0.6928295
206,0.68935806
207,0.6582707
208,0.69439596
209,0.67253226
210,0.6733221
211,0.6598524
212,0.6646983
213,0.66020507
214,0.6519074
215,0.6365157
216,0.65082663
217,0.6268301
218,0.6473247
219,0.6092064
220,0.6152223
221,0.6031706
222,0.6152219
223,0.6047412
224,0.6164346
225,0.5887824
226,0.6018988
227,0.60415065
228,0.56079656
229,0.5907001
230,0.5868379
231,0.567401
232,0.5789546
233,0.585708
234,0.5612838
235,0.5711936
236,0.5615561
237,0.57199204
238,0.5575833
239,0.5469417
240,0.537297
241,0.53238755
242,0.5391736
243,0.5157742
244,0.5240632
245,0.52070034
246,0.54171723
247,0.4979428
248,0.5109154
249,0.5160309
250,0.49071544
251,0.48924547
252,0.5104533
253,0.5062721
254,0.48946917
255,0.49213472
256,0.48689833
257,0.4929389
258,0.5032673
259,0.48091957
260,0.48256356
261,0.47376865
262,0.4682059
263,0.48557186
264,0.48432714
265,0.4710346
266,0.46596405
267,0.4657734
268,0.4604137
269,0.4400854
270,0.44046596
271,0.46669656
272,0.4476892
273,0.44367763
274,0.43870705
275,0.44226283
276,0.43324164
277,0.4413095
278,0.42934215
279,0.44146168
280,0.43235004
281,0.4082075
282,0.4081951
283,0.4135814
284,0.4353784
285,0.42326292
286,0.41491216
287,0.41581938
288,0.4162649
289,0.39494675
290,0.40605593
291,0.36897436
292,0.3907009
293,0.3961231
294,0.40377715
295,0.39529407
296,0.37725446
297,0.38577765
298,0.3808772
299,0.36632016
300,0.40456092
301,0.3973947
302,0.3737915
303,0.37878245
304,0.37301093
305,0.37559068
306,0.38396147
307,0.37739745
308,0.37235492
309,0.35690057
310,0.37020165
311,0.3799281
312,0.36694592
313,0.3414706
314,0.36493638
315,0.3775591
316,0.33923727
317,0.3724513
318,0.35856104
319,0.3467796
320,0.36052853
321,0.36775374
322,0.36141264
323,0.34276474
324,0.34179986
325,0.34605178
326,0.32531703
327,0.35117275
328,0.35118932
329,0.34614807
330,0.3359268
331,0.33495507
332,0.342125
333,0.34242207
334,0.32862875
335,0.33872575
336,0.33093986
337,0.32322553
338,0.35101563
339,0.31225064
340,0.32530087
341,0.31999826
342,0.3030592
343,0.3172258
344,0.3228264
345,0.33761135
346,0.3259097
347,0.31401128
348,0.32409427
349,0.3123847
350,0.30960608
351,0.3213389
352,0.3153357
353,0.31325957
354,0.3263978
355,0.3146985
356,0.29395837
357,0.30542296
358,0.30469215
359,0.3213608
360,0.3197662
361,0.29368365
362,0.28350747
363,0.3140834
364,0.3145247
365,0.29755446
366,0.29312986
367,0.2766669
368,0.3179819
369,0.31585303
370,0.3032008
371,0.30964428
372,0.29709113
373,0.2974657
374,0.2871708
375,0.2976436
376,0.28733623
377,0.29231495
378,0.2716223
379,0.28508085
380,0.27669632
381,0.2992858
382,0.28858817
383,0.29222512
384,0.28442287
385,0.29031712
386,0.31121016
387,0.28087386
388,0.25993028
389,0.3012197
390,0.29178497
391,0.2872045
392,0.2971292
393,0.26288664
394,0.27850252
395,0.2882549
396,0.28694698
397,0.29961032
398,0.27154243
399,0.2759578
400,0.25942674
401,0.2848596
402,0.28116718
403,0.2727728
404,0.2608531
405,0.27934235
406,0.25818387
407,0.2767316
408,0.27348188
409,0.25486898
410,0.2604734
411,0.25264335
412,0.28614658
413,0.26922297
414,0.27286923
415,0.28320068
416,0.2578017
417,0.28118673
418,0.26447994
419,0.2690825
420,0.27137265
421,0.25665894
422,0.26326638
423,0.25656152
424,0.24970685
425,0.25413534
426,0.2633345
427,0.26190668
428,0.26482594
429,0.26319546
430,0.2524941
431,0.25290328
432,0.2488642
433,0.2418843
434,0.27332023
435,0.2631155
436,0.2598672
437,0.26289144
438,0.25129715
439,0.26769233
440,0.23445523
441,0.25036693
442,0.26629928
443,0.25478086
444,0.2724938
445,0.22173533
446,0.2460689
447,0.24166028
448,0.23488852
449,0.24908811
450,0.25026152
451,0.23017569
452,0.24639869
453,0.25906578
454,0.25683677
455,0.2502355
456,0.26541963
457,0.24375269
458,0.21964724
459,0.24661638
460,0.23876218
461,0.24384478
462,0.22640029
463,0.25498247
464,0.2592181
465,0.24650769
466,0.2629786
467,0.26214826
468,0.23617741
469,0.2314122
470,0.23278332
471,0.24978271
472,0.23373541
473,0.22686522
474,0.2487199
475,0.23600829
476,0.24279588
477,0.22548789
478,0.2399737
479,0.26100945
480,0.24080622
481,0.23565054
482,0.22437987
483,0.2355549
484,0.22974044
485,0.2333459
486,0.23928787
487,0.25116867
488,0.22651246
489,0.2282345
490,0.23302516
491,0.23957324
492,0.23781241
493,0.23455054
494,0.23403615
495,0.2368223
496,0.22322372
497,0.24258938
498,0.23032491
499,0.21646956
500,0.2426506
501,0.21930811
502,0.23729284
503,0.23344292
