,Loss
0,8.630457
1,6.7429543
2,6.188554
3,6.044206
4,5.6377354
5,5.4947124
6,5.3216395
7,5.2314787
8,5.131019
9,5.0093026
10,4.9714713
11,4.904354
12,4.841354
13,4.7887225
14,4.7171044
15,4.6680484
16,4.6179843
17,4.572931
18,4.5167522
19,4.4599643
20,4.4207225
21,4.371756
22,4.320111
23,4.267662
24,4.220159
25,4.1776
26,4.125353
27,4.072699
28,4.03562
29,3.9882789
30,3.9364393
31,3.895424
32,3.8510776
33,3.8023365
34,3.7557194
35,3.7135096
36,3.6639192
37,3.622141
38,3.5780606
39,3.533956
40,3.4974995
41,3.4519622
42,3.404455
43,3.3723965
44,3.3196392
45,3.2847903
46,3.245222
47,3.2033522
48,3.1597402
49,3.123967
50,3.0820897
51,3.0462022
52,3.006444
53,2.9689214
54,2.932611
55,2.8956425
56,2.861601
57,2.8219244
58,2.781007
59,2.7455761
60,2.707527
61,2.676034
62,2.6448889
63,2.61203
64,2.5794704
65,2.5434837
66,2.5102654
67,2.479639
68,2.447002
69,2.4122026
70,2.3812392
71,2.3481824
72,2.3202658
73,2.289913
74,2.2595398
75,2.231014
76,2.1994286
77,2.1703625
78,2.1451538
79,2.1146765
80,2.0827065
81,2.060512
82,2.0297234
83,2.003571
84,1.9747325
85,1.9519463
86,1.9264542
87,1.8987074
88,1.8754134
89,1.8461295
90,1.8234735
91,1.8042932
92,1.7722403
93,1.751948
94,1.7301109
95,1.7092267
96,1.6896325
97,1.6599044
98,1.6420435
99,1.6188723
100,1.5949434
101,1.5774051
102,1.5523047
103,1.5313302
104,1.5153983
105,1.4925317
106,1.4693266
107,1.4545225
108,1.4325508
109,1.4150178
110,1.3968185
111,1.3768793
112,1.3611672
113,1.3411107
114,1.321503
115,1.3063531
116,1.2855854
117,1.2696872
118,1.2520223
119,1.2361488
120,1.2197751
121,1.2060999
122,1.1882685
123,1.168028
124,1.1554773
125,1.143378
126,1.1287526
127,1.1108525
128,1.0967323
129,1.0825707
130,1.0698264
131,1.0540136
132,1.0410345
133,1.0286244
134,1.014534
135,0.997594
136,0.9869241
137,0.9731154
138,0.9597142
139,0.94738394
140,0.93805623
141,0.9257238
142,0.9114164
143,0.9005964
144,0.8869226
145,0.87740153
146,0.8667381
147,0.8559608
148,0.84184754
149,0.83224815
150,0.81805164
151,0.80715406
152,0.7980909
153,0.7913594
154,0.77809936
155,0.77050036
156,0.7594818
157,0.7485382
158,0.7422682
159,0.72978914
160,0.72195864
161,0.7120387
162,0.70354205
163,0.69530725
164,0.6843364
165,0.6759229
166,0.667624
167,0.657512
168,0.649902
169,0.6439402
170,0.6364366
171,0.6276198
172,0.6177644
173,0.6107663
174,0.603788
175,0.5942561
176,0.58962065
177,0.58321553
178,0.57470775
179,0.5676814
180,0.558428
181,0.55243117
182,0.5462268
183,0.53720415
184,0.5316694
185,0.52366096
186,0.5199423
187,0.5117481
188,0.50465906
189,0.5008094
190,0.4937264
191,0.48815617
192,0.48390448
193,0.47642627
194,0.4717247
195,0.46563223
196,0.4591924
197,0.4515179
198,0.44497463
199,0.4421458
200,0.43906444
201,0.4322996
202,0.42739818
203,0.42070425
204,0.41673517
205,0.41443703
206,0.4054705
207,0.40290657
208,0.3998793
209,0.39161435
210,0.3891927
211,0.38416457
212,0.38154015
213,0.37435466
214,0.3706687
215,0.3668808
216,0.36278996
217,0.35776848
218,0.35577577
219,0.3505231
220,0.3453399
221,0.34085816
222,0.3387592
223,0.33232847
224,0.33013916
225,0.32630265
226,0.32189295
227,0.31842262
228,0.31286815
229,0.312041
230,0.3077322
231,0.30391577
232,0.30299544
233,0.29824775
234,0.29605287
235,0.29077625
236,0.28955176
237,0.28560168
238,0.28699136
239,0.27558237
240,0.27419823
241,0.27515545
242,0.26807892
243,0.26970634
244,0.2647819
245,0.26270774
246,0.25846976
247,0.25637662
248,0.25251317
249,0.251231
250,0.25101015
251,0.24817486
252,0.24312352
253,0.24163869
254,0.24103642
255,0.23746233
256,0.23442791
257,0.22928557
258,0.228902
259,0.22815609
260,0.22383755
261,0.22245659
262,0.22101682
263,0.21852523
264,0.21720846
265,0.21493019
266,0.21379381
267,0.20983365
268,0.20912899
269,0.2052835
270,0.20343758
271,0.20230465
272,0.19958287
273,0.19767441
274,0.19604515
275,0.19423245
276,0.19366054
277,0.18987124
278,0.18828455
279,0.18708645
280,0.1856699
281,0.18238136
282,0.18239827
283,0.18293436
284,0.1781575
285,0.17833969
286,0.1748061
287,0.17454845
288,0.17321995
289,0.17094934
290,0.17044209
291,0.16685927
292,0.16646652
293,0.16705355
294,0.16408768
295,0.16135946
296,0.16115528
297,0.16276361
298,0.15863423
299,0.15704408
300,0.1595899
301,0.15591285
302,0.15420744
303,0.15273102
304,0.15130597
305,0.15051353
306,0.1490995
307,0.146608
308,0.1489376
309,0.14602044
310,0.14427295
311,0.14400123
312,0.14240444
313,0.1429978
314,0.13980143
315,0.13888378
316,0.13677949
317,0.13630472
318,0.13456684
319,0.13629554
320,0.13512768
321,0.13413759
322,0.13413754
323,0.13176148
324,0.13169172
325,0.1300321
326,0.12919869
327,0.1309925
328,0.12802339
329,0.12699333
330,0.12507658
331,0.12441267
332,0.121666215
333,0.12314485
334,0.12172013
335,0.120915085
336,0.1224436
337,0.118800245
338,0.119078465
339,0.117525525
340,0.11638601
341,0.11602392
342,0.11595598
343,0.11677705
344,0.11648185
345,0.11534661
346,0.11207935
347,0.11143152
348,0.1139973
349,0.11076534
350,0.11145726
351,0.108620666
352,0.10969092
353,0.11066432
354,0.10819933
355,0.10856166
356,0.107850246
357,0.106578544
358,0.10600868
359,0.10558146
360,0.1045339
361,0.10468166
362,0.10299837
363,0.103864804
364,0.10119145
365,0.10328387
366,0.10150728
367,0.10089138
368,0.100274734
369,0.099930525
370,0.10108799
371,0.100531965
372,0.098607026
373,0.09984283
374,0.09755119
375,0.09995322
376,0.09673827
377,0.09701851
378,0.09822608
379,0.094373986
380,0.095997944
381,0.095011
382,0.09592888
383,0.09435311
384,0.09383164
385,0.09521297
386,0.09497639
387,0.09328252
388,0.09017425
389,0.091969274
390,0.090856045
391,0.092158616
392,0.08864894
393,0.0897768
394,0.09138947
395,0.09028066
396,0.08942633
397,0.08953814
398,0.08988048
399,0.08838062
400,0.08783269
401,0.08746299
402,0.089621246
403,0.088024005
404,0.08696655
405,0.08738283
406,0.085753545
407,0.086250566
408,0.08429237
409,0.08572788
410,0.08521806
411,0.084720306
412,0.08471031
413,0.0835244
414,0.08382747
415,0.083937876
416,0.081691295
417,0.085150704
418,0.08269938
419,0.08467734
420,0.08294555
421,0.0816046
422,0.083189815
423,0.08331127
424,0.0829067
425,0.08051093
426,0.08220491
427,0.0804283
428,0.080864176
429,0.08048601
430,0.080285124
431,0.08230553
432,0.08083989
433,0.078835614
434,0.078919016
435,0.07861725
436,0.07697818
437,0.08131949
438,0.07832099
439,0.07702981
440,0.07753307
441,0.07732761
442,0.07945947
443,0.077821985
444,0.07654698
445,0.07993657
446,0.077653326
447,0.07609003
448,0.077258624
449,0.077429004
450,0.07419733
451,0.07729263
452,0.07687861
453,0.07672531
454,0.07752332
455,0.07750455
456,0.076884
457,0.07691111
