,Loss
0,8.850099
1,7.178288
2,6.666312
3,6.304038
4,6.035575
5,5.9974766
6,5.731742
7,5.63481
8,5.5294585
9,5.3573318
10,5.2674727
11,5.199266
12,5.159214
13,5.02959
14,4.968677
15,4.9055824
16,4.8727694
17,4.8198304
18,4.747036
19,4.7194247
20,4.6777577
21,4.6444683
22,4.5864305
23,4.5377626
24,4.5020733
25,4.4530735
26,4.3984685
27,4.3791738
28,4.339806
29,4.2966356
30,4.2547574
31,4.211584
32,4.1781106
33,4.139777
34,4.0927186
35,4.0512776
36,4.007667
37,3.9750302
38,3.945329
39,3.9108434
40,3.8703446
41,3.830439
42,3.7873936
43,3.7546725
44,3.7159953
45,3.6833956
46,3.6481464
47,3.6148827
48,3.5865114
49,3.547041
50,3.5039756
51,3.4746087
52,3.44279
53,3.4070866
54,3.3666468
55,3.3307972
56,3.3062155
57,3.2767181
58,3.2366145
59,3.1999893
60,3.1741369
61,3.1361978
62,3.1130857
63,3.0811193
64,3.0465991
65,3.0102525
66,2.9858646
67,2.953607
68,2.9120407
69,2.893155
70,2.8587544
71,2.8271587
72,2.7974825
73,2.7722096
74,2.745421
75,2.7148433
76,2.6844976
77,2.6562843
78,2.6345801
79,2.5993435
80,2.5759149
81,2.5502617
82,2.5269196
83,2.495698
84,2.469991
85,2.4443538
86,2.4127326
87,2.3982952
88,2.3707354
89,2.3413434
90,2.3119411
91,2.29454
92,2.262573
93,2.2453523
94,2.215994
95,2.1963742
96,2.174436
97,2.14908
98,2.1245618
99,2.109908
100,2.0863495
101,2.0587595
102,2.0317051
103,2.014523
104,1.9990618
105,1.9714818
106,1.9528387
107,1.9360038
108,1.9072785
109,1.8903793
110,1.8689654
111,1.8472726
112,1.8317469
113,1.810963
114,1.7897805
115,1.774434
116,1.7496679
117,1.7343626
118,1.7180636
119,1.6962788
120,1.6806095
121,1.6630774
122,1.6406151
123,1.6258094
124,1.6099724
125,1.5915037
126,1.5711538
127,1.5559553
128,1.537075
129,1.5218377
130,1.510238
131,1.4920521
132,1.4724603
133,1.4603164
134,1.4430969
135,1.4250368
136,1.411823
137,1.3969746
138,1.3791606
139,1.3675202
140,1.3512022
141,1.33623
142,1.3229688
143,1.3131803
144,1.2938689
145,1.277318
146,1.2674042
147,1.2528305
148,1.2433611
149,1.2250764
150,1.2145727
151,1.2040648
152,1.1847335
153,1.1768363
154,1.1609378
155,1.1513301
156,1.1373065
157,1.1254538
158,1.1147708
159,1.0981066
160,1.0874928
161,1.0795912
162,1.063447
163,1.0575979
164,1.0433867
165,1.0299654
166,1.0221437
167,1.0128362
168,0.99954
169,0.9916434
170,0.9804803
171,0.9723182
172,0.95786345
173,0.94886917
174,0.94259524
175,0.9336282
176,0.9212875
177,0.9106343
178,0.89945555
179,0.89234424
180,0.8786167
181,0.8756848
182,0.8687877
183,0.8533699
184,0.8431125
185,0.8381065
186,0.8299021
187,0.8173925
188,0.8075135
189,0.8013795
190,0.7957391
191,0.7841198
192,0.77532846
193,0.77056503
194,0.76000255
195,0.75734395
196,0.7488012
197,0.73614204
198,0.7341326
199,0.72444534
200,0.7163232
201,0.70909077
202,0.7030612
203,0.6938186
204,0.6849236
205,0.6825611
206,0.67046607
207,0.66382194
208,0.6608356
209,0.6571463
210,0.6490389
211,0.64378864
212,0.63240933
213,0.62734824
214,0.6183598
215,0.61843663
216,0.6048609
217,0.60625094
218,0.5980296
219,0.59252703
220,0.58766985
221,0.5798833
222,0.573452
223,0.569584
224,0.56196046
225,0.5577566
226,0.55140877
227,0.55045843
228,0.5416854
229,0.5391535
230,0.5331148
231,0.527115
232,0.5239794
233,0.5170634
234,0.5094636
235,0.5057729
236,0.50537056
237,0.49971443
238,0.4930231
239,0.48907617
240,0.4826339
241,0.4794223
242,0.47171795
243,0.4763659
244,0.46982068
245,0.46437705
246,0.4542973
247,0.4512703
248,0.45038033
249,0.44621116
250,0.44311988
251,0.43294004
252,0.43295255
253,0.4278979
254,0.42803732
255,0.4257138
256,0.41680035
257,0.4131239
258,0.41170162
259,0.4055161
260,0.4056226
261,0.39736807
262,0.393582
263,0.39723456
264,0.38657627
265,0.38672438
266,0.3828551
267,0.38020238
268,0.3746322
269,0.36964488
270,0.36782348
271,0.36691868
272,0.36363178
273,0.36071238
274,0.3552767
275,0.35103446
276,0.35141316
277,0.3493317
278,0.3493963
279,0.34273857
280,0.33853453
281,0.33540863
282,0.33442527
283,0.3300397
284,0.3286569
285,0.32450292
286,0.32332602
287,0.31726158
288,0.32024413
289,0.31268054
290,0.30942956
291,0.31195712
292,0.31102583
293,0.30695188
294,0.30466375
295,0.29732156
296,0.29525644
297,0.2984132
298,0.29845855
299,0.28977835
300,0.28935283
301,0.28731346
302,0.28712776
303,0.2822803
304,0.2812867
305,0.27709678
306,0.27644774
307,0.2748909
308,0.27223602
309,0.2702927
310,0.26786727
311,0.26744193
312,0.26629063
313,0.26315793
314,0.25913262
315,0.26159322
316,0.2553977
317,0.2538798
318,0.25632817
319,0.2523914
320,0.25009972
321,0.25237948
322,0.2463893
323,0.24808654
324,0.24145415
325,0.23462906
326,0.23789623
327,0.23820382
328,0.23391618
329,0.23377481
330,0.22740345
331,0.23153794
332,0.22889861
333,0.23256369
334,0.22533625
335,0.22385499
336,0.22395602
337,0.22344093
338,0.21874991
339,0.2202978
340,0.21710184
341,0.21562977
342,0.21196789
343,0.21203521
344,0.21475191
345,0.21114165
346,0.20887257
347,0.20788887
348,0.20494404
349,0.2037315
350,0.20256683
351,0.20267539
352,0.20128503
353,0.2010525
354,0.20029591
355,0.19997166
356,0.19523421
357,0.19284424
358,0.1899775
359,0.19233374
360,0.19190428
361,0.1912081
362,0.18966661
363,0.18745784
364,0.18984462
365,0.18826932
366,0.18872713
367,0.18567368
368,0.18539037
369,0.18431632
370,0.18186638
371,0.18231428
372,0.18043557
373,0.178654
374,0.17933089
375,0.17730933
376,0.17527111
377,0.17617485
378,0.17599598
379,0.17314576
380,0.1721114
381,0.17055973
382,0.17093956
383,0.17297333
384,0.16552776
385,0.16902629
386,0.16743816
387,0.16730879
388,0.16569452
389,0.16489016
390,0.16312143
391,0.16386001
392,0.1591952
393,0.16183968
394,0.16120563
395,0.16017216
396,0.16086385
397,0.15994792
398,0.15908886
399,0.15547945
400,0.15665567
401,0.15630986
402,0.15449803
403,0.15423416
404,0.15205912
405,0.15480593
406,0.1553167
407,0.1517823
408,0.1491646
409,0.1509031
410,0.15153682
411,0.1488932
412,0.15314506
413,0.14710961
414,0.14722408
415,0.14824802
416,0.14642334
