,Loss
0,8.582522
1,7.662619
2,7.3544564
3,6.7914705
4,6.6322775
5,6.3431525
6,5.981577
7,5.9368286
8,5.827624
9,5.859002
10,5.655963
11,5.5987525
12,5.3835506
13,5.3337426
14,5.322856
15,5.172195
16,5.0981627
17,5.085857
18,4.9883037
19,4.9540024
20,4.900819
21,4.8171124
22,4.8019032
23,4.7648396
24,4.7230306
25,4.592577
26,4.6060295
27,4.5497656
28,4.532285
29,4.4962344
30,4.5061355
31,4.342296
32,4.3466697
33,4.352615
34,4.269639
35,4.237906
36,4.187058
37,4.1424546
38,4.083507
39,3.9994516
40,4.053305
41,3.9798403
42,3.9817228
43,3.911893
44,3.8743596
45,3.892236
46,3.7458663
47,3.818154
48,3.7675445
49,3.70835
50,3.6934898
51,3.6483088
52,3.6005764
53,3.5439591
54,3.522018
55,3.5283997
56,3.5233717
57,3.5094538
58,3.3797731
59,3.4055579
60,3.3197076
61,3.3137202
62,3.2984166
63,3.2775111
64,3.1972756
65,3.1940222
66,3.214973
67,3.227604
68,3.1741114
69,3.1166031
70,3.1174881
71,3.0777154
72,2.9911613
73,2.969162
74,3.016007
75,2.961589
76,2.9183013
77,2.9202285
78,2.8530135
79,2.854449
80,2.8383608
81,2.8371828
82,2.7875493
83,2.756501
84,2.7782407
85,2.737705
86,2.7151504
87,2.6320577
88,2.6795063
89,2.6586838
90,2.6359124
91,2.5997481
92,2.5967767
93,2.5736618
94,2.5055296
95,2.458916
96,2.4849796
97,2.464243
98,2.4757476
99,2.4372325
100,2.4384
101,2.3891466
102,2.3793216
103,2.3567266
104,2.289262
105,2.3197055
106,2.2960312
107,2.2738943
108,2.2525349
109,2.2487822
110,2.212596
111,2.2221708
112,2.1508577
113,2.1909513
114,2.1504703
115,2.161571
116,2.1228442
117,2.125905
118,2.1019313
119,2.097041
120,2.048108
121,2.0732024
122,1.9852602
123,2.072416
124,1.9515061
125,2.0109391
126,1.9762428
127,1.9900925
128,1.944277
129,1.9235041
130,1.9229414
131,1.8878608
132,1.8928828
133,1.9200537
134,1.8720142
135,1.8405219
136,1.834733
137,1.8072119
138,1.8049645
139,1.7380934
140,1.7875537
141,1.7908069
142,1.7229159
143,1.7302668
144,1.6974144
145,1.7048094
146,1.7070115
147,1.6963608
148,1.6336433
149,1.6480685
150,1.6394953
151,1.6646415
152,1.6237396
153,1.6048038
154,1.6378872
155,1.6092948
156,1.5973793
157,1.5555899
158,1.5217464
159,1.5582904
160,1.5327141
161,1.5483587
162,1.4959241
163,1.490904
164,1.5154111
165,1.5021166
166,1.457099
167,1.485071
168,1.4488258
169,1.4462606
170,1.434092
171,1.4206975
172,1.4154744
173,1.4184418
174,1.4127514
175,1.4328148
176,1.3286177
177,1.3829294
178,1.3622843
179,1.4053189
180,1.2976524
181,1.3462193
182,1.2943269
183,1.333155
184,1.3073188
185,1.3109138
186,1.3077427
187,1.2857109
188,1.2675681
189,1.277519
190,1.279734
191,1.2856979
192,1.2755673
193,1.2111211
194,1.2211623
195,1.230308
196,1.243079
197,1.2672417
198,1.2108287
199,1.1697533
200,1.1821874
201,1.1774112
202,1.1866677
203,1.1814748
204,1.183378
205,1.154871
206,1.1554686
207,1.1312556
208,1.1474088
209,1.1734209
210,1.1144196
211,1.1068664
212,1.0846863
213,1.1272056
214,1.0597261
215,1.1138225
216,1.0514618
217,1.1078172
218,1.086223
219,1.101361
220,1.0384899
221,1.0586607
222,1.0770177
223,1.0788661
224,1.0548959
225,1.0232544
226,1.0388885
227,1.026241
228,1.0104542
229,1.0184422
230,1.034956
231,1.0128456
232,1.0128095
233,0.98858213
234,1.0470595
235,1.0029901
236,0.9786102
237,0.98510575
238,0.973673
239,0.98676103
240,0.9994428
241,0.9533381
242,0.96941817
243,0.977439
244,0.9342886
245,0.9257189
246,0.9432589
247,0.9308322
248,0.934046
