,Loss
0,8.6013775
1,6.7539186
2,6.429019
3,6.231762
4,5.9187665
5,5.785593
6,5.7030253
7,5.411506
8,5.4035683
9,5.2838883
10,5.1664205
11,5.105242
12,5.0875196
13,5.0019493
14,4.992558
15,4.8609123
16,4.8367867
17,4.7964454
18,4.7077565
19,4.685582
20,4.60934
21,4.6162567
22,4.55341
23,4.501092
24,4.4653597
25,4.4316444
26,4.371672
27,4.3357143
28,4.320728
29,4.244158
30,4.1929283
31,4.140924
32,4.1029425
33,4.0564256
34,4.027094
35,3.9721215
36,3.9726508
37,3.9297237
38,3.8830354
39,3.8392708
40,3.8094668
41,3.7332847
42,3.7472107
43,3.6793983
44,3.6278026
45,3.591051
46,3.5608923
47,3.5168254
48,3.5244026
49,3.4234471
50,3.4266088
51,3.3609781
52,3.3765469
53,3.322609
54,3.2638555
55,3.2183335
56,3.212889
57,3.1888986
58,3.1516833
59,3.119488
60,3.0849166
61,3.0540998
62,3.0355613
63,3.0038288
64,2.968586
65,2.92712
66,2.9184158
67,2.8773391
68,2.8327622
69,2.8146029
70,2.793782
71,2.7600207
72,2.7066026
73,2.6995387
74,2.6678607
75,2.642638
76,2.6302698
77,2.5860937
78,2.5405862
79,2.5464575
80,2.4972615
81,2.474226
82,2.4591115
83,2.4582827
84,2.403339
85,2.3997238
86,2.3513327
87,2.3415844
88,2.3139172
89,2.2781472
90,2.2549715
91,2.2270408
92,2.2280352
93,2.1783848
94,2.1373882
95,2.1633177
96,2.1246357
97,2.0961967
98,2.0549917
99,2.0308168
100,2.0465972
101,2.0181975
102,2.011894
103,1.998553
104,1.9702578
105,1.929524
106,1.9427116
107,1.9087317
108,1.8676106
109,1.898083
110,1.846955
111,1.8497916
112,1.7907794
113,1.7853783
114,1.7669771
115,1.7627895
116,1.7410433
117,1.7112447
118,1.7028424
119,1.6729193
120,1.6616874
121,1.6444526
122,1.6388258
123,1.6221188
124,1.6050669
125,1.6012944
126,1.579949
127,1.5649391
128,1.5878291
129,1.5491802
130,1.4927816
131,1.4867758
132,1.4876539
133,1.4796848
134,1.4813287
135,1.4574668
136,1.4108857
137,1.425267
138,1.4014181
139,1.3833121
140,1.383767
141,1.3578829
142,1.3557961
143,1.3542659
144,1.299624
145,1.2933774
146,1.302665
147,1.2990241
148,1.3004439
149,1.2960863
150,1.255533
151,1.2442482
152,1.2606145
153,1.2401159
154,1.1944493
155,1.2254908
156,1.1750473
157,1.2192168
158,1.1445972
159,1.174332
160,1.1567984
161,1.1127384
162,1.117785
163,1.1097986
164,1.1139371
165,1.0953796
166,1.0761876
167,1.0596703
168,1.0805244
169,1.0721266
170,1.0423856
171,1.0418203
172,1.030753
173,1.0185899
174,1.023972
175,1.026801
176,1.0146677
177,1.008469
178,0.9849136
179,0.9772974
180,0.97779536
181,0.9570759
182,0.9739594
183,0.9381646
184,0.93737566
185,0.92407745
186,0.91935945
187,0.9010082
188,0.9102114
189,0.887644
190,0.88329065
191,0.8916995
192,0.88805974
193,0.8826122
194,0.84246266
195,0.84623706
196,0.83259493
197,0.84063506
198,0.83584565
199,0.8253962
200,0.80963075
201,0.8004049
202,0.7992743
203,0.811272
204,0.80250823
205,0.7492985
206,0.8074794
207,0.78224295
208,0.76802105
209,0.78474677
210,0.7465388
211,0.7673308
212,0.73839116
213,0.75133765
214,0.72350544
215,0.73301923
216,0.71542376
217,0.694138
218,0.73296297
219,0.67924356
220,0.7099458
221,0.7023628
222,0.68508124
223,0.68033236
224,0.6876974
225,0.6983101
226,0.68070763
227,0.6771722
228,0.66568124
229,0.6577306
230,0.65507907
231,0.6440313
232,0.654305
233,0.6542053
234,0.6561011
235,0.63813144
236,0.6403788
237,0.63206315
238,0.63434213
239,0.6378554
240,0.6115794
241,0.6106648
242,0.5895792
243,0.6084892
244,0.58245885
245,0.5816884
246,0.59804636
247,0.59719014
248,0.5968448
249,0.58930737
250,0.561522
251,0.5891047
252,0.5835465
253,0.5806057
254,0.5639217
255,0.570103
256,0.5665563
257,0.5571608
258,0.5545184
259,0.5529219
260,0.52291125
261,0.55858
262,0.5460582
263,0.53112847
264,0.5118747
265,0.537711
266,0.52288437
267,0.5212502
268,0.5144919
269,0.5294354
270,0.52279735
271,0.4873824
272,0.5058714
273,0.51529557
274,0.51213104
275,0.47600138
276,0.5019901
277,0.48494682
278,0.49820065
279,0.49551228
280,0.47968423
281,0.45401472
282,0.47005212
283,0.47060606
284,0.4377247
285,0.47340012
286,0.4624434
287,0.47291005
288,0.4485918
289,0.46194074
290,0.46184975
291,0.43880978
292,0.44754922
293,0.4353606
294,0.43358356
295,0.43673176
296,0.47141457
297,0.4341073
298,0.43223172
299,0.44784153
300,0.43738824
301,0.42324007
302,0.41612494
303,0.41525066
304,0.42451188
305,0.42200828
306,0.41429758
307,0.4269373
308,0.40685254
309,0.40124178
310,0.40280372
311,0.39041823
312,0.40042913
313,0.38335454
314,0.3956013
315,0.40800107
316,0.38841128
317,0.38454393
318,0.39558184
319,0.39356333
320,0.39180857
321,0.38083982
322,0.38877663
323,0.39627355
324,0.37244153
325,0.38463658
326,0.37533677
327,0.37950915
328,0.36732858
329,0.3931045
330,0.35897967
331,0.37314603
332,0.37511316
333,0.346192
334,0.36192125
335,0.34749833
336,0.37720722
337,0.367141
338,0.36703807
339,0.35210586
340,0.35424814
341,0.35260487
342,0.36040908
343,0.34673193
344,0.3469839
345,0.33470112
346,0.35425147
347,0.36377317
348,0.33963305
349,0.34840918
350,0.33757746
351,0.34553128
352,0.34074068
353,0.34736288
354,0.33441228
355,0.34141922
356,0.3451867
357,0.31479
358,0.3326399
359,0.33190688
360,0.31594998
361,0.32814765
362,0.32735708
363,0.33036694
364,0.33465153
365,0.3074326
366,0.32034123
367,0.34362286
368,0.301408
369,0.3300783
370,0.3008205
371,0.3417217
372,0.30535263
373,0.2943146
374,0.30399773
375,0.30618703
376,0.29917943
377,0.27603343
378,0.28402555
379,0.27969047
380,0.32920974
381,0.30019015
382,0.30387372
383,0.30705348
384,0.30462158
385,0.29474694
386,0.29433152
387,0.2902823
388,0.29682148
389,0.2994895
390,0.3131698
391,0.27990562
392,0.32061377
393,0.30048093
394,0.3052389
395,0.28930205
396,0.29633382
397,0.27402884
398,0.28025436
399,0.2828465
400,0.2852702
401,0.28604266
402,0.29869637
403,0.27508706
404,0.29536456
405,0.29284063
406,0.2728818
407,0.26345593
408,0.27947432
409,0.28142464
410,0.28399622
411,0.29041737
412,0.28133085
413,0.2623879
414,0.29164875
415,0.25548363
416,0.27954587
417,0.29693204
418,0.28469005
419,0.2624681
420,0.26860416
421,0.2845259
422,0.25894254
423,0.2660951
424,0.29822826
425,0.2904045
426,0.25991723
427,0.2518101
428,0.2563303
429,0.28107077
430,0.2780671
431,0.28492087
432,0.23887071
433,0.25110707
434,0.26440686
435,0.25693935
436,0.26532316
437,0.26457858
438,0.2537502
439,0.25324717
440,0.25154316
441,0.24481803
442,0.27978063
443,0.25437766
444,0.24870482
445,0.24935
446,0.2528599
447,0.24430637
448,0.24255389
449,0.27179706
450,0.26623508
451,0.24304377
452,0.23772943
453,0.2301448
454,0.25578064
455,0.24695507
456,0.22097573
457,0.24128968
458,0.24093778
459,0.2359918
460,0.24770269
461,0.23124765
462,0.25073683
463,0.2660666
464,0.23969254
465,0.26747778
466,0.26351202
467,0.2461473
468,0.2609629
469,0.23218817
470,0.2653541
471,0.21887088
472,0.22363725
473,0.259542
474,0.2537897
475,0.24513617
476,0.22646582
477,0.24668165
478,0.24684589
479,0.24129635
480,0.21153662
481,0.20871302
482,0.2545433
483,0.23005831
484,0.22590344
485,0.24847534
486,0.25758654
487,0.24066226
488,0.22267537
489,0.23835832
490,0.23231381
491,0.26028714
492,0.2306672
493,0.22682852
494,0.23483548
495,0.23764622
496,0.19683579
497,0.20448178
498,0.22633049
499,0.24226177
500,0.23601872
501,0.22346224
502,0.2328217
503,0.25076842
504,0.24457085
505,0.2203697
506,0.23527537
507,0.20791855
508,0.23130077
509,0.19977933
510,0.23768505
511,0.20818032
512,0.22416192
513,0.23086023
514,0.22985646
515,0.20850605
516,0.23328641
517,0.22625378
518,0.20581691
519,0.23136926
520,0.22803093
521,0.21940494
522,0.22011912
523,0.21328402
524,0.19954331
525,0.22724919
526,0.21123335
527,0.2231659
528,0.2287356
529,0.21475512
530,0.2346183
531,0.18947405
532,0.21378629
533,0.20858404
534,0.23785092
535,0.20643681
536,0.23284301
537,0.21511254
538,0.23047441
539,0.20207693
540,0.21122918
541,0.21523878
542,0.2116397
543,0.21163973
544,0.20908979
545,0.20708853
546,0.20960577
547,0.19480075
548,0.23033094
549,0.2195698
550,0.22509322
551,0.21453467
552,0.23215336
553,0.22738808
554,0.21824715
555,0.21741357
556,0.2069737
557,0.2083683
558,0.18964711
559,0.2228421
560,0.21635154
561,0.20772636
562,0.21273582
563,0.21943021
564,0.2345747
565,0.21526742
566,0.2101191
