,Loss
0,6.8740706
1,5.983204
2,5.7201805
3,5.577454
4,5.428471
5,5.269124
6,5.192612
7,5.0893126
8,5.012218
9,4.9498525
10,4.852547
11,4.800822
12,4.7199197
13,4.663495
14,4.591107
15,4.532977
16,4.445973
17,4.395639
18,4.3592257
19,4.282239
20,4.238655
21,4.163978
22,4.1159887
23,4.0480914
24,4.000086
25,3.9391096
26,3.8812277
27,3.8266902
28,3.777193
29,3.732658
30,3.6721895
31,3.6158042
32,3.5680094
33,3.5121896
34,3.4718535
35,3.421305
36,3.3672583
37,3.3186083
38,3.2644017
39,3.2230122
40,3.1704729
41,3.1297624
42,3.0835261
43,3.036995
44,2.9966652
45,2.954472
46,2.9103467
47,2.8642511
48,2.8175447
49,2.7794302
50,2.7384815
51,2.6944597
52,2.6604304
53,2.6197138
54,2.5798187
55,2.542504
56,2.5063705
57,2.469909
58,2.4305866
59,2.3928504
60,2.3584805
61,2.323626
62,2.2831724
63,2.2544093
64,2.2141862
65,2.1866393
66,2.1517823
67,2.1201637
68,2.0900438
69,2.0604615
70,2.0284283
71,1.9943532
72,1.968699
73,1.9338907
74,1.9069
75,1.8747773
76,1.8503739
77,1.8209099
78,1.7960314
79,1.7621238
80,1.7424713
81,1.7128167
82,1.6850283
83,1.6588668
84,1.6356201
85,1.6093835
86,1.58447
87,1.5667566
88,1.5418198
89,1.5138651
90,1.494156
91,1.468563
92,1.4491417
93,1.4267471
94,1.4067696
95,1.3887688
96,1.3662543
97,1.3414239
98,1.3236501
99,1.30429
100,1.2825632
101,1.264766
102,1.2477562
103,1.2269405
104,1.2088805
105,1.1891881
106,1.1712977
107,1.1533006
108,1.1426017
109,1.122091
110,1.1013461
111,1.0852269
112,1.071136
113,1.0568602
114,1.0401913
115,1.0246718
116,1.0088514
117,0.99495834
118,0.97790676
119,0.96603054
120,0.95436233
121,0.9373303
122,0.9268588
123,0.9069048
124,0.8969297
125,0.8862565
126,0.8725656
127,0.8600477
128,0.8462104
129,0.8361301
130,0.8217972
131,0.81084347
