,Loss
0,7.527561
1,5.878395
2,5.7793803
3,5.8356314
4,5.6066365
5,5.6156764
6,5.5386586
7,5.544339
8,5.3774157
9,5.224805
10,5.2292976
11,5.146383
12,5.1187363
13,5.110659
14,4.979682
15,4.9772215
16,4.829677
17,4.791465
18,4.765338
19,4.726567
20,4.660781
21,4.626611
22,4.540709
23,4.527478
24,4.4444456
25,4.416561
26,4.3700066
27,4.335787
28,4.2960005
29,4.2320786
30,4.177086
31,4.15593
32,4.084808
33,4.047798
34,4.013453
35,3.974873
36,3.9021218
37,3.8873017
38,3.8249648
39,3.8016036
40,3.7538342
41,3.7272885
42,3.6810484
43,3.6329327
44,3.5973332
45,3.5554116
46,3.515444
47,3.4840822
48,3.4219584
49,3.4077015
50,3.3660545
51,3.336341
52,3.2868335
53,3.2683344
54,3.2219572
55,3.1779635
56,3.145248
57,3.1152787
58,3.0853114
59,3.04336
60,3.0090544
61,2.984074
62,2.9477882
63,2.9116783
64,2.8833792
65,2.8611946
66,2.8334966
67,2.794751
68,2.768211
69,2.7325373
70,2.7032115
71,2.680678
72,2.6405747
73,2.609796
74,2.5852742
75,2.5608103
76,2.5278008
77,2.5022159
78,2.4689624
79,2.4403138
80,2.426368
81,2.3954058
82,2.3598022
83,2.3371701
84,2.3154736
85,2.2811577
86,2.257773
87,2.2372677
88,2.2071555
89,2.1913707
90,2.173374
91,2.1389086
92,2.1256776
93,2.088679
94,2.060671
95,2.0460382
96,2.0336185
97,2.0014615
98,1.9830939
99,1.9597639
100,1.9361362
101,1.9131604
102,1.8969948
103,1.875722
104,1.8537884
105,1.8291371
106,1.8129641
107,1.7929065
108,1.7726725
109,1.7604747
110,1.7383654
111,1.7110031
112,1.7008755
113,1.6817623
114,1.656183
115,1.6404898
116,1.621942
117,1.6077614
118,1.5939392
119,1.576391
120,1.5537223
121,1.5418193
122,1.5188401
123,1.5095388
124,1.4937428
125,1.4725742
126,1.4516839
127,1.4339727
128,1.4300364
129,1.4054707
130,1.395888
131,1.3771688
132,1.3626502
133,1.3492241
134,1.3353368
135,1.3176656
136,1.3102746
137,1.2899394
138,1.2831004
139,1.2671163
140,1.2538784
141,1.2419404
142,1.226718
143,1.211807
144,1.2041233
145,1.1850569
146,1.1748357
147,1.1618954
148,1.1513587
149,1.136242
150,1.1273022
151,1.117614
152,1.1107154
153,1.0879021
154,1.0830196
155,1.0695907
156,1.0625788
157,1.0461818
158,1.0373302
159,1.0245025
160,1.0139217
161,1.0065634
162,0.9898261
163,0.9833852
164,0.97541463
165,0.9677003
166,0.9568875
167,0.94528097
168,0.9354356
169,0.9263052
170,0.9208185
171,0.9071051
172,0.90396166
173,0.88787264
174,0.87796915
175,0.8728992
176,0.86338526
177,0.85327023
178,0.84457487
179,0.8360422
180,0.8283141
181,0.8252493
182,0.8113733
183,0.8059164
184,0.7941276
185,0.789518
186,0.782404
187,0.77306175
188,0.7655946
189,0.75928295
190,0.75226724
191,0.7470621
192,0.7359863
193,0.72780144
194,0.7199678
195,0.7124638
196,0.70804524
197,0.70117337
198,0.6949762
199,0.6881052
200,0.68150264
201,0.67453164
202,0.6684726
203,0.66058075
204,0.6548744
205,0.6490595
206,0.6420777
207,0.6393381
208,0.62979454
209,0.6228808
210,0.6201802
211,0.61475927
212,0.6084001
213,0.60479975
214,0.5975663
215,0.5955398
216,0.585017
217,0.5818093
218,0.5768293
219,0.5692863
220,0.56857854
221,0.5607873
222,0.5550466
223,0.55136514
224,0.5451467
225,0.54056907
226,0.5337054
227,0.5268512
228,0.52910835
229,0.5249455
230,0.51345426
231,0.510364
232,0.50788903
233,0.50455755
234,0.5014151
235,0.4971269
236,0.49206686
237,0.4859317
238,0.48255184
239,0.47776803
240,0.4737759
241,0.47117764
242,0.4651532
243,0.4599334
244,0.45859438
245,0.4548142
246,0.44638193
247,0.44521767
248,0.44268048
249,0.43742126
250,0.43635923
251,0.43061104
252,0.42938673
253,0.42753255
254,0.42052323
255,0.41864195
256,0.41496405
257,0.41118503
258,0.41036168
259,0.40263334
260,0.403446
261,0.39826146
262,0.3980213
263,0.39341277
264,0.3882488
265,0.38608178
266,0.3829499
267,0.3838835
268,0.37351048
269,0.36994278
270,0.37420943
271,0.36849806
272,0.36821675
273,0.3604164
274,0.36332873
275,0.35651997
276,0.35111934
277,0.34919107
278,0.35084423
279,0.3452785
280,0.3432839
281,0.34450728
282,0.33754426
283,0.33621266
284,0.3356893
285,0.33320537
286,0.3282402
287,0.32620618
288,0.32752705
289,0.31926852
290,0.32126245
291,0.31890136
292,0.31756467
293,0.31564102
294,0.3114768
295,0.3092465
296,0.3055845
297,0.30224305
298,0.30200657
299,0.29992336
300,0.2994495
301,0.2986641
302,0.2987378
303,0.2933239
304,0.29069856
305,0.28532487
306,0.28573555
307,0.28682542
308,0.2854837
309,0.2814255
310,0.27620518
311,0.27410918
312,0.27879792
313,0.27530494
314,0.27444836
315,0.27157646
316,0.26821133
317,0.26722473
318,0.26461905
319,0.26452357
320,0.26033744
321,0.26270127
322,0.25917143
323,0.25711375
324,0.25599784
325,0.2584967
326,0.25298148
327,0.2523436
328,0.25178725
329,0.25230286
330,0.2502695
331,0.24671379
332,0.24767557
333,0.24442849
334,0.24370986
335,0.24103104
336,0.24032596
337,0.24088675
338,0.23984891
339,0.23803125
340,0.23400727
341,0.23399694
342,0.23408273
343,0.23068115
344,0.23044205
345,0.2270393
346,0.22953305
347,0.22625989
348,0.22717567
349,0.22555035
350,0.2251468
351,0.22194941
352,0.2227454
353,0.2225127
354,0.21931982
355,0.2176928
356,0.21454735
357,0.21826848
358,0.21344241
359,0.21438442
360,0.21592104
361,0.2157858
362,0.20959014
363,0.21335399
364,0.21050636
365,0.2056826
366,0.20937274
367,0.20643246
368,0.2076326
369,0.20551178
370,0.20688564
371,0.20627052
372,0.20162027
373,0.20275742
374,0.20116347
375,0.19971165
376,0.19692405
377,0.1999279
378,0.19682308
379,0.19573648
380,0.19558027
381,0.19548698
382,0.19493107
383,0.19150682
384,0.19377714
385,0.19038421
386,0.18985555
387,0.1908839
388,0.18918239
389,0.18939492
390,0.18941867
391,0.1855914
392,0.18944997
393,0.18528923
394,0.18566434
395,0.18380137
396,0.18049876
397,0.18343069
398,0.18351604
399,0.18115294
400,0.18211025
401,0.18136069
402,0.18063654
403,0.17981671
404,0.17815146
405,0.17740038
406,0.17793626
407,0.17725879
408,0.17766501
409,0.17701033
410,0.17559572
411,0.17821969
412,0.17587347
413,0.17271243
414,0.17473963
415,0.17080925
416,0.17415236
417,0.17267363
418,0.17290126
419,0.1678468
420,0.173579
421,0.16955805
422,0.16931517
423,0.16643009
424,0.16929969
425,0.17079484
426,0.16711152
427,0.16696335
428,0.16757041
429,0.16461428
430,0.1670157
431,0.16443367
432,0.16448532
433,0.1655578
434,0.16427206
435,0.16526416
436,0.16305678
437,0.16306072
438,0.16097291
439,0.1585758
440,0.1607559
441,0.16158251
442,0.16121966
443,0.1580341
444,0.15864679
445,0.15771113
446,0.15755509
447,0.15624058
448,0.15453793
449,0.15764669
450,0.15590939
451,0.15588248
452,0.15510522
453,0.15547049
454,0.15555535
455,0.15414073
456,0.15711534
457,0.15420645
458,0.15215896
459,0.15436962
460,0.1524071
461,0.15325385
462,0.15406027
463,0.1511351
464,0.15047182
465,0.14946
466,0.15000868
467,0.15066382
468,0.148011
469,0.14950767
470,0.14764823
471,0.14897752
472,0.14955774
473,0.14678414
474,0.1466385
475,0.14857727
476,0.1464394
477,0.1480326
478,0.14783467
479,0.14681025
480,0.14698717
481,0.14550719
482,0.14663328
483,0.14553158
484,0.14701802
485,0.14611024
486,0.14383434
487,0.14688954
488,0.14453763
489,0.14256796
490,0.14238214
491,0.14439975
492,0.14316256
493,0.14303206
494,0.14321555
495,0.14276285
496,0.13953528
497,0.1413754
498,0.14284202
499,0.14099349
500,0.14021373
501,0.14117718
502,0.14278208
503,0.14160381
504,0.14022522
505,0.14133798
506,0.13991112
507,0.13884003
508,0.14103486
509,0.13933942
510,0.1385167
511,0.13870789
512,0.1397294
513,0.13634863
514,0.13979308
515,0.13957617
516,0.13614747
517,0.13924462
518,0.13719197
519,0.13754004
520,0.13700664
521,0.13486828
522,0.13552842
523,0.13701281
524,0.13402304
525,0.13420479
526,0.1366257
527,0.13502777
528,0.13449419
529,0.13465004
530,0.13481423
531,0.13672695
532,0.13423161
533,0.13558558
534,0.13354763
535,0.13474707
