,Loss
0,7.523248
1,6.8341227
2,6.466557
3,6.131432
4,6.0309753
5,5.9624333
6,5.8523626
7,5.9317436
8,5.6731825
9,5.7364964
10,5.663754
11,5.5927763
12,5.5173364
13,5.6556897
14,5.4627256
15,5.191476
16,5.3612404
17,5.22247
18,5.254562
19,5.1332684
20,5.1459403
21,5.0192013
22,4.940851
23,5.0414157
24,4.9668455
25,4.9154134
26,4.691349
27,4.8391075
28,4.7147527
29,4.6419935
30,4.6650844
31,4.6731367
32,4.578659
33,4.4667726
34,4.445182
35,4.3897142
36,4.4033146
37,4.309889
38,4.280768
39,4.249923
40,4.237317
41,4.2204194
42,4.1168265
43,4.116282
44,4.0201845
45,3.9980505
46,3.8954926
47,3.9099832
48,3.9425912
49,3.9042373
50,3.9215798
51,3.7635813
52,3.7452955
53,3.8236275
54,3.6642249
55,3.714609
56,3.6195893
57,3.5943866
58,3.53405
59,3.6408913
60,3.567564
61,3.5187721
62,3.4458604
63,3.540382
64,3.4301908
65,3.406647
66,3.3642116
67,3.337544
68,3.338265
69,3.293852
70,3.2308326
71,3.1257174
72,3.2063055
73,3.2385306
74,3.1025949
75,3.142844
76,3.200428
77,3.1284323
78,3.093883
79,3.0360804
80,2.9499311
81,2.9461646
82,2.9564822
83,2.9535897
84,2.938519
85,2.9480586
86,2.8866236
87,2.8079095
88,2.884613
89,2.7655745
90,2.7984867
91,2.7329533
92,2.7043676
93,2.6664124
94,2.635149
95,2.6560893
96,2.5851254
97,2.6495602
98,2.612674
99,2.5939598
100,2.5498786
101,2.6190128
102,2.514155
103,2.6292112
104,2.535468
105,2.479473
106,2.5112314
107,2.462802
108,2.3965123
109,2.393807
110,2.470439
111,2.3625913
112,2.3528428
113,2.3063288
114,2.3130693
115,2.2712283
116,2.3070078
117,2.3540647
118,2.3103518
119,2.3208978
120,2.2430682
121,2.2768273
122,2.2057705
123,2.2723475
124,2.2263064
125,2.179058
126,2.1534524
127,2.1571808
128,2.127373
129,2.1097307
130,2.1078665
131,2.0865507
132,2.113056
133,2.0896807
134,2.054301
135,1.957978
136,2.0022469
