,Loss
0,7.2370725
1,5.963753
2,5.8554254
3,5.661152
4,5.4874067
5,5.5282907
6,5.4107122
7,5.3698006
8,5.269944
9,5.2441826
10,5.177214
11,5.1219745
12,5.047588
13,4.9505997
14,4.862314
15,4.8691616
16,4.8082666
17,4.7504835
18,4.6628957
19,4.6107907
20,4.603642
21,4.52173
22,4.4979205
23,4.399243
24,4.3937583
25,4.3642764
26,4.299899
27,4.2278
28,4.200645
29,4.167168
30,4.11999
31,4.054382
32,4.005655
33,3.9598575
34,3.930509
35,3.8613055
36,3.8416584
37,3.7698505
38,3.769996
39,3.6749482
40,3.6790323
41,3.6127014
42,3.601381
43,3.5376968
44,3.4565299
45,3.4812748
46,3.4530983
47,3.339246
48,3.3682148
49,3.3106267
50,3.2758224
51,3.2411313
52,3.1846936
53,3.1450255
54,3.0937667
55,3.0594218
56,3.068547
57,3.0268226
58,3.0073798
59,2.9458761
60,2.9226499
61,2.9032834
62,2.858683
63,2.7934608
64,2.7888565
65,2.7918367
66,2.7265787
67,2.6718016
68,2.6899707
69,2.6290734
70,2.6032202
71,2.5912673
72,2.5734503
73,2.5204856
74,2.5182993
75,2.4577913
76,2.451705
77,2.4287963
78,2.4159029
79,2.3448954
80,2.3398275
81,2.341344
82,2.3206062
83,2.2826285
84,2.2516537
85,2.194628
86,2.176442
87,2.1582134
88,2.1603045
89,2.1151254
90,2.0943825
91,2.092474
92,2.0661376
93,2.0076437
94,2.01733
95,1.9967866
96,1.9750264
97,1.9499524
98,1.9360138
99,1.9409941
100,1.9113393
101,1.8739308
102,1.8563751
103,1.8327067
104,1.8268255
105,1.8005083
106,1.7469586
107,1.7671734
108,1.7454045
109,1.7348907
110,1.7032018
111,1.6805427
112,1.6758258
113,1.6392158
114,1.630102
115,1.6494708
116,1.6132866
117,1.6041371
118,1.5883282
119,1.5503322
120,1.5485384
121,1.5497137
122,1.5064603
123,1.5030869
124,1.4528176
125,1.4740944
126,1.4580146
127,1.4241991
128,1.4564145
129,1.4108526
130,1.3958344
131,1.4156437
132,1.3844719
133,1.359861
134,1.3616308
135,1.3253837
136,1.3178264
137,1.3216051
138,1.287381
139,1.259759
140,1.3013723
141,1.2662117
142,1.22131
143,1.2398101
144,1.2538811
145,1.2386622
146,1.2051549
147,1.190668
148,1.2014495
149,1.1805499
150,1.1701423
151,1.1531187
152,1.1480517
153,1.1142218
154,1.1209561
155,1.1087589
156,1.1289067
157,1.0891464
158,1.0809026
159,1.0765934
160,1.0590836
161,1.0690789
162,1.0417291
163,1.0288181
164,1.0454336
165,1.0271524
166,0.99659264
167,0.9921018
168,1.0035903
169,1.0059032
170,0.97550476
171,0.98932844
172,0.97854507
173,0.9793688
174,0.9631007
175,0.9545521
176,0.953302
177,0.916873
178,0.9222787
179,0.9069088
180,0.9011953
181,0.90510136
182,0.87896764
183,0.87038267
184,0.88980377
185,0.8646545
186,0.8851181
187,0.86111194
188,0.87527597
189,0.8582251
190,0.8106198
191,0.80143446
192,0.8340046
193,0.8224251
194,0.80407035
195,0.7931447
196,0.8051266
197,0.8032766
198,0.75805545
199,0.7735018
200,0.7704448
201,0.7912618
202,0.7360625
203,0.75427073
204,0.74058676
205,0.734432
206,0.76144373
207,0.73079437
208,0.75604904
209,0.7237229
210,0.7045556
211,0.6876991
212,0.68273926
213,0.70491415
214,0.7039456
215,0.6950731
216,0.6887369
217,0.675104
218,0.66936165
219,0.7020814
220,0.6817328
221,0.6644254
222,0.6499121
223,0.6703222
224,0.65358216
225,0.6412016
226,0.6630352
227,0.65743333
228,0.6587176
229,0.66225886
230,0.6275743
231,0.60840285
232,0.63546574
233,0.6147563
234,0.61834216
235,0.6006386
236,0.6044925
237,0.63295686
238,0.6019447
239,0.62344134
240,0.57509345
241,0.57862055
242,0.6038555
243,0.57149196
244,0.60368836
245,0.5771398
246,0.56937253
247,0.53893137
248,0.55481553
249,0.5535362
250,0.54737973
251,0.5622573
252,0.5750855
253,0.5547678
254,0.5436994
255,0.55736506
256,0.523511
257,0.5360825
258,0.50990397
259,0.5245927
260,0.49840453
261,0.53916144
262,0.53427476
263,0.49750966
264,0.5221554
265,0.53551656
266,0.5121566
267,0.520081
268,0.494765
269,0.5138415
270,0.5138407
271,0.4909391
272,0.52073836
273,0.49216318
274,0.469452
275,0.49723667
276,0.4717909
277,0.4959404
278,0.47799018
279,0.46642435
280,0.47382763
281,0.4740743
282,0.46383762
283,0.4715861
284,0.45218104
285,0.45830128
286,0.4507309
287,0.46532708
288,0.46723408
289,0.43117788
290,0.4564495
291,0.47329843
292,0.45806307
293,0.4629187
294,0.44885534
295,0.4518903
296,0.44203413
297,0.43535608
298,0.43025815
299,0.4536444
300,0.447764
301,0.42775917
302,0.43073496
303,0.43957537
304,0.4172567
305,0.42920268
306,0.41433674
307,0.4395529
308,0.4224494
309,0.42988354
310,0.42817903
311,0.42703125
312,0.43256345
313,0.38457668
314,0.4018365
315,0.39042807
316,0.3980853
317,0.40217206
318,0.40397066
319,0.41041487
320,0.41031644
321,0.404111
322,0.40368897
323,0.39282858
324,0.3953276
325,0.39126274
326,0.37780425
327,0.3897989
328,0.36549085
329,0.37076464
330,0.3690108
331,0.37428266
332,0.38650143
333,0.38178104
334,0.3962511
335,0.3956074
336,0.38687587
337,0.3929671
338,0.3708314
339,0.3986274
340,0.3798777
341,0.36179686
342,0.35617602
343,0.36706662
344,0.37445062
345,0.38687766
346,0.36797336
347,0.38496238
348,0.3681897
349,0.3555042
350,0.35039222
351,0.3614961
352,0.37120932
353,0.36461765
354,0.36714524
355,0.33427963
356,0.36567467
357,0.35379133
358,0.3357581
359,0.37376124
360,0.35729253
361,0.3502578
362,0.34513608
363,0.36795104
364,0.35617667
365,0.34552348
366,0.32033572
367,0.34221786
368,0.34024036
369,0.3628216
370,0.35278317
371,0.32448426
372,0.34512088
373,0.3569275
374,0.3138025
375,0.36003244
376,0.35734296
377,0.3078317
378,0.32655752
379,0.34195212
380,0.36246914
381,0.3414092
382,0.3199079
383,0.32506973
384,0.33161888
385,0.34631956
386,0.31208763
387,0.33097565
388,0.29610842
389,0.33608454
390,0.32328427
391,0.31969512
392,0.30607492
393,0.34130883
394,0.33376172
395,0.3272792
396,0.3048017
397,0.33395854
398,0.32143196
399,0.33174172
400,0.3009942
401,0.3061922
402,0.31560445
403,0.31404883
404,0.342957
405,0.30854896
406,0.30502605
407,0.32558757
408,0.33791006
409,0.3104015
410,0.28753978
411,0.2906243
412,0.30797845
413,0.33395606
