,Loss
0,8.403402
1,6.233788
2,5.9344945
3,5.600658
4,5.6385326
5,5.4787273
6,5.284316
7,5.289373
8,5.1227555
9,5.0254145
10,4.9993916
11,4.9553967
12,4.9003954
13,4.814675
14,4.753627
15,4.6962504
16,4.670255
17,4.5675626
18,4.537526
19,4.47828
20,4.43797
21,4.3790574
22,4.329355
23,4.277807
24,4.2225585
25,4.1810346
26,4.1334124
27,4.0752864
28,4.0358496
29,3.9835103
30,3.9351144
31,3.8938491
32,3.8424382
33,3.7991045
34,3.749757
35,3.7054808
36,3.6600068
37,3.6179614
38,3.5742385
39,3.5238826
40,3.4887233
41,3.43768
42,3.4002373
43,3.3583221
44,3.315756
45,3.2718098
46,3.2338765
47,3.195994
48,3.1553273
49,3.1172569
50,3.077779
51,3.0406945
52,2.9978507
53,2.9627068
54,2.9218552
55,2.8873122
56,2.850325
57,2.8150113
58,2.7744803
59,2.7435405
60,2.7071283
61,2.674839
62,2.637072
63,2.6042576
64,2.5707579
65,2.5359008
66,2.50742
67,2.473408
68,2.4401217
69,2.4108353
70,2.3790634
71,2.3412018
72,2.313677
73,2.284649
74,2.2524545
75,2.2263627
76,2.1933188
77,2.1670327
78,2.1397724
79,2.110341
80,2.0822303
81,2.0558038
82,2.0290425
83,2.0025198
84,1.9741809
85,1.9504749
86,1.9259844
87,1.8959771
88,1.875723
89,1.8522716
90,1.8248829
91,1.8048619
92,1.7788957
93,1.7536277
94,1.732284
95,1.707178
96,1.686018
97,1.6653502
98,1.6420583
99,1.6192677
100,1.5968362
101,1.5769271
102,1.5575917
103,1.536195
104,1.5171895
105,1.4976349
106,1.4743798
107,1.4578528
108,1.4401267
109,1.4191864
110,1.3994249
111,1.3845965
112,1.3632473
113,1.3480737
114,1.3290834
115,1.3124014
116,1.2956028
117,1.2767576
118,1.257957
119,1.2422212
120,1.2274741
121,1.2131368
122,1.1944506
123,1.1810784
124,1.1642103
125,1.1495079
126,1.1350675
127,1.1212039
128,1.1037928
129,1.0907117
130,1.076067
131,1.063537
132,1.0473309
133,1.0350337
134,1.0220823
135,1.008735
136,0.9965403
137,0.98408264
138,0.97123617
139,0.955823
140,0.9479647
141,0.93351054
142,0.9231329
143,0.9103403
144,0.8987877
145,0.8838437
146,0.87597805
147,0.86513317
148,0.8534235
149,0.8421274
150,0.8318662
151,0.8207071
152,0.8097491
153,0.7993372
154,0.7890004
155,0.7807777
156,0.7704527
157,0.7590383
158,0.7502915
159,0.74182165
160,0.733354
161,0.7243301
162,0.71260685
163,0.70634955
164,0.6950357
165,0.68751913
166,0.67888707
167,0.67177135
168,0.66016084
169,0.6516233
170,0.6459847
171,0.63641036
172,0.6290531
173,0.6239622
174,0.6153518
175,0.6077443
176,0.5990036
177,0.58985204
178,0.58325094
179,0.5787451
180,0.57051915
181,0.5617762
182,0.55397207
183,0.5483357
184,0.54406315
185,0.5381526
186,0.53223795
187,0.5239617
188,0.51824194
189,0.5102722
190,0.5029409
191,0.5003839
192,0.49339148
193,0.48810613
194,0.4835682
195,0.4754976
196,0.47131383
197,0.46526065
198,0.4603497
199,0.4555796
200,0.4485476
201,0.44309038
202,0.43839422
203,0.43441373
204,0.42738608
205,0.42297924
206,0.417976
207,0.41449872
208,0.4074152
209,0.40528768
210,0.3989018
211,0.39661434
212,0.3917762
213,0.38552043
214,0.38025525
215,0.37706107
216,0.3734373
217,0.37076077
218,0.36417156
219,0.36263832
220,0.3584185
221,0.35254508
222,0.3481472
223,0.34518456
224,0.34060615
225,0.33838686
226,0.33375236
227,0.33155897
228,0.32722726
229,0.32356095
230,0.3222388
231,0.31638852
232,0.31289595
233,0.31154385
234,0.30683297
235,0.30236483
236,0.30012465
237,0.29869524
238,0.29392567
239,0.2913212
240,0.28828004
241,0.28578168
242,0.28195998
243,0.27924854
244,0.27667788
245,0.27306655
246,0.26962855
247,0.26963747
248,0.2653669
249,0.26216152
250,0.25892895
251,0.25936666
252,0.2531312
253,0.25384063
254,0.2492427
255,0.24518786
256,0.24360925
257,0.24282223
258,0.23970585
259,0.23544934
