,Loss
0,8.805074
1,7.1012897
2,6.6161547
3,6.126276
4,6.1764193
5,5.8701415
6,5.914658
7,5.6509857
8,5.5887356
9,5.6050396
10,5.4899983
11,5.3792324
12,5.3866563
13,5.3224998
14,5.173061
15,5.1919327
16,4.9755535
17,5.10364
18,4.9732194
19,4.859154
20,4.8008184
21,4.7859674
22,4.8085427
23,4.7114677
24,4.725949
25,4.5799465
26,4.5870295
27,4.5627584
28,4.5217853
29,4.4908576
30,4.4162483
31,4.3268156
32,4.350797
33,4.326874
34,4.2692113
35,4.2161818
36,4.1622415
37,4.119623
38,4.094027
39,4.0629644
40,4.033066
41,3.9793928
42,3.9582794
43,3.9178386
44,3.8884919
45,3.8256145
46,3.7942095
47,3.7684665
48,3.7160015
49,3.6706371
50,3.664019
51,3.6222045
52,3.5631328
53,3.545517
54,3.5288682
55,3.490772
56,3.4320934
57,3.423891
58,3.3792202
59,3.3597353
60,3.3100846
61,3.2869802
62,3.248223
63,3.2240436
64,3.194708
65,3.1624866
66,3.128241
67,3.0949168
68,3.0743647
69,3.0437214
70,3.0061104
71,2.984887
72,2.9559758
73,2.9162917
74,2.900249
75,2.8649542
76,2.8372312
77,2.8103828
78,2.776545
79,2.7548642
80,2.7366855
81,2.7041564
82,2.6765199
83,2.6485043
84,2.6235862
85,2.6003106
86,2.5799246
87,2.548896
88,2.5190353
89,2.4997344
90,2.4800508
91,2.4480584
92,2.425655
93,2.3999014
94,2.3786607
95,2.3572018
96,2.3378708
97,2.3078012
98,2.2870479
99,2.2629626
100,2.241819
101,2.2244325
102,2.2003314
103,2.1743944
104,2.147821
105,2.1302013
106,2.1199815
107,2.0953326
108,2.0777593
109,2.0532546
110,2.033613
111,2.0112145
112,1.9898103
113,1.9722526
114,1.952303
115,1.9308875
116,1.9164315
117,1.892426
118,1.8780879
119,1.8582218
120,1.8369662
121,1.8183637
122,1.8037493
123,1.791924
124,1.7703096
125,1.7536047
126,1.7324504
127,1.7185895
128,1.7031648
129,1.6810819
130,1.6692973
131,1.6526749
132,1.6328266
133,1.6181948
134,1.6006043
135,1.5863193
136,1.5701311
137,1.5525296
138,1.5398601
139,1.5263222
140,1.5144439
141,1.4943405
142,1.4823989
143,1.4673789
144,1.4532336
145,1.4365134
146,1.4270235
147,1.4083354
148,1.3943137
149,1.3828642
150,1.3660026
151,1.3555725
152,1.3434768
153,1.3286151
154,1.3195634
155,1.3018941
156,1.2922018
157,1.2766771
158,1.2671051
159,1.2529904
160,1.2452195
161,1.2329323
162,1.2216687
163,1.2054615
164,1.1924852
165,1.1819192
166,1.171159
167,1.1629021
168,1.1511464
169,1.1357731
170,1.1287067
171,1.1170299
172,1.1053612
173,1.0952188
174,1.0857111
175,1.0764059
176,1.0648324
177,1.0576024
178,1.0391834
179,1.0309757
180,1.0237132
181,1.0153059
182,1.007356
183,0.99824107
184,0.99030936
185,0.9782447
186,0.9696026
187,0.9598147
188,0.9495114
189,0.94267654
190,0.930869
191,0.9249036
192,0.91662
193,0.90797675
194,0.8978645
195,0.89274883
196,0.8824238
197,0.87422675
198,0.86572814
199,0.8588262
200,0.8509116
201,0.84188175
202,0.83491844
203,0.82922465
204,0.81718266
205,0.81348306
206,0.80314887
207,0.7981561
208,0.7899385
209,0.7843561
210,0.7759642
211,0.771702
212,0.76213497
213,0.75488794
214,0.74783486
215,0.7403637
216,0.7351237
217,0.7287484
218,0.72303504
219,0.7171479
220,0.71061784
221,0.7009254
222,0.6971135
223,0.6906925
224,0.6847238
225,0.6775737
226,0.6719993
227,0.66460496
228,0.6598802
229,0.6557055
230,0.6486405
231,0.641946
232,0.6374605
233,0.63132197
234,0.6269874
235,0.6193189
236,0.6194717
237,0.6113267
238,0.60644424
239,0.60110533
240,0.59736216
241,0.592801
242,0.58581096
243,0.5822314
244,0.5747187
245,0.5735555
246,0.5644519
247,0.56261384
248,0.5549296
249,0.5533769
250,0.5435162
251,0.5423508
252,0.53787947
253,0.53450996
254,0.53142244
255,0.5263634
256,0.5228728
257,0.516777
258,0.5121918
259,0.50686246
260,0.50565964
261,0.4983896
262,0.4975751
263,0.49358627
264,0.4890746
265,0.4840181
266,0.4838842
267,0.47728914
268,0.47264966
269,0.47036272
270,0.46372178
271,0.46292922
272,0.45834976
273,0.45421562
274,0.45129654
275,0.44623834
276,0.4429158
277,0.44000047
278,0.4393152
279,0.43571413
280,0.4311467
281,0.42830864
282,0.42778683
283,0.42281294
284,0.4191031
285,0.4161658
286,0.4118264
287,0.40721563
288,0.4049054
289,0.40446123
290,0.4004853
291,0.39642936
292,0.39613947
293,0.39081466
294,0.38774323
295,0.38636655
296,0.38457716
297,0.3785123
298,0.37851638
299,0.37518662
300,0.3724046
301,0.36896655
302,0.3677371
303,0.36239418
304,0.361825
305,0.36037004
306,0.35858446
307,0.3562117
308,0.35275692
309,0.3507323
310,0.34661868
311,0.34624243
312,0.34211326
313,0.34023073
314,0.34010643
315,0.33651462
316,0.33293274
317,0.33102977
318,0.3290271
319,0.32714933
320,0.32655272
321,0.32424483
322,0.3202934
323,0.3188109
324,0.31638065
325,0.31446406
326,0.31459835
327,0.31086895
328,0.3100953
329,0.30681106
330,0.30427346
331,0.301482
332,0.29944417
333,0.29909235
334,0.29782858
335,0.29519612
336,0.29300997
337,0.29297516
338,0.2893297
339,0.29010424
340,0.2868804
341,0.2850414
342,0.28191483
343,0.28172556
344,0.27912772
345,0.27809766
346,0.27783614
347,0.2756594
348,0.2741302
349,0.2703357
350,0.27102846
351,0.26957673
352,0.2674358
353,0.2651624
354,0.264385
355,0.26346323
356,0.26291323
357,0.25952494
358,0.25920188
359,0.2591109
360,0.25872803
361,0.2572964
362,0.25417775
363,0.25371274
