,Loss
0,8.714668
1,7.8812737
2,7.6442337
3,7.197321
4,7.0316744
5,6.5063825
6,6.494165
7,6.5110264
8,6.2143683
9,6.2486587
10,6.4039154
11,6.200106
12,6.3312607
13,6.1411567
14,6.0719347
15,6.006185
16,5.898217
17,5.846454
18,5.9550323
19,5.7545667
20,5.79474
21,5.6012497
22,5.628805
23,5.4735785
24,5.5924296
25,5.6386933
26,5.3976707
27,5.4465904
28,5.20371
29,5.3407245
30,5.379335
31,5.150892
32,5.212658
33,5.10023
34,5.058321
35,5.0083685
36,5.014908
37,5.022644
38,4.8270655
39,4.842915
40,4.958651
41,4.7494597
42,4.7033606
43,4.623884
44,4.564172
45,4.6665354
46,4.444002
47,4.662922
48,4.553332
49,4.471048
50,4.5924125
51,4.463502
52,4.3307953
53,4.3668804
54,4.357801
55,4.325648
56,4.2872334
57,4.3611364
58,4.22298
59,4.2079988
60,4.2053275
61,4.027688
62,4.228967
63,4.0481343
64,4.0511465
65,4.117155
66,4.0247793
67,3.8800526
68,3.8976333
69,3.907954
70,3.8309805
71,3.8358777
72,3.8838148
73,3.9732509
74,3.6642823
75,3.7717736
76,3.6198492
77,3.76425
78,3.5181293
79,3.6529365
80,3.5533748
81,3.5823736
82,3.6380522
83,3.6745696
84,3.63799
85,3.5079343
86,3.3427186
87,3.4617238
88,3.4253135
89,3.37013
90,3.3342118
91,3.3630745
92,3.3973365
93,3.2427354
94,3.284443
95,3.2802777
96,3.267368
97,3.3085551
98,3.164146
99,3.143265
100,3.0811043
101,3.2377777
102,3.1082597
103,3.0692034
104,3.112382
105,3.1055722
106,2.9875016
107,3.0770814
108,3.0189548
109,2.910387
110,3.0250502
111,3.0507765
112,2.9816008
113,2.9524233
114,2.9152064
115,2.8343043
116,2.8672752
117,2.8490484
118,2.9025178
119,2.852673
120,2.765644
121,2.8376386
122,2.8282788
123,2.7283242
124,2.75819
125,2.668303
126,2.8430953
127,2.7043552
128,2.6773882
129,2.684017
130,2.6419234
131,2.5649796
132,2.7060027
133,2.5891993
134,2.5289078
135,2.5515118
136,2.622764
137,2.6376882
138,2.5347795
139,2.5021393
140,2.5813346
141,2.5858388
142,2.5097308
143,2.539743
144,2.458506
145,2.423882
146,2.5303547
147,2.4563837
148,2.3558242
149,2.4321675
150,2.366459
151,2.2980876
152,2.2961574
153,2.3695283
154,2.4119194
155,2.3304784
156,2.3839755
157,2.2455816
158,2.3136544
159,2.330474
160,2.3896527
161,2.2435913
162,2.1248808
163,2.3115835
164,2.3619795
165,2.288861
166,2.2826214
167,2.2152598
168,2.0850766
169,2.2552629
170,2.1217723
171,2.2123117
172,2.1752803
173,2.241887
174,2.262958
175,2.1198027
176,2.226459
177,2.0277817
178,2.0462508
179,2.1053405
180,2.0783648
181,2.0363028
182,2.044901
183,2.0264466
184,2.0996432
185,2.14354
186,2.1189148
187,2.029686
188,2.0211258
189,2.0202742
190,1.9641403
191,1.9148844
192,2.0836844
193,1.9915771
194,1.9446042
195,1.9557455
196,1.9479796
197,1.9477783
198,1.869657
199,1.8285642
200,1.8639319
201,1.967906
202,1.9212469
203,1.8523444
204,1.9700562
205,1.9389938
206,1.7781587
207,1.853835
208,1.792026
209,1.8157225
210,1.9277158
211,1.7812538
212,1.8245885
213,1.9326551
214,1.8276436
215,1.8273036
216,1.8553276
217,1.8534427
218,1.7893038
219,1.7773315
220,1.6850202
221,1.7786584
222,1.8915274
223,1.7080412
224,1.7255439
225,1.7506
226,1.6885011
227,1.7589246
228,1.6736978
229,1.6829001
230,1.6271789
231,1.6379802
232,1.6410906
233,1.706345
234,1.6174569
235,1.6314137
236,1.6487571
237,1.6821568
238,1.7095451
239,1.5649953
240,1.5899608
241,1.6240623
242,1.6335976
243,1.635293
244,1.7472355
245,1.6177983
246,1.750443
247,1.5252843
248,1.6906242
249,1.5828636
250,1.6422434
251,1.6693282
252,1.5607955
253,1.5835744
254,1.5465865
255,1.5844153
256,1.6261809
257,1.5408672
258,1.522108
259,1.5265605
260,1.5612624
261,1.5655959
262,1.6430821
263,1.5900213
264,1.5635855
265,1.5033123
266,1.5038928
267,1.4949951
268,1.5116702
269,1.493586
270,1.5250846
271,1.4617274
272,1.4968497
273,1.4799664
274,1.3410028
275,1.4821148
276,1.5145085
277,1.508198
278,1.5106096
279,1.5519319
280,1.4146233
281,1.4416659
282,1.3913376
283,1.4738225
284,1.4901375
285,1.3984026
286,1.5030191
287,1.3927996
288,1.4127231
289,1.3799372
290,1.4027601
291,1.3488119
292,1.4819422
293,1.3435676
294,1.3951015
295,1.4219322
296,1.4609091
297,1.4810976
298,1.3913121
299,1.4366336
300,1.3564155
301,1.3576461
302,1.3407645
303,1.2704022
304,1.3645337
305,1.3090386
306,1.3423178
307,1.3463161
308,1.3540338
309,1.3496103
310,1.3072195
311,1.3022202
312,1.244657
313,1.3782012
314,1.318133
315,1.3239341
316,1.3555536
317,1.4068725
318,1.25156
319,1.3692057
320,1.3390026
321,1.2890933
322,1.2666478
323,1.3252039
324,1.2531956
325,1.3004556
326,1.3278666
327,1.2713192
328,1.3562434
329,1.283882
330,1.278594
331,1.2029582
332,1.3049257
333,1.2058079
334,1.2815568
335,1.2491735
336,1.2006404
337,1.2745054
338,1.3023455
339,1.3541927
340,1.2818208
341,1.2277422
342,1.2180781
343,1.2541375
344,1.2673211
