,Loss
0,8.691097
1,6.497219
2,6.174654
3,6.116018
4,5.99919
5,5.8561
6,5.7186847
7,5.6794395
8,5.5090737
9,5.4669466
10,5.386577
11,5.2326097
12,5.1930175
13,5.1882033
14,5.0543275
15,5.042031
16,4.959077
17,4.9427204
18,4.882982
19,4.782588
20,4.7362
21,4.718246
22,4.7001386
23,4.618545
24,4.581536
25,4.531438
26,4.476282
27,4.401662
28,4.3585577
29,4.310118
30,4.309848
31,4.249914
32,4.229639
33,4.160638
34,4.1574717
35,4.0778275
36,4.077838
37,3.9952214
38,3.9927802
39,3.941261
40,3.899665
41,3.8501801
42,3.8320203
43,3.7849689
44,3.7457335
45,3.7259653
46,3.6617236
47,3.6415744
48,3.5917559
49,3.5625415
50,3.521744
51,3.4849377
52,3.4810228
53,3.4310887
54,3.3577006
55,3.3577266
56,3.326517
57,3.2866316
58,3.2723937
59,3.2278092
60,3.2019718
61,3.1703608
62,3.107867
63,3.0856667
64,3.0607347
65,3.0389926
66,3.0082054
67,2.9889026
68,2.9614866
69,2.91014
70,2.9072952
71,2.875886
72,2.8256342
73,2.8059187
74,2.7966387
75,2.7418203
76,2.734209
77,2.6964946
78,2.6805987
79,2.6588466
80,2.6371756
81,2.5942254
82,2.5668452
83,2.5465946
84,2.5435069
85,2.4870307
86,2.4700034
87,2.4483342
88,2.4439626
89,2.397159
90,2.3744037
91,2.3652358
92,2.3228493
93,2.3190207
94,2.3103125
95,2.261308
96,2.2650313
97,2.233111
98,2.2013292
99,2.1973617
100,2.1517658
101,2.1385455
102,2.1228878
103,2.121235
104,2.0924451
105,2.079281
106,2.0474913
107,2.0218842
108,2.0160942
109,2.0057502
110,1.9409426
111,1.9646549
112,1.9178419
113,1.928284
114,1.9027734
115,1.8970286
116,1.8689142
117,1.8511575
118,1.8369249
119,1.835865
120,1.8066516
121,1.7965469
122,1.7682683
123,1.7566038
124,1.7474023
125,1.7360207
126,1.7039338
127,1.6964297
128,1.6994554
129,1.6665453
130,1.6592807
131,1.6225612
132,1.5896691
133,1.6101483
134,1.5846431
135,1.5687562
136,1.5745182
137,1.5386909
138,1.5339288
139,1.5308127
140,1.5244086
141,1.5058854
142,1.4969466
143,1.47886
144,1.451596
145,1.430905
146,1.4402943
147,1.4176416
148,1.4113419
149,1.3840753
150,1.3828205
151,1.3543894
152,1.356282
153,1.3603499
154,1.3535167
155,1.3205339
156,1.3240324
157,1.3116753
158,1.283693
159,1.2902268
160,1.2744544
161,1.2670922
162,1.2580092
163,1.2559674
164,1.2423757
165,1.2374105
166,1.2254248
167,1.2301332
168,1.2099894
169,1.1868918
170,1.173034
171,1.1726578
172,1.1824801
173,1.1313573
174,1.1368502
175,1.1254634
176,1.116813
177,1.1366417
178,1.1067187
179,1.1121721
180,1.0626254
181,1.0809991
182,1.0709486
183,1.073451
184,1.0477045
185,1.040717
186,1.0463121
187,1.0294949
188,1.0369362
189,1.012695
190,1.0148102
191,1.0151173
192,0.98915946
193,0.97665906
194,0.9787376
195,0.9709103
196,0.9626013
197,0.9336806
198,0.969731
199,0.94425297
200,0.9341661
201,0.94768715
202,0.9426802
203,0.91345227
204,0.920244
205,0.90058315
206,0.90762407
207,0.89362854
208,0.8937284
209,0.89609796
210,0.86300945
211,0.86435664
212,0.8569073
213,0.85939413
214,0.83582777
215,0.8582833
216,0.83561444
217,0.8423904
218,0.8346811
219,0.8229219
220,0.80736434
221,0.8280153
222,0.8097117
223,0.7913584
224,0.7809969
225,0.80021346
226,0.78912616
227,0.7693995
228,0.77946293
229,0.75388247
230,0.758267
231,0.7574971
232,0.74307287
233,0.7488578
234,0.7466668
235,0.75550723
236,0.7541219
237,0.7466225
238,0.71238035
239,0.7296167
240,0.7166283
241,0.72819304
242,0.7084204
243,0.70689976
244,0.72217447
245,0.7067543
246,0.7011804
247,0.70401883
248,0.6865697
249,0.70267785
250,0.69046736
251,0.6540724
252,0.66780317
253,0.6600482
254,0.6526129
255,0.66835755
256,0.649098
257,0.6424432
258,0.65133816
259,0.65071857
260,0.64315295
261,0.6324701
262,0.645283
263,0.6391212
264,0.62934613
265,0.6334832
266,0.63807863
267,0.6321309
268,0.5916611
269,0.6262233
270,0.60545397
271,0.62167877
272,0.60640115
273,0.5926739
274,0.5928612
275,0.58558726
276,0.5792047
277,0.58741534
278,0.56733614
279,0.5918596
280,0.5747497
281,0.5787895
282,0.5565515
283,0.5555159
284,0.5741419
285,0.5699335
286,0.5688317
287,0.5484803
288,0.56559575
289,0.5571102
290,0.5525508
291,0.55439687
292,0.5564846
293,0.53905404
294,0.5336243
295,0.53817165
296,0.54567826
297,0.5050173
298,0.53606427
299,0.52644634
300,0.5171995
301,0.5177443
302,0.51377887
303,0.50822437
304,0.51256645
305,0.5238472
306,0.4813715
307,0.51744616
308,0.5072237
309,0.50852615
310,0.49804336
311,0.5199463
312,0.49846917
313,0.4755752
314,0.48360068
315,0.48864758
316,0.5075379
317,0.49172384
318,0.48553482
319,0.50867724
320,0.47608674
321,0.48341703
322,0.4809125
323,0.47470206
324,0.47324443
325,0.46904242
326,0.47840163
327,0.4722513
328,0.46723065
329,0.4444905
330,0.4728976
331,0.4507773
332,0.46278954
333,0.47332492
334,0.45926762
335,0.45170864
336,0.44424167
337,0.4439003
338,0.43981212
339,0.4420023
340,0.44193977
341,0.42132214
342,0.43715107
343,0.43306798
344,0.43629396
345,0.41934472
346,0.4311223
347,0.4345837
348,0.44989568
349,0.4263745
350,0.43229052
351,0.4054677
352,0.426903
353,0.4238736
354,0.4238282
355,0.39810595
356,0.41736478
357,0.42036968
358,0.41432992
359,0.3982804
360,0.42800632
361,0.4155902
362,0.42239237
363,0.3893246
364,0.40743077
365,0.41027653
366,0.39455307
367,0.4113195
368,0.3943386
369,0.39731166
