,Loss
0,10.032807
1,7.1380615
2,6.574188
3,6.330207
4,5.9498835
5,5.715067
6,5.560047
7,5.388853
8,5.270189
9,5.1723976
10,5.084089
11,5.006908
12,4.94552
13,4.8913307
14,4.8336987
15,4.760178
16,4.7229953
17,4.6629806
18,4.6131363
19,4.559282
20,4.506468
21,4.469135
22,4.4191604
23,4.372283
24,4.31757
25,4.270873
26,4.2260756
27,4.179115
28,4.1412306
29,4.092721
30,4.047376
31,4.003888
32,3.9604576
33,3.9172466
34,3.8712986
35,3.8298585
36,3.7851424
37,3.7387671
38,3.700181
39,3.659618
40,3.6196012
41,3.5771446
42,3.537541
43,3.4901462
44,3.4486501
45,3.4129312
46,3.378624
47,3.338393
48,3.297444
49,3.2607374
50,3.2199218
51,3.1847148
52,3.1457984
53,3.1084914
54,3.0749729
55,3.0373993
56,2.9991965
57,2.9631
58,2.9305184
59,2.8958697
60,2.862721
61,2.8255405
62,2.790141
63,2.7613204
64,2.7262213
65,2.6938508
66,2.659126
67,2.6284513
68,2.5992289
69,2.5668557
70,2.5341136
71,2.504861
72,2.475054
73,2.4453526
74,2.4152117
75,2.3850758
76,2.3579173
77,2.3285663
78,2.3005877
79,2.2704096
80,2.244525
81,2.2158298
82,2.1886487
83,2.1622956
84,2.1380785
85,2.1098561
86,2.0838757
87,2.057938
88,2.0336816
89,2.0094628
90,1.9840324
91,1.9602406
92,1.9337006
93,1.9115471
94,1.8886366
95,1.8650599
96,1.8411275
97,1.8194534
98,1.7962401
99,1.775022
100,1.7516391
101,1.730413
102,1.7077203
103,1.687726
104,1.6666273
105,1.6461886
106,1.6267357
107,1.6053956
108,1.5859681
109,1.5679916
110,1.5475576
111,1.5291269
112,1.5095363
113,1.4913437
114,1.4729996
115,1.4543065
116,1.4354801
117,1.4171975
118,1.4008495
119,1.382952
120,1.3671353
121,1.3496729
122,1.333127
123,1.3162081
124,1.2987871
125,1.2849965
126,1.2689389
127,1.2522293
128,1.2363883
129,1.2226491
130,1.2059731
131,1.192149
132,1.1766405
133,1.1625327
134,1.1484472
135,1.1329304
136,1.1184536
137,1.1060377
138,1.0919682
139,1.0802052
140,1.0649084
141,1.0528547
142,1.040486
143,1.0271779
144,1.015095
145,1.0025316
146,0.9895043
147,0.97758025
148,0.9647928
149,0.95391244
150,0.9417331
151,0.93139696
152,0.9190724
153,0.9076277
154,0.8970517
155,0.8859928
156,0.8749892
157,0.86451215
158,0.8548829
159,0.8447496
160,0.83459353
161,0.82317245
162,0.8136161
163,0.80447745
164,0.7946218
165,0.78302735
166,0.7729552
167,0.7662833
168,0.7563941
169,0.74702895
170,0.7389838
171,0.72941464
172,0.7213156
173,0.7109613
174,0.70393956
175,0.69543636
176,0.6874504
177,0.67702836
178,0.669588
179,0.66223574
180,0.6545039
181,0.64784926
182,0.6390828
183,0.6301093
184,0.62362164
185,0.6177372
186,0.6097583
187,0.6013058
188,0.5947931
189,0.5887962
190,0.5814472
191,0.5756842
192,0.56799316
193,0.5608786
194,0.5548027
195,0.5486344
196,0.54166204
197,0.53581244
198,0.53076905
199,0.5228135
200,0.5179228
201,0.51053834
202,0.50583607
203,0.4985924
204,0.49432886
205,0.48846066
206,0.48295617
207,0.47708958
208,0.4712725
209,0.46697396
210,0.46133706
211,0.45589682
212,0.45060167
213,0.445402
214,0.44094154
215,0.43563107
216,0.4309128
217,0.4257613
218,0.4208028
219,0.41564292
220,0.41208974
221,0.40661198
222,0.40278786
223,0.39836952
224,0.39351735
225,0.38978484
226,0.3850451
227,0.3808669
228,0.37707043
229,0.3722841
230,0.36727947
231,0.36468223
232,0.3604884
233,0.35552475
234,0.35281384
235,0.34871852
236,0.3448886
237,0.34112105
238,0.33858827
239,0.33377483
240,0.32998484
241,0.32697344
242,0.3240167
243,0.32022542
244,0.31592232
245,0.31274447
246,0.30958885
247,0.30561838
248,0.3034483
249,0.30108783
250,0.29796472
251,0.29477757
252,0.29053694
253,0.28840712
254,0.28420246
255,0.28258935
256,0.27879307
257,0.27656874
258,0.27232474
259,0.27129808
260,0.26770696
261,0.26558328
262,0.26311794
263,0.2594531
264,0.2571586
265,0.25533643
266,0.25217056
267,0.2499852
268,0.2475499
269,0.24483566
270,0.24236763
271,0.23927863
272,0.2381816
273,0.23619187
274,0.23391628
275,0.23144439
276,0.22917786
277,0.22558491
278,0.22390483
279,0.22134012
280,0.22063106
281,0.218445
282,0.21657467
283,0.2139275
284,0.21292958
285,0.2102118
286,0.20718579
287,0.20716305
288,0.20313016
289,0.20325823
290,0.1993574
291,0.1992955
292,0.19607687
293,0.1954723
294,0.19400558
295,0.19230996
296,0.19105048
297,0.18884869
298,0.18562134
299,0.18529813
300,0.18389145
301,0.181913
302,0.1812912
303,0.1787455
304,0.17682375
305,0.17580941
306,0.17343529
307,0.17249498
308,0.1717773
309,0.169954
310,0.16898838
311,0.16803567
312,0.1661524
313,0.16470267
314,0.16322792
315,0.16206557
316,0.1605157
317,0.15954009
318,0.15859005
319,0.15732995
320,0.15477858
321,0.15396053
322,0.15322408
323,0.15269879
324,0.15027304
325,0.15028927
326,0.14896253
327,0.14805359
328,0.14616752
329,0.14551507
330,0.14444122
331,0.14254569
332,0.14257036
333,0.14152023
334,0.13994284
335,0.13837428
336,0.1386217
337,0.13598697
338,0.13622174
339,0.13505058
340,0.13343866
341,0.13328168
342,0.1324334
343,0.13149932
344,0.13103761
345,0.12997076
346,0.12884873
347,0.12843789
348,0.1269047
349,0.1270202
350,0.12516308
351,0.12491984
352,0.12435098
353,0.12341034
354,0.12205792
355,0.12055003
356,0.12098871
357,0.12008411
358,0.11923756
359,0.11796848
360,0.118450314
361,0.11740439
362,0.11664751
363,0.11603739
364,0.11535849
365,0.11409622
366,0.11412557
367,0.11331611
368,0.11268381
369,0.11241596
370,0.11071465
371,0.11094314
372,0.10977476
373,0.10935354
374,0.10961053
375,0.10866389
376,0.10708447
377,0.107280344
378,0.10732475
379,0.105730675
380,0.10575584
381,0.104986176
382,0.10469036
383,0.103863806
384,0.10260591
385,0.1021075
386,0.10173794
387,0.1010917
388,0.100560516
389,0.101404704
390,0.10035939
391,0.09969969
392,0.09904065
393,0.098349616
394,0.09864688
395,0.09827464
396,0.09802134
397,0.097751305
398,0.0975574
399,0.09600764
400,0.09627754
401,0.095858075
402,0.09566284
403,0.095190436
404,0.09431555
405,0.0940397
406,0.09313611
407,0.09360642
408,0.09308329
409,0.0918888
410,0.09262794
411,0.09192372
412,0.091323204
413,0.090060875
414,0.09135449
415,0.08984948
416,0.08959196
417,0.08925554
418,0.09013919
419,0.08901181
420,0.08937484
421,0.08873535
422,0.08862194
423,0.087830484
424,0.087879986
425,0.08786581
426,0.08765611
427,0.086821884
428,0.08601533
429,0.08656822
430,0.08613885
431,0.085934415
432,0.08531859
433,0.08532114
434,0.085347064
435,0.08524042
436,0.08467348
437,0.08465803
438,0.083397076
439,0.08373877
440,0.083313264
441,0.08359842
442,0.08279061
443,0.08261512
444,0.08301027
445,0.08240825
446,0.0812044
447,0.0822355
448,0.08159699
449,0.08192211
450,0.08131663
451,0.08132315
452,0.08043129
453,0.080206834
454,0.08016446
455,0.07889664
456,0.0796427
457,0.07918244
458,0.08009502
459,0.079995066
460,0.07967867
461,0.07909247
462,0.07734137
463,0.07790151
464,0.078847006
465,0.07772956
466,0.07861641
467,0.07840371
468,0.07764262
469,0.077666886
470,0.07795844
471,0.077992745
472,0.076685555
473,0.077506475
474,0.07679035
475,0.07689248
476,0.07706091
477,0.076777674
478,0.07595687
479,0.07684468
480,0.07688034
481,0.07638619
482,0.07518333
483,0.075353265
484,0.07623459
485,0.07419847
486,0.07553141
487,0.07509109
488,0.07553639
489,0.07510452
490,0.07496566
491,0.07446605
492,0.07467895
493,0.07502293
494,0.0749387
495,0.07466765
496,0.07418159
497,0.074692555
498,0.074229926
499,0.07377608
500,0.072866775
501,0.0732394
502,0.07422678
503,0.073887296
504,0.07293882
505,0.07313968
506,0.07356122
507,0.07370128
508,0.073649734
509,0.072624564
510,0.07219018
511,0.072844625
512,0.07301944
513,0.07273186
514,0.071496814
515,0.0724437
516,0.072636195
