,Loss
0,10.387728
1,7.9998617
2,7.053176
3,6.7221317
4,6.5622225
5,6.2354946
6,6.1710663
7,6.0341372
8,5.8494797
9,5.8203554
10,5.580713
11,5.533217
12,5.440647
13,5.380243
14,5.259153
15,5.2018867
16,5.0918527
17,5.055472
18,4.9860115
19,4.9118457
20,4.8669214
21,4.817869
22,4.7582593
23,4.7396
24,4.6945677
25,4.6488113
26,4.598475
27,4.5479155
28,4.499825
29,4.4809756
30,4.425058
31,4.3908033
32,4.335796
33,4.3228517
34,4.2850685
35,4.240101
36,4.1821814
37,4.1670094
38,4.130452
39,4.078724
40,4.044522
41,4.0221057
42,3.9886053
43,3.9311676
44,3.9164042
45,3.8783894
46,3.8416927
47,3.798334
48,3.770095
49,3.7318566
50,3.7054822
51,3.670789
52,3.6298697
53,3.6062179
54,3.5600686
55,3.536529
56,3.4954054
57,3.4744406
58,3.4343004
59,3.4095557
60,3.3799295
61,3.3455873
62,3.3141055
63,3.2855494
64,3.2512703
65,3.2232707
66,3.1909356
67,3.1611514
68,3.1316943
69,3.0979946
70,3.0746088
71,3.0431013
72,3.0131512
73,2.9897153
74,2.9601557
75,2.9300203
76,2.903047
77,2.8745625
78,2.8480535
79,2.8240707
80,2.7966316
81,2.7656496
82,2.7406127
83,2.7144096
84,2.6914692
85,2.6613176
86,2.6357262
87,2.6147106
88,2.5879793
89,2.56313
90,2.5342247
91,2.5131948
92,2.4889157
93,2.4640458
94,2.4370868
95,2.4170737
96,2.3899126
97,2.3710055
98,2.3459132
99,2.3237305
100,2.3025863
101,2.2794864
102,2.2566006
103,2.2346776
104,2.2109773
105,2.1907337
106,2.1677163
107,2.1492732
108,2.1288834
109,2.108395
110,2.0881133
111,2.0641751
112,2.0454307
113,2.0259483
114,2.0066335
115,1.9852139
116,1.9680712
117,1.9488516
118,1.9295949
119,1.9088181
120,1.8908187
121,1.8713703
122,1.8517052
123,1.8359842
124,1.8163326
125,1.7977736
126,1.7820443
127,1.7627487
128,1.7451918
129,1.726537
130,1.7103416
131,1.6948849
132,1.6791651
133,1.660949
134,1.6443746
135,1.6296856
136,1.611218
137,1.5936954
138,1.5822654
139,1.5650687
140,1.5505149
141,1.5332607
