,Loss
0,10.862446
1,9.64591
2,8.725298
3,8.5568905
4,8.203414
5,8.3441105
6,8.196699
7,7.7573595
8,7.752635
9,7.646375
10,7.4447703
11,7.2335267
12,7.29349
13,7.299406
14,7.0850425
15,7.0733438
16,6.898118
17,6.835451
18,6.7134476
19,6.6493025
20,6.4457407
21,6.5062447
22,6.5978236
23,6.6025343
24,6.4514694
25,6.383956
26,6.2822413
27,6.4361935
28,6.1185803
29,6.0784664
30,5.9224257
31,6.193265
32,6.1140013
33,5.967151
34,5.8208885
35,6.0037794
36,5.7655725
37,5.6120334
38,5.7510157
39,5.58241
40,5.7292995
41,5.527198
42,5.362813
43,5.316711
44,5.396791
45,5.38803
46,5.362768
47,5.4368153
48,5.216117
49,5.200421
50,5.0434837
51,5.002363
52,5.136477
53,5.100956
54,5.0811386
55,4.8641205
56,5.0155363
57,4.8824816
58,4.757449
59,4.77258
60,4.8999214
61,4.5895634
62,4.6597486
63,4.683895
64,4.6389246
65,4.6619253
66,4.5947948
67,4.411227
68,4.358754
69,4.311508
70,4.248258
71,4.3827324
72,4.3830347
73,4.4029217
74,4.3241477
75,4.303736
76,4.265672
77,4.234272
78,4.1733646
79,4.2663593
80,4.0872827
81,4.1434307
82,4.173893
83,3.9928203
84,4.1503944
85,3.7998195
86,3.8642159
87,3.904366
88,4.0060544
89,3.8818698
90,3.963914
91,3.7609465
92,3.6912434
93,3.8955889
94,3.7849894
95,3.763081
96,3.7087288
97,3.7007873
98,3.7332058
99,3.7036724
100,3.6801324
101,3.4993217
102,3.583095
103,3.6002064
104,3.5549128
105,3.5117714
106,3.4703963
107,3.4052138
108,3.4585447
109,3.3416352
110,3.285715
111,3.418023
112,3.2977867
113,3.1762521
114,3.2818465
115,3.107793
116,3.2291045
117,3.217496
118,3.2031724
119,3.0703003
120,3.127193
121,3.083359
122,3.215597
123,3.137435
124,3.0852594
125,3.145088
126,2.964489
127,3.1025064
128,3.0549219
129,2.9456267
130,3.0454984
131,2.7905648
132,3.004611
133,2.8162718
134,2.817774
135,2.8665957
136,2.9104033
137,2.8327603
138,2.7319155
139,2.833086
140,2.74402
141,2.7862344
142,2.7547626
143,2.7217066
144,2.678343
145,2.7109923
146,2.671927
147,2.6746778
148,2.549354
149,2.6479006
150,2.5681992
151,2.6867895
152,2.6454556
153,2.6386266
154,2.535378
155,2.5864491
156,2.5619588
157,2.5617728
158,2.472323
159,2.4613628
160,2.3741949
161,2.4604447
162,2.5219963
163,2.4653277
164,2.3763897
165,2.4320183
166,2.3484933
167,2.4255981
168,2.3164349
169,2.3027406
170,2.3842802
171,2.3274107
172,2.2673564
173,2.2498245
174,2.2554407
175,2.3262405
176,2.2521248
177,2.2559352
178,2.2205455
179,2.2358098
180,2.2234838
181,2.195746
182,2.2280087
183,2.1471572
184,2.154706
185,2.1147728
186,2.124587
187,2.1577864
188,2.109696
189,2.0187454
190,2.0803797
191,2.0671835
192,2.0938613
193,2.052114
194,2.0551772
195,1.9526689
196,2.0632713
197,2.0329561
198,2.0410314
199,1.9327874
200,2.0329394
201,1.991703
202,1.9374876
203,1.9619899
204,1.9714345
205,1.96727
206,1.9366612
207,1.9378448
208,1.9653559
209,1.9625622
210,1.8890858
211,1.8847907
212,1.8782337
213,1.8765101
214,1.8480332
215,1.8606045
216,1.8635147
217,1.8439741
218,1.7938783
219,1.7764137
220,1.7920389
221,1.7383485
222,1.7682171
223,1.7909834
224,1.7733182
225,1.8195059
226,1.7478936
227,1.6899862
228,1.7663432
229,1.7373848
230,1.7589116
231,1.7349342
232,1.7415885
233,1.7212306
234,1.7100655
235,1.6474304
236,1.7106833
237,1.6890124
238,1.6640091
239,1.6884774
240,1.6387222
241,1.6808715
242,1.6576295
243,1.655524
244,1.6060524
245,1.6432478
246,1.5820391
247,1.5646633
248,1.625235
249,1.6169916
250,1.5550296
251,1.5857131
252,1.6105833
253,1.5799773
254,1.5624546
255,1.5779756
256,1.5222247
257,1.587398
258,1.5555518
259,1.5394765
260,1.4708986
261,1.541146
262,1.5062919
263,1.523252
264,1.5127115
265,1.5054506
266,1.4818575
267,1.4921169
268,1.4819126
269,1.4617709
270,1.4477528
271,1.4518545
272,1.4533004
273,1.4676999
274,1.466079
275,1.4531046
276,1.4671245
277,1.4471022
278,1.4293168
279,1.4327972
280,1.4211743
281,1.4026889
282,1.4027574
283,1.4228868
284,1.4030137
285,1.393161
286,1.4006457
287,1.4071078
288,1.3866699
289,1.3438059
290,1.3830544
291,1.3784338
292,1.3910316
293,1.3495891
294,1.3707234
295,1.3690693
296,1.3559419
297,1.3600582
298,1.3484726
299,1.335309
300,1.3250675
301,1.2943877
302,1.3156087
303,1.2962024
304,1.3238939
305,1.3256016
306,1.3206031
307,1.2954173
308,1.3136581
309,1.3032427
310,1.3052527
311,1.2967844
312,1.2747774
313,1.2721778
314,1.2919856
315,1.2693253
316,1.2475176
317,1.2803041
318,1.2693307
319,1.2707886
320,1.2563454
321,1.2508739
322,1.2377417
323,1.254674
324,1.2365614
325,1.2211776
326,1.2379252
327,1.2366743
328,1.2359259
329,1.2036083
330,1.2093481
331,1.2275187
332,1.2203037
333,1.2108339
334,1.1918964
335,1.1855801
336,1.1982602
337,1.1864197
338,1.2079058
339,1.1677611
340,1.199787
341,1.1891428
342,1.1900035
343,1.1877714
344,1.1798971
345,1.1639969
346,1.1566257
347,1.1484419
348,1.1562735
349,1.1454456
350,1.1451198
351,1.1461163
352,1.1430672
353,1.1351613
354,1.1062106
355,1.1469926
356,1.1248116
357,1.1203294
358,1.1412873
359,1.1308501
360,1.0917579
361,1.1338708
362,1.1156832
363,1.0941783
364,1.119679
365,1.1191595
366,1.0955622
367,1.0939125
368,1.095422
369,1.1051317
370,1.0756173
371,1.0926157
372,1.0923653
373,1.08748
374,1.0816936
375,1.0829746
376,1.085844
377,1.0778757
378,1.0687203
379,1.05848
380,1.0731027
381,1.0771352
382,1.0486937
383,1.0686384
384,1.0514868
385,1.0720001
386,1.0512887
387,1.0436376
388,1.0407817
389,1.0419023
390,1.0393598
391,1.0309929
392,1.0466492
393,1.0384521
394,1.0344634
395,1.0271245
