,Loss
0,10.598989
1,8.027704
2,7.1706243
3,6.9677978
4,6.5886807
5,6.2965355
6,6.103571
7,5.791747
8,5.75066
9,5.634451
10,5.523725
11,5.4346166
12,5.326286
13,5.225842
14,5.18585
15,5.0757723
16,5.0423217
17,5.00086
18,4.9347796
19,4.906644
20,4.8231792
21,4.782273
22,4.7438407
23,4.682992
24,4.6349807
25,4.5898724
26,4.534311
27,4.4866333
28,4.448342
29,4.404837
30,4.3514733
31,4.3084884
32,4.2765865
33,4.2197638
34,4.1695466
35,4.143082
36,4.10498
37,4.0729027
38,4.0202756
39,3.9821157
40,3.9458532
41,3.9105208
42,3.8715556
43,3.8365343
44,3.7899854
45,3.7541382
46,3.7235284
47,3.6963346
48,3.656967
49,3.6102598
50,3.5793073
51,3.5461245
52,3.506298
53,3.4831386
54,3.4481096
55,3.4112384
56,3.3660555
57,3.3475113
58,3.3128452
59,3.2811017
60,3.2479436
61,3.2095032
62,3.1860182
63,3.159541
64,3.1082263
65,3.0860662
66,3.0601501
67,3.0187397
68,2.9797091
69,2.9697158
70,2.9381957
71,2.9155016
72,2.8913424
73,2.8598506
74,2.83128
75,2.7963934
76,2.7727413
77,2.7462685
78,2.7148852
79,2.6867733
80,2.6577291
81,2.6435883
82,2.6111994
83,2.5810866
84,2.542267
85,2.5293536
86,2.4985037
87,2.480088
88,2.4634764
89,2.4183033
90,2.411784
91,2.3791199
92,2.368574
93,2.3354337
94,2.3150783
95,2.2934654
96,2.2679298
97,2.2472398
98,2.2141356
99,2.2055764
100,2.1774914
101,2.1566792
102,2.1428144
103,2.1144166
104,2.103271
105,2.0843062
106,2.047121
107,2.0295508
108,2.008925
109,1.9932044
110,1.970958
111,1.948037
112,1.9363047
113,1.9093542
114,1.8999014
115,1.8778653
116,1.8606409
117,1.8430417
118,1.8338053
119,1.809086
120,1.7959477
121,1.7757757
122,1.7546947
123,1.7444615
124,1.7309012
125,1.7015054
126,1.6821057
127,1.6754813
128,1.6635151
129,1.6403426
130,1.6295027
131,1.6039209
132,1.5984815
133,1.5688004
134,1.5566896
135,1.5536176
136,1.5321491
137,1.518937
138,1.5101955
139,1.4875324
140,1.4810342
141,1.4596277
142,1.4526813
143,1.4356376
144,1.4217656
145,1.4024092
146,1.3814325
147,1.3737047
148,1.3681827
149,1.3359857
150,1.3312463
151,1.3252555
152,1.3142713
153,1.310464
154,1.2792764
155,1.2662717
156,1.2644106
157,1.2472373
158,1.2286912
159,1.2264082
160,1.2168493
161,1.2102301
162,1.1985382
163,1.1835884
164,1.1686873
165,1.173382
166,1.1493975
167,1.14954
168,1.125248
169,1.12503
170,1.1106637
171,1.0969273
172,1.0951245
173,1.0908366
174,1.0781307
175,1.0647033
176,1.0500431
177,1.0551041
178,1.0318955
179,1.0326271
180,1.0078553
181,1.0128509
182,0.9915504
183,0.99150336
184,0.9778953
185,0.9771629
186,0.95538515
187,0.9616574
188,0.9420055
189,0.93912584
190,0.9389539
191,0.9303427
192,0.9244966
193,0.90017533
194,0.905023
195,0.8954469
196,0.8864152
197,0.8823976
198,0.86291814
199,0.865283
200,0.8523952
201,0.83782053
202,0.8287942
203,0.8345671
204,0.8314967
205,0.82270414
206,0.82032454
207,0.8043473
208,0.8061922
209,0.79772866
210,0.7817425
211,0.7944861
212,0.7615013
213,0.7678244
214,0.7552547
215,0.74764705
216,0.75150275
217,0.75069255
218,0.7490551
219,0.7411557
220,0.72271216
221,0.72711265
222,0.7180233
223,0.71714664
224,0.7082974
225,0.7027619
226,0.6930495
227,0.6794423
228,0.6850878
229,0.6763345
230,0.6780345
231,0.67514545
232,0.6660066
233,0.65432316
234,0.6587635
235,0.645406
236,0.64778876
237,0.6291967
238,0.6376146
239,0.6326811
240,0.6285856
241,0.6138041
242,0.60048485
243,0.6074408
244,0.61125493
245,0.580943
246,0.5945696
247,0.5962745
248,0.5976837
249,0.58742225
250,0.56484765
251,0.5873209
252,0.5835494
253,0.5562198
254,0.57484406
255,0.56155694
256,0.55518615
257,0.5366841
258,0.5471254
259,0.54205686
260,0.54853487
261,0.5344101
262,0.522334
263,0.5358981
264,0.5181302
265,0.5340446
266,0.51565415
267,0.5238918
268,0.5104778
269,0.5072077
270,0.5048561
271,0.49351263
272,0.5010567
273,0.49255365
274,0.48763973
275,0.48939008
276,0.48299417
277,0.4899792
278,0.48533833
279,0.47110993
280,0.4851555
281,0.46579605
282,0.45307884
283,0.47225845
284,0.46706778
285,0.45485556
286,0.44615874
287,0.4530142
288,0.4389392
289,0.43986753
290,0.44592926
291,0.44094047
292,0.44931316
293,0.44182634
294,0.43669182
295,0.41786605
296,0.440768
297,0.42560422
298,0.43051714
299,0.4103109
300,0.41858667
301,0.41306746
302,0.4186023
303,0.41317034
304,0.41565064
305,0.39817405
306,0.40128037
307,0.41119003
308,0.40059924
309,0.3869556
310,0.40451384
311,0.39615333
312,0.39852172
313,0.3975669
314,0.3897515
315,0.3928043
316,0.37946707
317,0.37504393
318,0.3830626
319,0.38354582
320,0.37378213
321,0.37889096
322,0.362603
323,0.36359844
324,0.36953783
325,0.36629
326,0.36904952
327,0.36388233
328,0.36651513
329,0.36270034
330,0.3621577
331,0.36024818
332,0.35149848
333,0.3536318
334,0.35286975
335,0.35600752
336,0.35600895
337,0.34403324
338,0.3388217
339,0.33297744
340,0.3466149
341,0.3389507
342,0.33852103
343,0.32847542
344,0.3218759
345,0.32383832
346,0.34245005
347,0.34076303
348,0.32829005
349,0.32615083
350,0.33116537
351,0.3250435
352,0.32248303
353,0.30809328
354,0.31544024
355,0.31802353
356,0.32768142
357,0.320251
358,0.2996148
359,0.30521888
360,0.31348285
361,0.3186687
362,0.30917585
363,0.3103768
364,0.29664668
365,0.3029608
366,0.31406757
367,0.30799794
368,0.30894655
369,0.3132156
370,0.2971809
371,0.292701
372,0.29752058
373,0.30070153
374,0.29404557
375,0.2933836
376,0.29246327
377,0.30049247
378,0.296235
379,0.29036373
380,0.28400669
381,0.29554588
382,0.2878753
383,0.28727725
384,0.28564802
385,0.28150633
386,0.2845644
387,0.28950292
388,0.2803216
389,0.26126212
390,0.2799647
391,0.28081796
392,0.27631864
393,0.2830752
394,0.2865455
395,0.27643526
396,0.2796883
397,0.27304143
398,0.26036498
399,0.2683734
400,0.26366597
401,0.27664137
402,0.26283133
403,0.26661408
404,0.27871066
405,0.24989922
406,0.25370717
407,0.25406542
408,0.26050454
409,0.2616092
410,0.25974432
411,0.2537781
412,0.25563353
413,0.2621141
414,0.2619388
415,0.2647466
416,0.26492906
417,0.25504467
418,0.26782572
419,0.25690302
420,0.2612899
421,0.25625217
422,0.2543431
423,0.24754837
424,0.25428993
425,0.2546502
426,0.25842097
427,0.24639952
428,0.24976344
429,0.2545066
430,0.23973182
431,0.24043074
432,0.23086531
433,0.25616267
434,0.22508508
435,0.23319583
436,0.23311377
437,0.24562322
438,0.23671496
439,0.22996145
440,0.22728612
441,0.23997144
442,0.22244099
443,0.22980875
444,0.2408618
445,0.2466476
446,0.23468703
447,0.24381763
