,True,Predicted
0,0.58193046,0.55455554
1,-1.2003382,-1.1839268
2,-1.000393,-0.96683174
3,1.1455673,0.9126245
4,0.13239636,0.1984739
5,-2.3245595,-2.2800221
6,1.9880385,1.93079
7,-0.94158584,-1.1127595
8,1.322129,1.4998558
9,0.034427613,0.066551566
10,0.019592308,0.022264365
11,0.04814004,0.118007004
12,1.7955437,1.6359816
13,1.1488065,0.97048163
14,-1.0564555,-0.9059516
15,0.64360976,0.6712217
16,-0.71703744,-0.7200566
17,1.0673794,1.0129919
18,0.8152299,0.8095617
19,1.7722063,1.7620866
20,-2.3239467,-2.3550787
21,-0.6874579,-0.5965083
22,0.5095212,0.51083434
23,-0.7919375,-0.9059516
24,0.21436228,0.15196943
25,-1.7133062,-1.6279956
26,0.4824507,0.43404424
27,0.46567822,0.46107852
28,1.0489893,1.0718213
29,-0.27347574,-0.28147894
30,-1.1390865,-1.1404588
31,-0.7225286,-0.9233942
32,-0.6352459,-0.5902328
33,-0.8923674,-0.7358229
34,0.4642562,0.51143396
35,2.5405045,2.4261832
36,-0.92524916,-0.89209086
37,0.2440414,0.1872915
38,1.9398143,1.9372891
39,2.7311451,2.6719651
40,-3.3048854,-2.9855964
41,-1.5471625,-1.4978838
42,1.2156414,1.1162281
43,1.60157,1.6151451
44,1.4650922,1.4183953
45,0.65963674,0.6525367
46,-1.2135348,-1.0873907
47,0.53416646,0.59082776
48,-0.5622599,-0.6885411
49,0.47143605,0.47897187
50,-0.037877936,-0.022578467
51,-1.7138122,-1.7133725
52,1.0293996,1.0551939
53,0.37878796,0.35892904
54,0.47373644,0.43393826
55,0.17234294,0.27263007
56,-0.060538214,-0.32917753
57,-2.2678,-2.2455668
58,-0.4701976,-0.32646573
59,1.6701412,1.5437131
60,1.1575693,1.0299858
61,-1.1094638,-1.0164868
62,-0.78023034,-0.9651794
63,-3.6509411,-3.2523909
64,2.0765011,2.0492167
65,1.5660381,1.6039689
66,0.17390664,0.17064558
67,0.5098564,0.4946397
68,0.55184305,0.36908352
69,0.85641885,0.9106309
70,0.49887684,0.5054
71,1.0435706,1.0248245
72,-1.244636,-1.1714292
73,0.85623765,0.6478421
74,0.04669668,0.037602555
75,0.047670443,0.099657506
76,0.11918639,0.22253264
77,-0.8003573,-0.78790885
78,0.3432056,0.277493
79,1.0091424,0.9647612
80,0.5017595,0.5047313
81,0.5156098,0.49617556
82,-1.1098081,-0.9651794
83,-0.474634,-0.57859117
84,0.20942172,0.21246608
85,0.20174484,0.051535532
