,True,Predicted
0,0.21436228,0.09843782
1,0.48295185,0.45894805
2,-0.1306244,-0.06422666
3,0.3432056,0.2768613
4,0.4642562,0.5337701
5,-0.78023034,-0.849311
6,-0.14820065,-0.21458252
7,0.64360976,0.7218112
8,0.5155893,0.55680025
9,0.5095212,0.5176475
10,0.10896456,0.06251404
11,-0.14774288,-0.13375558
12,1.1575693,0.912032
13,0.47273868,0.36928502
14,2.3871896,2.3791275
15,-0.3464313,-0.2735305
16,-2.3239467,-2.3945017
17,-2.2678,-2.228045
18,-0.92450315,-0.9271389
19,0.6906839,0.5069392
20,-1.5464045,-1.5148929
21,2.0321748,1.688772
22,0.5156098,0.65327024
23,1.0087581,1.0650315
24,0.6098964,0.51153547
25,0.01244306,0.022848174
26,2.5405045,2.405179
27,0.37878796,0.40877882
28,-0.89507,-0.8607805
29,0.25528795,0.3622047
30,-0.29643366,-0.25442183
31,0.21337663,0.3547662
32,0.15195937,0.13972518
33,0.71459734,0.7730278
34,-1.000393,-0.92641187
35,0.17283656,0.07703825
36,0.133564,0.25167608
37,-1.2681459,-1.177903
38,1.7304987,1.8155929
39,-0.5622599,-0.7115947
40,0.5821951,0.6141236
41,-0.45861948,-0.49382892
42,0.42849466,0.4053575
43,-0.7919375,-0.8863299
44,-2.3241444,-2.3332562
45,1.6342785,1.6101433
46,-2.3245595,-2.2718549
47,-0.7890706,-0.75084496
48,0.6102223,0.5497112
49,-1.5471625,-1.5801942
50,-1.5458086,-1.5671812
51,1.1673307,1.2327532
52,-1.545784,-1.4687265
53,-0.474634,-0.7341733
54,0.26204902,0.39498514
55,0.47373644,0.4847213
56,0.73386645,0.6824573
57,2.0765011,2.1127796
58,0.21578422,0.20222202
59,2.426607,2.5092
60,0.39774626,0.3250828
61,0.23105893,0.445956
62,-1.2003382,-1.2721997
63,0.04814004,0.071454085
64,1.1808666,1.4252568
65,0.7748755,0.86786777
66,-0.92524916,-0.9165294
67,-0.7865887,-0.75677544
68,0.68660325,0.6972313
69,1.8757458,1.9191788
70,-0.7297318,-0.68646735
71,0.97743684,0.89280325
72,-0.94158584,-1.177903
73,0.58193046,0.570484
74,-0.7134674,-0.82145154
75,-1.1896764,-1.2322264
76,1.3026363,1.1357871
77,1.9229301,1.819633
78,0.8564188,0.7761232
79,1.4149467,0.87994915
80,1.9763311,1.9048828
81,0.5087775,0.4076097
82,-0.7225286,-0.95663434
83,0.4824507,0.6313633
84,0.65869504,0.7352098
85,0.034427613,0.14327812
86,0.15124168,0.061553076
87,1.5621963,1.5460802
88,1.7302095,1.7088085
89,-2.2687135,-2.3019092
90,1.5661168,1.6177255
91,0.800181,0.8231955
92,1.2156414,0.9492706
93,-0.24813616,0.010931544
94,1.1683432,1.3076087
95,0.5312186,0.51565915
96,1.6768658,1.67766
97,0.4329867,0.52856517
98,-0.34915563,-0.31150067
99,0.21004969,0.29100603
100,0.2440414,0.16676575
101,-0.73869044,-0.7488772
102,-0.12838034,0.057275295
103,-0.73003554,-0.8103487
104,-0.6192805,-0.5999369
105,2.0316548,2.0068402
106,0.15149868,0.15354466
107,1.1461456,1.3963345
108,-0.71703744,-0.7181889
109,-0.7697523,-0.7181889
110,0.47143605,0.5579802
111,-1.0564555,-0.8863299
112,-1.2135348,-1.1532367
113,0.019592308,-0.049806297
114,0.5046601,0.5971844
115,1.0824307,1.0464427
116,-3.6509411,-3.0974455
117,-1.1390865,-1.1096736
118,1.0697817,1.406262
119,0.6240875,0.6409047
120,0.8832262,0.94426334
121,-0.6874579,-0.5999369
122,-0.91705596,-0.82145154
123,-0.7291166,-0.6879822
124,0.25292557,0.23598248
125,0.73219657,0.7532586
126,-0.92667454,-0.91773105
127,0.036125537,-0.035767563
128,-0.060538214,-0.31965896
129,2.102852,2.0138903
130,0.36615875,0.42771223
131,-1.3592912,-1.2671039
132,0.8910364,0.66500485
133,-0.9651222,-1.1119344
