,True,Predicted
0,0.76873213,0.5423524
1,-1.1098081,-1.133213
2,0.17234294,-0.2948936
3,0.027554085,-0.2716319
4,-0.14774288,-0.6531188
5,0.23034877,0.33143342
6,0.21337663,0.28993416
7,1.6342785,0.7074921
8,-0.7890706,-0.76729584
9,-0.92524916,-0.9245108
10,0.21004969,0.3232634
11,-0.7491603,-0.36288556
12,-0.6192805,-0.7594728
13,2.0363967,1.9595146
14,1.60157,1.7980204
15,0.133564,0.32387644
16,0.686697,0.5592773
17,1.322129,1.3082333
18,1.0091424,0.42531383
19,0.5017595,0.6193708
20,-0.4161962,0.3387415
21,0.5312186,0.30645764
22,0.27750808,0.3232634
23,0.49887684,1.1537366
24,-0.78023034,-1.133213
25,0.047670443,-0.081785075
26,-0.6874579,-0.7594728
27,0.47143605,0.53979135
28,0.8467829,0.9153093
29,1.5661168,1.954884
30,0.046828523,-0.04644198
31,1.6701412,1.4586955
32,0.2440414,0.6662223
33,-1.7138122,-1.5060725
34,-1.1454453,-1.0706426
35,-0.14838643,-0.61427295
36,2.5405045,1.9149947
37,0.7327326,0.47229955
38,0.011306508,-0.8213936
39,-0.82752633,-0.72614086
40,0.04814004,0.06994111
41,-0.91705596,-0.59878135
42,-0.45861948,0.5015492
43,-0.92667454,-0.6735498
44,0.13485436,0.2090113
45,1.3026363,1.3408952
46,0.3432056,0.3232634
47,0.65869504,0.75660723
48,-1.0003686,-0.7047864
49,0.5156098,0.93784606
50,1.4689919,1.5083356
51,0.58193046,0.015790913
52,0.5344425,0.50310916
53,-0.12838034,-0.025468865
54,0.82673764,0.9490918
55,1.8930651,1.628868
56,0.20942172,-0.11751135
57,-0.92450315,-0.7386316
58,1.7302095,1.2736652
59,-0.7697523,-0.7634718
60,-2.26766,-1.6657796
61,-0.5740243,-0.93206835
62,1.1488065,0.6946695
63,1.4096456,1.7137859
64,0.53644323,0.824703
65,0.4332572,0.40223134
66,1.6768658,1.2979198
67,-1.244636,-1.0692028
68,2.0321748,1.3771503
69,-0.060538214,0.4319769
70,0.47770604,0.46774366
71,-1.2580462,-1.4345374
72,-1.5458086,-0.53454816
73,1.0697817,1.1212468
74,-0.26311576,-0.08002307
75,-0.8003573,-0.8808289
76,-1.000393,-0.92742515
77,0.53416646,0.43334454
78,0.15124168,-0.15144178
79,1.2544996,1.5839946
80,1.0293996,1.2321188
81,0.21436228,0.3154816
82,0.7446506,0.63559365
83,1.2035927,1.6797972
84,-0.5622599,-0.9536122
85,0.5097442,0.6858574
86,-2.1173918,-1.754503
87,-1.3599339,-0.933831
88,0.5046601,0.51922286
89,-1.2681459,-1.0737654
90,1.9229301,1.9710493
91,0.8564188,0.80954516
92,-1.3592912,-1.0403395
93,0.5878995,0.4750384
94,-0.29643366,0.5077354
95,1.2156414,0.5802645
96,-0.56564635,-0.7446612
97,0.4642562,0.7696676
98,0.63961315,0.97591686
99,1.1455673,0.89783144
100,1.4149467,0.8882658
101,0.719428,0.9186975
102,-2.2677207,-1.5012226
103,0.80061185,0.9101784
104,1.7955437,1.4231193
105,0.32274762,0.3719095
106,0.6240875,0.39648098
107,0.53393537,0.5815749
108,1.8757458,1.8834243
109,-0.11308047,-0.18401179
110,0.5370882,0.61807615
111,0.13239636,0.5235991
112,-0.14820065,-0.7443955
113,0.41013256,0.42659742
114,1.1946719,1.1370935
115,1.6409118,0.9983673
116,-1.5471625,-0.5038202
117,0.4840704,1.0097902
118,-0.9553131,-0.933831
119,0.76418126,0.28272083
120,-0.7134674,-0.59878135
121,0.036125537,-0.069110736
122,-0.9651222,-1.1180923
123,0.64360976,0.97463477
124,1.083255,1.2617887
125,-2.3245595,-1.9582483
126,1.1575693,0.74992156
127,0.10020978,0.13799752
128,2.0666347,1.8107442
129,0.70060503,0.73497176
130,0.01244306,-0.83245134
131,-2.3239467,-2.1306775
132,2.102852,2.1152947
133,0.6906839,0.3970595
134,0.10896456,0.1931941
135,-0.98419344,-1.1773126
136,0.46567822,0.4799946
137,0.77086574,0.568501
138,0.11918639,0.34840345
139,-0.27347574,0.370686
140,-0.7865887,-0.6691387
141,-0.94158584,-1.0737654
142,0.85641885,0.4942286
143,1.2437721,1.4746711
144,1.9951335,1.9590485
145,1.9404862,1.6705422
146,-0.8252466,-0.6462414
147,-0.19249193,-0.02661044
148,0.18623333,0.377438
149,0.13464436,0.3336286
150,-0.814437,-0.75680673
151,-0.7225286,-0.7047864
152,1.0489893,1.0551807
153,1.0435706,1.1696949
154,0.8152299,0.38080534
155,-0.24817201,-0.19333337
