,True,Predicted
0,0.6240875,0.23000833
1,-0.1306244,-0.1779466
2,0.9807094,1.3833138
3,-0.26311576,0.123304576
4,1.1575693,1.1547556
5,-2.2677207,-2.2397175
6,-0.8923674,-0.59928685
7,0.65869504,0.5565908
8,0.019592308,0.34340778
9,0.77234405,0.8951053
10,0.80061185,0.8948689
11,0.8152299,0.7891548
12,1.0675875,1.3872734
13,-0.11308047,-0.59928685
14,-0.92524916,-0.9782085
15,0.5821951,0.62649834
16,1.9669791,1.3833138
17,0.53416646,0.5539988
18,1.4577135,1.0531085
19,0.61060286,0.5482648
20,2.3871896,1.899424
21,0.51583374,0.55944115
22,0.90219045,0.7891548
23,0.07555245,-0.7240389
24,-0.78023034,-0.53365684
25,1.9763311,1.8508505
26,-2.3245595,-2.290051
27,-1.2781584,-1.1930146
28,-0.92213464,-0.94627714
29,-0.56564635,-0.59928685
30,-1.000393,-0.39383575
31,0.2929385,0.39307493
32,1.1510519,1.1416308
33,-0.9651222,-1.1930146
34,1.7722063,1.6445777
35,2.2776124,1.9415587
36,0.17283656,0.23000833
37,0.034253597,0.047186255
38,-0.814437,-0.8126599
39,-0.92667454,-0.9782085
40,0.6102223,0.5482648
41,0.35859603,0.1667706
42,-0.7865887,-0.8126599
43,-0.6192805,-0.41963506
44,0.4329867,0.4574976
45,-0.3464313,-0.39752904
46,1.3251637,1.2723141
47,0.47273868,0.45023853
48,0.4840704,0.63349295
49,1.1808666,1.5290425
50,1.0539855,1.304632
51,0.77086574,0.8951053
52,-0.08476996,-0.08675274
53,0.5087775,0.3039654
54,-1.0564555,-0.7023163
55,-0.120851435,-0.41963506
56,1.0697817,1.304632
57,-1.244636,-0.7240389
58,0.70060503,0.63642323
59,0.823524,0.8306011
60,1.6890695,1.6837742
61,-1.2135348,-1.0244508
62,-1.2580462,-1.0761814
63,2.0316548,1.6445777
64,0.4642562,0.6975499
65,-1.278131,-1.1930146
66,0.85623765,0.123304576
67,-3.6509411,-2.9045444
68,1.1461456,1.1310025
69,0.53393537,0.73848295
70,0.71459734,0.55944115
71,-2.2678,-2.2397175
72,0.97743684,1.3833138
73,1.6342785,0.8094746
74,0.5098564,0.5565908
75,0.5097442,0.5565908
76,0.047670443,0.102740765
77,1.2035927,1.1416308
78,-0.5740243,-0.4533589
79,0.13239636,-0.24209684
80,2.0765011,1.9512818
81,1.322129,1.9054103
82,-1.5471625,-1.4855175
83,0.27750808,0.27726313
84,0.5017595,0.5481336
85,0.04669668,0.102740765
86,-0.89507,-0.59928685
87,0.11592068,-0.53365684
88,-1.2830038,-1.1778094
89,1.4096456,1.6740773
90,0.55184305,0.39307493
91,0.40019456,0.8094746
92,-0.474634,-0.5303186
93,-0.9167341,-0.6101231
94,0.46567822,0.6975499
95,0.63961315,1.0727607
96,1.3026363,1.6626918
97,-0.6281448,-0.6312556
98,-0.9259614,-0.9782085
99,1.0435706,1.304632
100,0.5155893,0.55944115
101,1.6768658,1.8508505
102,1.9229301,1.899424
103,0.6098964,0.5482648
104,-0.7291166,-0.67958283
105,0.827645,0.73848295
106,1.8630571,1.3872734
107,-1.2782162,-1.1930146
108,-1.545784,-1.4855175
109,0.83499926,0.63349295
110,0.7993344,1.0531085
111,-0.82752633,-0.5303186
112,-1.2071924,-1.0244508
113,1.6409118,1.6257954
114,-0.24817201,-0.27872413
115,-0.34915563,-0.39752904
116,-3.3048854,-2.9045444
117,-0.037877936,0.3039654
118,-0.12745352,0.1667706
119,-1.7138122,-1.6758608
120,0.21004969,0.27726313
121,-0.29643366,-0.34450006
122,1.9113014,1.6445777
123,-0.14838643,-0.14642778
124,0.479922,0.3039654
125,-1.1098081,-0.53365684
126,0.25528795,0.38501668
127,1.1673307,1.2448957
128,1.2544996,1.6445777
