,True,Predicted
0,1.2767999,1.2402232
1,-2.1152186,-2.1130965
2,-2.5631301,-2.5687943
3,-1.8071021,-1.7948673
4,1.0450363,0.90475667
5,2.624583,2.7174284
6,0.21833053,0.17189962
7,0.3319916,0.28093362
8,2.3118901,2.3516726
9,0.8402315,0.8334186
10,0.532658,0.48272407
11,-1.8022641,-2.0533738
12,2.2416444,2.283929
13,0.924538,0.9724249
14,-1.7546592,-1.7224333
15,-2.339012,-2.1181755
16,2.2596614,2.277631
17,2.866876,2.8169641
18,2.2754116,2.1620386
19,-2.379726,-2.2959518
20,-2.556982,-2.5899916
21,1.575639,1.6602855
22,-0.5102493,-0.3848387
23,-2.5515797,-2.426005
24,2.2561367,2.2762902
25,2.2995484,2.2268338
26,-0.018103743,0.043848958
27,-2.2068565,-2.1421566
28,3.0912368,2.9886973
29,2.2497919,2.2693865
30,0.90942544,0.90395516
31,2.3946333,2.4186094
32,0.8514749,0.81234694
33,2.3007576,2.3272197
34,-1.4566258,-1.5147004
35,1.773023,1.8129327
36,-2.5505362,-2.5940151
37,2.206526,2.2890284
38,2.832927,2.710451
39,2.2331576,2.2306137
40,1.5854547,1.6187837
41,2.1723948,2.2616513
42,-0.50946224,-0.48303384
43,1.5716672,1.5503658
44,-0.16262572,-0.26115683
45,0.20158717,0.20359933
46,2.2616417,2.305596
47,0.071296334,0.05334586
48,1.6603979,1.6946992
49,0.4253208,0.43201157
50,-2.3537157,-2.4104598
51,2.1873672,2.156253
52,2.239638,2.1936533
53,0.1973871,0.27889833
54,-1.3053685,-1.2898716
55,0.2630827,0.39502993
56,2.311119,2.3027987
57,-0.444255,-0.59364265
58,1.3874836,1.3021543
59,1.55271,1.5493951
60,2.4849656,2.4966342
61,2.4685955,2.465058
62,2.0876863,2.1424863
63,-2.5511038,-2.501444
64,-2.3799188,-2.4758108
65,2.9274845,2.9067914
66,-2.5569098,-2.4758108
67,-1.9025083,-1.8218839
68,1.4290137,1.3820573
69,2.3800287,2.4511263
70,1.6307896,1.6146282
71,1.7681289,1.7624147
72,-2.2079527,-2.2959518
73,2.192569,2.156366
74,2.1878517,2.2276108
75,2.2286236,2.284036
76,-2.2340984,-2.204636
77,0.6263595,0.6172882
78,1.9807124,2.0006402
79,2.4696078,2.477173
80,-2.2981875,-2.0533738
81,2.16533,2.1505063
82,0.42002997,0.4540196
83,2.4484937,2.4452503
84,-2.2911468,-2.426005
85,0.44068572,0.29572576
86,2.1703694,2.2828302
87,1.694116,1.6540561
88,2.2985168,2.3461988
89,2.5162148,2.482127
90,0.22717431,0.24581215
91,0.8193411,0.84158
92,2.5700638,2.3105965
93,2.2702312,2.3152952
94,2.2933571,2.2851288
95,2.1720262,2.1216743
96,2.6802332,2.6260512
97,0.029803125,0.04386057
98,-2.3358243,-2.2200425
99,0.22976224,0.15174428
100,-1.7325116,-1.7744296
101,-0.19058019,-0.21815151
102,1.5258361,1.5427468
103,-0.46563858,-0.38743848
104,-2.5630991,-2.4337742
105,0.26802886,0.16809565
106,2.8145587,2.8493207
107,-0.2421146,-0.26720992
108,3.3533902,3.1482153
109,2.2026563,2.2156198
110,2.2127976,2.2020426
111,0.537976,0.55390435
112,-2.2920852,-2.4337742
113,1.138701,1.1608064
114,0.6202423,0.60810375
115,0.66363394,0.7003518
116,-1.2618347,-1.2898716
117,-0.058806263,-0.05908575
118,1.1997318,1.1715219
119,-1.7299488,-1.6989164
120,2.7140524,2.7193887
121,-0.6279301,-0.65174395
122,1.6296958,1.6796331
123,2.3655674,2.4395993
124,2.5861742,2.496606
125,-0.5484918,-0.5238831
126,2.871114,2.7507124
127,2.6265686,2.6258123
128,-0.4424853,-0.30595136
129,0.5352482,0.5261944
130,2.2472017,2.231759
131,0.4175516,0.44282928
132,2.485461,2.4611194
133,0.6017146,0.62341696
134,-0.43705526,-0.33264405
135,3.2003274,3.0945978
136,0.099111065,0.12843966
137,0.17565913,0.23354599
138,0.7433762,1.029127
139,2.2206345,2.2388885
140,2.7027862,2.7173584
141,1.3725474,1.3067844
142,2.5832956,2.3627374
143,-2.2291112,-2.2168303
144,-0.42036292,-0.45112145
145,2.3429475,2.354479
146,2.1338131,2.182824
147,0.3939305,0.39147437
148,2.582165,2.4782312
149,1.7545531,1.7454942
150,2.229009,2.204437
151,1.9191349,1.8861406
152,1.2407477,1.2728565
153,0.18298581,0.10602563
154,1.3261539,1.3426077
155,1.7959328,1.7908144
156,-0.4403528,-0.4215479
157,-1.0440863,-0.99595946
158,-2.561133,-2.5402703
159,0.64752513,0.6800778
160,2.350782,2.3167005
161,2.151256,2.0905492
162,0.28446618,0.35512334
163,0.4221452,0.46810478
164,-1.8462867,-2.1181755
165,-2.5608866,-2.521066
166,-1.262746,-1.2663288
167,-0.91866016,-0.9793139
168,0.41983458,0.490308
169,2.2244704,2.2098804
