,True,Predicted
0,1.3261539,1.3419019
1,-2.3799188,-2.4341958
2,-2.2975805,-2.2201142
3,2.485461,2.4649634
4,1.9191349,1.8447703
5,-1.2618347,-1.2290633
6,-2.1152186,-2.0658092
7,-0.46563858,-0.354689
8,2.206526,2.218359
9,0.5989649,0.4101318
10,-1.8071021,-1.7805829
11,2.5832956,2.428319
12,2.1720262,2.110825
13,2.1873672,2.2070117
14,1.7681289,1.7173179
15,-2.5569098,-2.4341958
16,2.350782,2.3207896
17,-0.16262572,-0.42887437
18,0.42567128,0.43521842
19,-0.50946224,-0.4588524
20,0.17565913,0.30056494
21,2.3429475,2.29987
22,-1.8688653,-1.869052
23,2.2472017,2.2339878
24,2.2497919,2.1908333
25,0.64752513,0.6042876
26,2.5700638,2.3421168
27,0.6263595,0.6234228
28,-2.5505362,-2.6902092
29,2.2616417,2.2994514
30,-1.7477977,-1.717495
31,-2.2068565,-2.1372824
32,0.537976,0.5985029
33,2.3007576,2.314516
34,1.7835423,1.7859454
35,2.2127976,2.22513
36,-2.3537157,-2.3926268
37,1.2767999,1.1702361
38,1.575639,1.680376
39,0.8514749,0.8491675
40,1.694116,1.5573318
41,1.7423291,1.8833599
42,2.3655674,2.6955721
43,2.2995484,1.9902567
44,2.2754116,2.1226182
45,2.7027862,2.6418085
46,2.2206345,2.1981304
47,3.2003274,3.052617
48,-1.8549315,-2.057889
49,0.66363394,0.71838135
50,-1.7546592,-1.8013242
51,0.61919546,0.67845994
52,1.773023,1.8361236
53,-0.4424853,-0.24710181
54,2.7140524,2.636688
55,2.8145587,2.7130072
56,-0.444255,-0.6195296
57,0.099111065,0.23572943
58,0.8402315,0.8644228
59,-0.22798787,-0.25121742
60,-2.2920852,-2.2583861
61,0.28446618,0.29214317
62,0.6202423,0.6987246
63,0.10894009,0.17580155
64,3.3533902,2.9898982
65,0.029803125,0.071019985
66,2.5162148,2.4937222
67,0.22976224,0.045362197
68,-2.2981875,-2.0830612
69,2.2026563,2.106274
70,2.6265686,2.590299
71,0.5352482,0.5800647
72,0.2630827,0.41055384
73,0.8193411,0.87488496
74,2.2214642,2.176214
75,0.6823163,0.7376901
76,-2.3358243,-2.2337213
77,2.192569,2.1922255
78,-1.262746,-1.2501655
79,-2.2340984,-2.057889
80,-1.9705143,-1.8944559
81,2.151256,2.1014752
82,2.3118901,2.306737
83,2.5861742,2.4997659
84,0.18298581,0.242363
85,1.7959328,1.8153926
86,-2.5631301,-2.5779867
87,2.2146194,2.1281168
88,2.1878517,2.0861092
89,1.0450363,0.8220909
90,-0.5102493,-0.387556
91,2.299789,2.3094535
92,1.2407477,1.2388904
93,-1.7325116,-1.6602412
94,-0.4403528,-0.4395071
95,1.6296958,1.671696
96,2.4484937,2.4210234
97,0.44068572,0.30262452
98,0.3319916,0.4998783
99,2.582165,2.4864283
100,1.5258361,1.5437024
101,2.16533,2.1433392
102,-2.5515797,-2.4972186
103,1.7545531,1.7085074
104,-0.5468098,-0.4194295
105,-0.19058019,-0.19214664
106,0.3939305,0.36319163
107,-1.8462867,-2.0727196
108,2.206462,2.166431
109,0.1973871,0.28497043
110,2.3946333,2.3928695
111,2.311119,2.2480273
112,-2.339012,-2.0727196
113,1.3725474,1.3638108
114,0.6017146,0.6358024
115,0.26802886,0.114183396
116,-0.6279301,-0.61873007
117,1.138701,1.0913717
118,2.2236047,2.2324262
119,0.31550035,0.40352696
120,-2.2079527,-2.2860744
121,-0.43705526,-0.25337517
122,-2.278078,-2.3764522
123,-1.7299488,-1.7998964
124,0.21833053,0.13981618
125,2.1720483,1.9774368
126,2.2985168,2.2680917
127,0.3935488,0.3789733
128,0.23976324,0.27189103
129,1.5854547,1.6142772
130,0.41983458,0.54217505
131,0.4253208,0.52539486
132,-2.5511038,-2.3054137
133,1.6307896,1.6471549
134,2.2596614,2.234951
135,-0.42036292,-0.4596284
136,-2.379726,-2.2860744
137,-0.018103743,-0.032567848
138,2.1723948,2.191718
139,0.071296334,0.15312923
140,2.2702312,2.2582111
141,0.6057214,0.5825442
142,2.9274845,2.8473196
143,3.0912368,3.0223897
144,-2.5608866,-2.3764522
145,2.229009,2.2392936
146,1.9807124,1.9780554
147,1.4290137,1.294067
148,1.55271,1.8071384
149,2.2561367,2.2561803
150,2.1338131,2.0971293
151,-1.8022641,-2.0830612
152,-2.556982,-2.6229591
153,0.7433762,0.9353802
154,0.20158717,0.19025144
155,2.3175108,2.294423
156,0.88971263,0.96503705
157,1.7172633,1.7856805
158,-0.2421146,-0.28394586
159,-2.2291112,-2.1272461
160,1.1997318,1.1970049
161,2.4685955,2.4525542
162,0.924538,0.9989052
163,1.9464724,1.9554129
164,0.4175516,0.43178177
165,1.9445285,1.9284639
166,0.19527087,0.113112554
167,2.1703694,2.335437
168,0.42002997,0.37568572
169,2.4696078,2.4191267
