,True,Predicted
0,3.2003274,1.0470297
1,2.866876,2.926753
2,-1.262746,-1.267942
3,2.832927,2.2797544
4,1.9445285,2.2130315
5,1.1997318,1.2509755
6,1.2407477,1.3507903
7,-1.8022641,-2.2943182
8,2.2985168,2.3334033
9,-2.2920852,-2.4209318
10,2.0876863,2.0856442
11,2.3118901,2.3735278
12,-2.1152186,-2.0664752
13,0.6823163,1.3008888
14,0.26802886,0.6130065
15,1.55271,2.035057
16,-0.46563858,-0.6768729
17,-0.444255,0.07282457
18,0.22717431,0.5290277
19,2.582165,2.4597585
20,2.2127976,2.5845757
21,-2.2068565,-2.1776216
22,2.2472017,2.1289048
23,1.9807124,1.9037938
24,-2.2981875,-2.2943182
25,2.4696078,2.6098971
26,1.7423291,1.5797005
27,-2.561133,-1.882708
28,2.206526,2.2981973
29,2.229009,2.3113382
30,2.1651952,1.8693842
31,2.2214642,2.0367334
32,2.2497919,1.9770203
33,2.1720483,2.0601246
34,-2.5608866,-2.2987
35,-0.22798787,-0.83422464
36,2.3175108,2.3310456
37,3.0912368,1.6976836
38,1.773023,1.7010028
39,2.485461,2.3302991
40,-2.5515797,-2.3775198
41,0.1973871,0.30805987
42,-1.7325116,-0.9140367
43,2.16533,1.5188239
44,0.23976324,0.46488538
45,1.4290137,1.0798266
46,0.3319916,0.87345093
47,2.2146194,1.8822037
48,2.2112277,1.5482209
49,-1.3053685,-1.1832979
50,1.6296958,1.8565532
51,2.1703694,2.3806453
52,0.8514749,0.3751051
53,2.311119,2.3681061
54,0.28446618,0.18518345
55,-1.4566258,-1.4528594
56,2.7140524,2.0294428
57,-0.16262572,-0.18105441
58,-2.2911468,-2.3775198
59,2.3429475,2.311119
60,-2.3358243,-1.92455
61,2.871114,2.0023422
62,2.1723948,1.6098628
63,-2.2291112,-1.8761199
64,0.7433762,1.380538
65,0.099111065,0.905083
66,-1.7299488,0.29248047
67,2.2236047,2.099123
68,1.9191349,1.5775311
69,0.3939305,0.9140752
70,2.350782,2.499112
71,1.7477328,0.98327285
72,2.1720262,1.2769954
73,2.5832956,2.3184257
74,2.2206345,2.4158819
75,2.151256,2.092381
76,-0.018103743,0.9066289
77,2.192569,1.7713684
78,-0.50946224,-0.112524495
79,0.537976,0.6279866
80,2.2026563,2.2141407
81,0.20158717,-0.15268087
82,-0.2421146,-0.16324456
83,1.3874836,1.3284913
84,2.9274845,2.87326
85,-2.556982,-2.447008
86,0.22976224,0.52458805
87,1.694116,1.6160002
88,0.5473358,1.1851552
89,-0.43705526,0.025639178
90,2.1873672,1.6914959
91,-0.058806263,-0.039722413
92,2.3301175,2.3612986
93,2.5861742,2.131259
94,0.18298581,0.38231894
95,1.6603979,1.4479444
96,-2.3537157,-2.3881602
97,-1.9705143,-2.1816034
98,2.6802332,2.7671487
99,1.7681289,1.8966625
100,2.4484937,2.3161707
101,0.61919546,0.7240717
102,2.206462,2.5558321
103,-0.42036292,-0.7023099
104,0.66363394,0.7977922
105,-1.8549315,-2.0063019
106,2.5700638,1.9019678
107,-0.19058019,-0.2829328
108,-2.3799188,-2.4907331
109,1.3261539,1.4328818
110,-2.2079527,-2.151444
111,0.4253208,0.44888765
112,-1.8462867,-1.9206014
113,2.239638,2.1226826
114,1.7835423,1.9674422
115,2.2561367,1.9417267
116,0.3935488,-0.56752056
117,-2.5505362,-2.6576471
118,0.42567128,0.5079247
119,-2.5511038,-2.4204974
120,1.5716672,1.6417766
121,0.90942544,0.7972891
122,-0.4424853,-0.17795247
123,-2.2975805,-2.3183184
124,2.4849656,2.1867335
125,0.10894009,0.76972175
126,-0.5102493,0.19238843
127,-2.339012,-1.9206014
128,1.0450363,0.63189375
129,1.5854547,1.3703444
130,0.8402315,0.92251414
131,2.2416444,2.3111115
132,-2.278078,-2.2987
133,1.6049016,1.2204373
134,1.138701,1.5222787
135,2.3946333,2.657921
136,2.2596614,2.5195057
137,2.1878517,1.5797911
138,0.6202423,0.38748345
139,-2.2340984,-2.0063019
140,0.6017146,0.9715863
141,2.1416597,1.6050766
142,1.9464724,2.0928295
143,1.5258361,2.0918803
144,2.2754116,2.1510062
145,-1.0440863,-1.5259943
146,3.3533902,2.8695488
147,0.4221452,0.78523946
148,2.2286236,2.5049062
149,2.7027862,2.8163283
150,2.2702312,1.9918687
151,2.2995484,2.3626022
152,-1.8688653,-0.8341493
153,2.2616417,2.2175899
154,1.2767999,0.82696676
155,0.5989649,1.2830896
156,1.420296,1.6221945
157,0.21833053,0.5773949
158,1.575639,1.600703
159,-0.6279301,-0.4881801
160,1.6307896,1.1000024
161,2.2244704,1.9140791
162,2.3007576,2.3656602
163,0.6057214,0.70215815
164,-0.5484918,-0.62803215
165,0.41983458,0.5539205
166,-2.5569098,-2.4907331
167,-0.5468098,-0.36277932
168,2.5162148,2.5204077
169,2.8145587,2.804378
