,True,Predicted
0,2.5861742,2.2161407
1,-1.2618347,-1.0528177
2,-1.4566258,-1.6440191
3,0.6202423,0.73718673
4,0.10894009,0.084813446
5,2.2616417,2.442626
6,-0.018103743,0.055054627
7,-1.9705143,-1.2492772
8,0.23489887,0.41944933
9,-2.2981875,-1.7460625
10,-1.9025083,-1.6420493
11,1.6296958,2.1111443
12,0.071296334,0.14620316
13,2.1720262,2.0798454
14,2.2331576,2.179542
15,2.9274845,2.903655
16,2.1416597,1.7733481
17,0.26802886,0.6252955
18,2.4696078,2.3319507
19,-2.2920852,-2.5050197
20,-0.4424853,0.07153007
21,-2.5630991,-2.5050197
22,2.206526,2.3319507
23,0.18298581,0.055054627
24,2.1703694,2.3319507
25,3.3533902,2.7359152
26,1.0450363,0.07153007
27,2.8145587,2.6105275
28,0.42002997,0.49581367
29,2.2244704,2.023751
30,2.5832956,2.3319507
31,2.239638,2.323779
32,2.206462,2.248104
33,0.2630827,0.6252955
34,1.4290137,0.76883084
35,2.192569,2.0798454
36,2.1720483,1.9498644
37,-2.5608866,-2.4095721
38,2.0840824,2.2071295
39,2.6802332,2.587224
40,-2.2911468,-2.4400759
41,2.311119,2.2084467
42,2.871114,2.7764347
43,-2.278078,-2.4095721
44,-0.2421146,-1.3282919
45,1.5258361,2.0727756
46,-2.5505362,-2.4400759
47,0.3319916,0.6861169
48,0.17565913,0.2774691
49,-0.46563858,-0.3743605
50,0.099111065,0.2922899
51,-2.3537157,-2.4095721
52,2.3946333,2.587224
53,2.2472017,2.323779
54,2.3655674,2.7359152
55,-0.50946224,-0.19166137
56,0.22717431,0.2922899
57,-0.5468098,-0.5059945
58,-1.7299488,-1.6420493
59,1.7681289,2.0000784
60,-2.556982,-2.529098
61,2.350782,2.2071295
62,1.7959328,1.6545576
63,-1.262746,-1.0528177
64,0.88971263,1.5845623
65,0.6263595,0.41944933
66,2.299789,2.3988643
67,1.5854547,1.9795074
68,-1.3053685,-1.0528177
69,-0.19058019,-1.0528177
70,1.7477328,1.7184355
71,1.7172633,1.8726091
72,0.22976224,0.24204615
73,1.3874836,0.8418479
74,0.28446618,0.570551
75,-1.0440863,-0.84469634
76,0.41983458,0.76883084
77,0.66363394,0.8418479
78,1.138701,0.6861169
79,0.8402315,0.73718673
80,0.532658,0.5019352
81,-0.5102493,-0.19166137
82,-0.42036292,-1.2492772
83,1.6049016,1.760935
84,0.6057214,0.73718673
85,0.64752513,0.8418479
86,-0.6279301,-1.7749741
87,2.0876863,2.6105275
88,-1.7546592,-1.6440191
89,2.3175108,2.0000784
90,2.2286236,2.205724
91,1.2407477,1.6545576
92,-0.5484918,-0.5059945
93,-1.8688653,-1.6440191
94,0.20158717,0.14620316
95,-2.2340984,-1.7749741
96,2.2596614,2.442626
97,2.2933571,1.760935
98,0.61919546,0.5769033
99,2.2985168,2.1342306
100,-1.7325116,-1.6420493
101,-2.3799188,-2.529098
102,-2.2079527,-2.3153045
103,2.7027862,2.587224
104,0.5989649,0.6861169
105,1.1997318,0.6252955
106,2.3118901,2.3988643
107,2.3429475,1.8726091
108,1.9464724,2.2084467
109,0.029803125,0.24204615
110,2.4484937,2.3988643
111,1.575639,1.8726091
112,2.3800287,2.7359152
113,0.44068572,-0.19166137
114,-1.8071021,-1.6440191
115,-2.561133,-2.5050197
116,-0.058806263,0.084813446
117,2.1651952,2.1148877
118,1.55271,1.9498644
119,0.5352482,0.6855828
120,1.5716672,1.760935
121,-2.379726,-2.3153045
122,0.4175516,0.76883084
123,2.832927,2.442626
124,2.2127976,2.205724
125,2.2754116,2.294073
126,-1.0461181,-0.84469634
127,1.9807124,2.0798454
128,2.866876,2.6105275
129,-0.444255,0.07153007
130,0.23976324,0.14620316
131,0.8514749,0.570551
132,1.7835423,2.0000784
133,-0.4403528,-1.7460625
134,2.1338131,2.6306858
135,-1.7477977,-1.6420493
136,-2.5631301,-2.5050197
137,2.2995484,1.9795074
138,2.2146194,1.9498644
139,3.2003274,2.6306858
140,-2.5569098,-2.529098
141,-0.22798787,-0.84469634
142,0.6017146,0.24204615
143,2.2214642,2.0727756
144,2.7140524,2.7764347
145,2.229009,2.205724
146,-1.8022641,-1.7460625
147,2.5162148,2.323779
148,0.90942544,0.6855828
149,2.2206345,2.205724
150,-1.8549315,-1.7749741
151,-0.91866016,-0.84469634
152,1.6307896,1.7733481
153,1.694116,1.6071888
154,-2.339012,-1.3282919
155,2.1878517,1.5845623
156,0.6823163,0.6861169
157,1.3261539,1.760935
158,0.3935488,0.41944933
159,2.2026563,2.248104
160,2.582165,2.1111443
161,1.773023,2.2161407
162,-2.2291112,-1.7749741
163,2.4685955,2.0727756
164,0.4221452,0.49581367
165,0.19527087,0.14620316
166,-2.2975805,-1.7460625
167,1.6603979,1.7184355
168,0.7433762,0.96993333
169,2.3007576,2.208447
