,True,Predicted
0,1.3264774,1.2656597
1,-0.9068788,-0.8984343
2,2.307708,2.309363
3,-0.75286126,-0.84979033
4,2.2683873,2.2124224
5,2.2921357,2.0473762
6,-1.0670158,-1.0539299
7,1.0499105,0.77823555
8,2.1192207,2.0747848
9,-1.0521448,-1.1296333
10,0.12402032,0.16567111
11,1.7134912,1.7075373
12,-0.9754755,-0.92564213
13,-2.1222317,-2.2110023
14,2.3350089,2.301134
15,2.3329737,2.292673
16,1.818144,1.883892
17,1.481774,1.4992366
18,-0.6717852,-0.6532237
19,0.7136669,0.7677829
20,1.0540177,1.1378168
21,2.2741647,2.23562
22,1.3064765,1.3838578
23,2.1884465,2.1603389
24,2.4539735,2.406971
25,2.3921795,2.3645458
26,-1.068946,-1.0975455
27,1.5341649,1.5648273
28,2.389442,2.3615894
29,2.4477522,2.4338474
30,2.0542445,1.9746329
31,1.056344,1.0475979
32,2.4293232,2.4524117
33,1.3957218,1.3281373
34,2.3931384,2.2394085
35,1.4181368,1.4307936
36,-2.6286213,-2.5014915
37,2.4521697,2.4572425
38,2.737215,2.4804826
39,2.114273,2.159041
40,0.066387296,0.053302024
41,-3.284352,-3.2463012
42,2.421819,2.4136152
43,2.413802,2.4009466
44,2.4433844,2.4003267
45,1.901953,2.0233502
46,2.4304767,2.4671683
47,2.4153624,2.3725486
48,0.45792654,0.69651085
49,2.4535255,2.3215394
50,1.5192277,1.492237
51,-0.67266256,-0.71863174
52,2.4252863,2.4081273
53,0.2896231,0.26697588
54,0.8291099,0.7858257
55,0.3306167,0.40922052
56,2.4307144,2.4870887
57,0.060340174,0.034566805
58,2.4176712,2.3991556
59,1.5161463,1.5191368
60,1.0749741,0.99218744
61,2.07215,1.9431045
62,0.31032035,0.42461434
63,0.53383595,0.55339056
64,2.365384,2.2895708
65,-2.5309827,-2.4614434
66,0.5957282,0.83642584
67,2.3149781,2.3010554
68,1.417915,1.5626699
69,2.4581974,2.3353581
70,2.4728098,2.4779696
71,2.8943958,2.8067827
72,2.4922345,2.4202762
73,2.474197,2.46386
74,1.7169756,1.7295578
75,2.2075703,2.2587132
76,2.410992,2.4258094
77,-0.5144153,-0.4189545
78,2.4365857,2.5087395
79,-1.053045,-1.0915552
80,2.42914,2.4764
81,2.3444328,2.3100681
82,0.63843143,0.77332765
83,1.6489996,1.5204836
84,2.4457376,2.403822
85,2.351734,2.3684478
86,1.7139974,1.6966814
87,-0.11051487,-0.13857144
88,3.324192,3.2559047
89,1.4860653,1.500076
90,1.3268123,1.5842266
91,-2.971627,-3.052371
92,-0.10776264,-0.14586648
93,2.358542,2.2510715
94,1.1852002,1.2075323
95,2.3578262,2.3437219
96,2.4098198,2.3806624
97,0.15056694,0.14884888
98,2.4184384,2.3373346
99,1.4377928,1.4581448
100,2.188067,2.213492
101,3.8051965,3.675928
102,1.6527271,1.6264353
103,1.4952244,1.6306912
104,0.970227,0.8142077
105,0.09701677,0.106195025
106,2.3409626,2.2583776
107,2.3488076,2.3136568
108,-3.2841215,-3.3206263
109,1.0493987,0.93736184
110,1.6361113,1.918978
111,2.380831,2.292045
112,2.2184296,2.271206
113,1.7138894,1.6851232
114,1.4669406,1.4889109
115,-0.521596,-0.4614359
116,-2.9823287,-2.9087334
117,-0.9568317,-0.9309455
118,-0.020938259,-0.07023394
119,2.4838476,2.2913637
120,2.4310563,2.405715
121,2.3328333,2.3006501
122,-1.456417,-1.4752877
123,-3.0198154,-2.9926243
124,-2.1963441,-1.9547654
125,-3.2401829,-3.2463012
126,-2.4335353,-2.5014915
127,1.4859877,1.687945
128,-1.7572092,-1.9547654
129,1.3455536,1.4761014
130,1.7015139,1.9649681
131,-2.2081654,-2.073792
132,2.3372517,2.376975
133,2.4211302,2.4646592
134,2.46553,2.4867425
135,2.2799346,2.248938
136,-1.1150652,-1.0809261
137,2.3264394,1.9326154
138,0.8157525,0.8058874
139,0.8703473,0.93228877
140,1.4837838,1.4719934
141,0.85211897,0.7446866
142,2.3240747,2.3052387
143,2.4497483,2.459041
144,-0.94371533,-0.84979033
145,2.438958,2.3948922
146,2.4325054,2.3720226
147,2.3248613,2.289606
148,1.1803612,1.1529061
149,1.5130286,1.5550576
150,-2.5980053,-2.618297
151,2.4394882,2.3575077
152,2.403455,2.422811
153,-1.7895734,-1.7609831
154,2.2197742,2.2139382
155,-2.58157,-2.618297
156,-1.1424102,-1.1296333
157,2.3706355,2.3049889
158,2.3734322,2.359201
159,2.3788445,2.4538856
160,-2.879893,-2.9087334
161,-3.108038,-3.052371
162,2.341988,2.3641286
163,2.0721803,2.0236502
164,2.321241,2.2630072
165,2.4240108,2.284256
166,1.4930822,1.5123789
167,2.4170325,2.3914995
168,2.4047031,2.3841696
169,1.4162004,1.5013648
170,2.4346893,2.3437614
171,2.3260596,2.169088
172,2.2299716,2.1850877
173,-0.41935295,-0.42440122
174,1.0105679,0.9458827
175,2.708888,2.7341723
176,2.1298535,2.10631
177,2.3265595,2.4243546
178,1.4804214,1.3979548
179,2.300767,2.243215
180,2.293774,2.286788
181,2.4922748,2.4489079
182,1.3458967,1.4635943
183,2.3514154,2.3663244
184,2.399168,2.3781323
185,1.913357,1.9284216
186,-1.1159055,-1.1189224
187,2.4648,2.5051079
188,2.4437454,2.4797935
189,0.9742933,0.88333976
190,2.3131905,2.3474054
191,2.2473621,2.2295775
192,-1.9990633,-2.073792
193,0.40443364,0.59812415
194,2.608172,2.580668
195,0.81979644,0.7515608
196,-2.0152555,-1.9709684
197,1.3469931,1.4567325
198,0.6347539,0.7379578
199,1.3823334,1.3573588
200,-3.2825472,-3.240676
201,-0.110794604,-0.10274893
202,1.2698063,1.2233799
203,0.08042048,0.26418716
204,1.3023224,1.3322417
205,1.2959996,1.3485223
206,0.86204916,0.9879683
207,-2.9704642,-2.9202719
208,-1.7574271,-1.7933328
209,-0.907125,-0.92564213
210,2.3595858,2.2929688
