,True,Predicted
0,1.6489996,1.4606284
1,-3.0198154,-2.873196
2,-0.67266256,-0.66050065
3,2.1298535,2.17684
4,2.435468,2.473274
5,2.3613372,2.3389559
6,1.0105679,0.8866015
7,-2.1963441,-1.9144928
8,-0.521596,-0.34914726
9,1.4181368,1.3637521
10,2.2473621,2.156422
11,2.3444328,2.3758223
12,-0.9068788,-0.8386664
13,1.7139974,1.6385391
14,1.5161463,1.5266736
15,0.066387296,0.14300877
16,-2.012476,-1.691231
17,3.8051965,3.369225
18,-0.9754755,-0.8963595
19,2.4581974,2.3169365
20,2.46553,2.542688
21,-1.1424102,-1.165848
22,2.307708,2.1156445
23,1.5910953,1.6189396
24,2.4346893,2.2982187
25,2.421819,2.4979057
26,1.4771229,1.585821
27,0.81979644,0.69867474
28,1.824019,1.9515798
29,2.1044018,2.2447658
30,0.53383595,0.6230835
31,1.4664063,1.4199535
32,1.1594872,1.1785586
33,1.4837838,1.4432874
34,1.3268123,1.4023056
35,1.4377928,1.5891559
36,-1.1150652,-1.0881021
37,-0.11051487,-0.14722249
38,2.8943958,2.7208824
39,-0.41935295,-0.36807048
40,0.970227,0.92510825
41,1.4669406,1.4618626
42,2.3240747,2.292842
43,0.12402032,0.1767929
44,2.4310563,2.4004056
45,2.0721803,2.039687
46,2.1816707,2.1934106
47,1.7134912,1.5831956
48,0.86204916,1.0115798
49,1.5098478,1.8680158
50,2.358632,2.2822037
51,2.341988,2.3594015
52,0.40443364,0.5570078
53,-3.2825472,-3.2549167
54,2.4047031,2.3023329
55,2.4477522,2.3979826
56,-0.9950627,-0.9719723
57,2.3788445,2.372586
58,1.0540177,1.1589098
59,2.4539735,2.5003781
60,-2.9704642,-2.959364
61,-1.494907,-1.6397474
62,-2.5309827,-2.4654272
63,-1.0740958,-1.041191
64,2.4252863,2.3281353
65,2.3328333,2.3395462
66,1.818144,1.937953
67,-2.2081654,-2.121396
68,2.4151392,2.402585
69,0.45792654,0.5204086
70,-0.5144153,-0.39225274
71,-1.0521448,-1.165848
72,2.2799346,2.2781115
73,2.3941257,2.365861
74,2.4838476,2.4267178
75,2.358542,2.3382926
76,0.2896231,0.34015495
77,2.3921795,2.4005785
78,2.3706355,2.4261901
79,2.4648,2.4827285
80,2.3595858,2.2966914
81,0.09701677,0.1330865
82,-2.971627,-2.9933147
83,2.3931384,2.229181
84,-3.2401829,-3.289316
85,2.2921014,2.3736022
86,1.481774,1.5135226
87,1.3458967,1.4264144
88,-2.6286213,-2.4433002
89,1.4952244,1.6989303
90,1.0637814,1.0451692
91,2.188067,2.1856685
92,-1.7574271,-1.7920009
93,0.9742933,0.9685208
94,2.413802,2.4124188
95,1.913357,1.9349201
96,2.3811834,2.3936052
97,2.4406457,2.56666
98,0.5957282,0.64276177
99,-0.020938259,-0.30090666
100,2.4394882,2.3665686
101,2.4305186,2.3781419
102,1.3264774,1.2898977
103,2.351734,2.4688377
104,2.4365857,2.532484
105,-2.58157,-2.6221514
106,-2.9703195,-3.0011911
107,1.5192277,1.511967
