,True,Predicted
0,1.3268123,1.5380342
1,1.2698063,1.4825504
2,2.389442,2.3567648
3,2.4418004,2.411305
4,-0.6717852,-0.8393584
5,2.300767,2.2376328
6,2.413802,2.399827
7,2.3149781,2.2590084
8,2.351734,1.4590654
9,1.3023224,1.6717794
10,-3.284352,-3.1834223
11,2.421819,1.9595442
12,-3.2401829,-3.1834223
13,2.2921357,1.9333776
14,2.4310563,2.5296702
15,0.45792654,0.45316195
16,1.3957218,1.5117216
17,2.3578262,2.0389137
18,1.7138894,1.3107889
19,1.6489996,1.5031993
20,2.4252863,2.4586153
21,2.4153624,2.263896
22,1.3469931,1.4222721
23,2.3726866,2.4032845
24,1.0499105,0.4604238
25,2.3706355,2.4236054
26,2.399168,2.5169873
27,2.4326284,2.0153542
28,-2.1963441,-1.8296452
29,0.12402032,1.2010007
30,2.3444328,2.1880188
31,1.4771229,1.2221612
32,2.1044018,1.8667356
33,1.8097718,2.0892777
34,2.321241,2.0447779
35,-0.75286126,-1.3621509
36,2.3734322,2.3067598
37,-3.2841215,-3.405129
38,1.4983968,1.4754155
39,0.060340174,-0.097884096
40,-0.94371533,-1.3621509
41,-2.5980053,-2.467437
42,2.4437454,2.0666819
43,2.474197,2.2962384
44,2.46553,2.4829285
45,2.2738059,2.4321601
46,2.438958,2.311067
47,1.6527271,1.4582331
48,2.608172,2.2281332
49,1.901953,1.9929049
50,1.056344,1.451013
51,-0.67266256,-0.94125813
52,2.2921014,2.4136677
53,2.3350089,2.5077481
54,1.0749741,0.8220019
55,1.7139974,1.1592014
56,-2.2081654,-1.9049727
57,2.3931384,1.5170105
58,2.4047031,2.318914
59,0.8291099,0.76680297
60,1.3264774,-0.35417286
61,2.4098198,2.5887966
62,2.341988,2.080317
63,-1.7572092,-1.8296452
64,2.358632,2.2608783
65,-0.9950627,-0.62722015
66,2.0542445,1.847469
67,2.3488076,1.983202
68,2.2075703,2.2125642
69,-0.11317268,-0.07089894
70,-1.4272807,-1.5426346
71,2.1192207,1.4582291
72,2.3260596,1.8744948
73,1.5910953,1.7720857
74,1.0637814,1.1718068
75,2.4211302,2.631356
76,0.8157525,0.8593394
77,1.4664063,1.5482421
78,0.2896231,0.86999506
79,2.07215,2.1716418
80,2.3248613,2.245309
81,1.4859877,1.9300731
82,1.4930822,1.6103063
83,0.15056694,0.22193438
84,2.4497483,2.356878
85,2.3131905,1.6189616
86,1.3458967,1.9396114
87,2.3941257,2.5268588
88,0.066387296,0.7518804
89,1.818144,2.338002
90,2.4539735,2.0555587
91,2.4346893,2.015659
92,2.4293232,2.1346376
93,-1.0740958,-0.25665334
94,-2.58157,-2.467437
95,0.85211897,0.95968133
96,2.4581974,1.9521376
97,-3.0199537,-3.1128564
98,1.4198202,1.2822237
99,2.8943958,2.4635963
100,2.4648,2.5081115
101,-0.11051487,0.8980314
102,2.2473621,2.099396
103,2.4184384,2.2297606
104,1.1803612,1.5986397
105,2.4305186,1.3669518
106,1.1852002,1.6659865
107,2.114273,2.4161317
108,-0.907125,-1.0562187
109,-0.110794604,1.0161428
110,2.4365857,2.4778914
111,1.3064765,1.2040274
112,2.2299716,2.0872917
113,2.1298535,1.9466882
114,2.4039912,2.5893142
115,-2.879893,-2.820386
116,2.293774,2.2183647
117,2.188067,2.337237
118,1.4669406,1.5481904
119,2.1816707,2.4588447
120,2.4170325,2.4914117
121,2.3409626,2.2312894
122,-1.0670158,-0.39790237
123,2.4406457,2.3151808
124,2.435468,2.229246
125,1.0523291,0.6278445
126,2.4394882,1.6332431
127,-0.41935295,-0.4500772
128,2.4521697,2.1238403
129,2.410992,2.5290546
130,-2.8799202,-3.0146005
131,1.481774,1.3171757
132,2.1884465,2.0234199
133,1.8140831,1.9353822
134,-3.0204637,-2.8457074
135,-1.7574271,-1.8727434
136,2.4325054,2.4455614
137,2.3329737,2.1574402
138,-2.971627,-1.6853559
139,1.0105679,1.4905457
140,2.380831,2.6048164
141,2.3328333,1.4804759
142,-2.2083132,-1.8928059
143,0.08042048,0.60445637
144,-0.521596,0.43301168
145,1.4952244,1.9805311
146,0.86204916,1.4186103
147,0.53383595,1.6205239
148,0.7136669,1.4546115
149,-2.5309827,-2.416308
150,-0.020938259,-0.21276629
151,0.81979644,1.022573
152,0.5957282,0.964938
153,-2.1222317,-2.2379956
154,1.7015139,2.0897486
155,2.4535255,2.3353643
156,-2.9026992,-2.8457074
157,2.3264394,1.4092096
158,0.3306167,1.5061574
159,1.6167691,1.6981945
160,2.440308,2.371008
161,2.2741647,2.0653858
162,1.4377928,2.1074452
163,-2.4335353,-2.3176763
164,0.970227,0.95470893
165,-0.9568317,-1.3791372
166,-1.494907,-1.7468518
167,2.737215,2.17267
168,-3.0198154,-2.7454827
169,2.3788445,2.1705136
170,2.4151804,1.2851025
171,2.2799346,1.9477384
172,2.2683873,2.0347562
173,2.403455,2.3938155
174,2.307708,2.2538056
175,1.4181368,1.5832566
176,2.4728098,2.4704196
177,1.824019,2.153491
178,-1.068946,-0.5412358
179,-2.012476,-1.5799056
180,2.2197742,2.296766
181,-1.456417,-1.7227712
182,-3.2825472,-3.288248
183,1.5192277,1.422687
184,1.2959996,1.6268301
185,-2.9823287,-2.820386
186,1.5161463,1.4095645
187,1.5098478,1.9284122
188,1.0493987,0.9937416
189,2.4457376,2.139499
190,2.4240108,2.2075558
191,-0.9754755,-1.0562187
192,2.4304767,2.687112
193,2.0721803,2.0628295
194,1.5130286,1.0626786
195,1.3823334,1.4913247
196,2.438076,2.3174686
197,2.365384,1.5406535
198,-0.10776264,-0.43628955
199,2.4838476,2.2956753
200,1.1594872,1.5133388
201,1.4860653,1.0416298
202,3.8051965,2.9861162
203,2.2184296,2.2965636
204,2.3811834,1.7320842
205,0.4612943,0.7384817
206,2.358542,2.290713
207,1.0540177,1.4349835
208,0.63843143,1.0398872
209,0.6347539,0.81042975
210,0.40443364,0.74659276
