,True,Predicted
0,0.5957282,0.94298685
1,1.4859877,1.624607
2,2.3409626,2.3419523
3,2.3921795,2.3419523
4,0.45792654,0.74651873
5,-3.0198154,-3.0009215
6,-1.456417,-1.133548
7,2.2075703,2.379176
8,1.4669406,1.4756167
9,2.3488076,2.1403844
10,2.4521697,2.39295
11,2.4305186,2.4043782
12,2.3444328,2.4765546
13,0.8291099,0.70549226
14,2.3788445,2.4818122
15,2.3240747,2.8106508
16,2.3328333,2.3945632
17,1.0523291,0.74651873
18,1.2959996,1.4839771
19,2.4394882,2.403354
20,1.5341649,1.4729387
21,1.4377928,1.7316079
22,1.6489996,1.4602962
23,2.4433844,2.133129
24,2.3149781,2.2890182
25,1.6167691,1.4839771
26,2.114273,2.273886
27,1.0499105,0.74651873
28,-0.41935295,-0.8770111
29,1.3458967,1.624607
30,2.8943958,2.6537879
31,2.4648,2.6537879
32,2.1816707,2.2668412
33,2.3248613,2.41449
34,2.4365857,2.4429257
35,-1.0740958,-1.030967
36,-3.0199537,-3.0009215
37,2.188067,2.010433
38,2.3260596,1.9879885
39,-0.75286126,-0.70452493
40,-3.2841215,-3.3256843
41,0.40443364,0.70549226
42,2.410992,2.39502
43,-1.494907,-1.133548
44,1.0540177,1.2899101
45,1.3823334,1.4729387
46,1.2698063,1.2275438
47,0.86204916,0.9997559
48,1.3264774,1.0851467
49,2.4045038,2.532519
50,2.4581974,1.7316079
51,-3.2825472,-3.3256843
52,0.08042048,0.18050697
53,2.4151392,2.2470639
54,2.440308,2.5087543
55,2.4151804,2.3820887
56,1.3027713,1.2275438
57,1.3957218,1.2433028
58,2.2473621,2.206978
59,2.3578262,2.2318041
60,2.1884465,2.206978
61,1.6527271,1.4602962
62,2.3396742,2.2318041
63,2.3131905,2.2890182
64,2.4497483,2.39295
65,1.5161463,1.5618615
66,2.1192207,1.9879885
67,2.2738059,2.2668412
68,1.5910953,1.5618615
69,0.9742933,0.89594567
70,2.4047031,2.361554
71,2.380831,2.379176
72,1.3469931,1.4602962
73,2.399168,2.379176
74,0.8157525,0.70549226
75,2.3931384,1.8470303
76,2.358632,2.420223
77,0.7136669,0.89141446
78,1.1594872,1.1339581
79,1.3268123,1.9879885
80,2.3264394,2.3945632
81,2.708888,2.3656733
82,1.3455536,1.4602962
83,0.53383595,0.3920653
84,0.31032035,0.3920653
85,3.324192,2.8106508
86,1.1803612,1.1339581
87,3.8051965,3.7049568
88,2.4325054,1.8463638
89,2.307708,2.1315727
90,-1.7572092,-1.453309
91,1.5192277,1.4756167
92,-2.58157,-2.517704
93,2.4437454,2.5087543
94,-0.11051487,-0.06753085
95,2.421819,2.2470639
96,1.4162004,1.8007648
97,-0.907125,-0.42830688
98,2.2299716,2.361554
99,2.3941257,2.360771
100,2.403455,2.361554
101,2.4728098,2.5087543
102,1.7138894,1.6094167
103,1.824019,2.010433
104,1.0637814,0.94298685
105,-2.8799202,-2.8874514
106,-3.0204637,-3.0009215
107,1.818144,1.8721211
108,2.3734322,2.360771
109,-2.5980053,-2.517704
110,1.5098478,2.1315727
111,-2.1963441,-1.453309
112,0.2896231,0.42997903
113,0.15056694,-0.42830688
114,0.63843143,0.89594567
115,2.4346893,2.4397857
116,-2.2083132,-1.9050856
117,2.3706355,2.360771
118,0.8703473,1.0851467
119,2.3595858,2.273886
120,2.1940846,2.2470639
121,-2.2081654,-1.9050856
122,2.413802,2.385813
123,2.4170325,2.3621495
124,2.3514154,2.4818122
125,0.4612943,0.74651873
126,-0.10776264,-1.133548
127,1.3064765,1.2275438
128,2.3811834,2.41449
129,2.1044018,2.2470639
130,2.3900454,1.8470303
131,-1.0521448,-0.8770111
132,1.4860653,1.2899101
133,2.4153624,2.2131426
134,2.608172,2.4765546
135,-1.053045,-0.8770111
136,2.42914,2.3050957
137,-0.110794604,-0.06753085
138,2.365384,2.2750673
139,-1.1424102,-0.8770111
140,-1.7574271,-1.453309
141,2.438076,2.361554
142,-0.9950627,-1.9050856
143,1.417915,1.8470303
144,-0.521596,-0.39900032
145,-2.1222317,-2.3033392
146,2.4211302,2.4765546
147,-0.11317268,-0.70452493
148,0.970227,0.89594567
149,-2.9026992,-3.0009215
150,2.0721803,1.624607
151,1.4198202,1.8470303
152,-2.0152555,-1.3428339
153,1.0493987,0.94298685
154,-0.020938259,-1.453309
155,1.7015139,2.1403844
156,-0.5144153,-0.39900032
157,0.81979644,0.70549226
158,-1.068946,-1.030967
159,2.3329737,2.1403844
160,1.4664063,1.4756167
161,1.8097718,2.2318041
162,-1.1150652,-0.98535436
163,1.056344,1.8463638
164,1.0105679,1.2433028
165,-2.6286213,-2.3033392
166,1.5130286,1.5618615
167,0.09701677,-0.27794313
168,2.341988,2.4429257
169,-3.108038,-3.146839
170,0.6347539,0.89594567
171,1.4771229,2.133129
172,-0.9568317,-0.70452493
173,2.1298535,2.2131426
174,2.4477522,2.4397857
175,1.901953,2.2131426
176,2.4418004,2.3050957
177,-2.879893,-2.8874514
178,-1.9990633,-1.9050856
179,-0.6717852,-0.27794313
180,2.321241,2.2131426
181,2.46553,2.3621495
182,2.2921014,2.360771
183,2.3350089,2.3621495
184,2.737215,2.4818122
185,2.300767,2.2890182
186,1.4930822,1.4756167
187,1.4983968,1.2899101
188,0.12402032,0.6483715
189,-3.2401829,-3.3256843
190,0.060340174,-1.3428339
191,1.0749741,0.94298685
192,-2.5309827,-2.517704
193,2.117435,1.9879885
194,-0.94371533,-0.70452493
195,2.462418,2.39502
196,2.4307144,2.133129
197,2.4326284,2.273886
198,2.4039912,2.420223
199,2.4922345,2.206978
200,2.351734,2.2750673
201,-2.012476,-1.3428339
202,2.0542445,1.5618615
203,-1.1159055,-0.98535436
204,1.913357,2.3656733
205,2.4240108,2.1315727
206,2.435468,2.420223
207,2.4922748,2.41449
208,2.4457376,2.4397857
209,1.481774,1.4729387
210,2.3265595,1.8007648
