,True,Predicted
0,3.832354,3.4919226
1,-2.3130474,-2.426774
2,-2.1745625,-2.181373
3,-0.76957977,-0.80973274
4,4.0824704,3.8857305
5,-1.9503593,-1.9415593
6,-1.9886746,-1.98858
7,-0.44490644,-0.2848557
8,1.7812524,1.7351403
9,1.2708272,1.2972214
10,-0.10197415,-0.24017043
11,1.1822182,1.0138149
12,-2.47173,-2.1449811
13,1.3799661,1.3536707
14,2.0472374,1.9715272
15,-0.513365,-0.30678874
16,1.1877677,1.1471294
17,-2.1733763,-2.1272519
18,3.3348553,3.2656567
19,0.08182392,0.07801856
20,0.6249973,0.6217672
21,0.09654875,-0.023843538
22,-0.5136533,-0.4835756
23,-0.30067727,-0.028694892
24,1.8462856,1.8809177
25,-1.9534696,-1.9561481
26,0.24126564,0.22630817
27,2.2938774,2.2401617
28,-0.3911824,-0.40666068
29,-1.7959878,-1.987718
30,1.6277992,1.5832341
31,-2.4470456,-2.4592164
32,-0.08830288,-0.084867746
33,-1.948147,-1.9415593
34,-1.5749494,-1.621983
35,-1.3312873,-1.412784
36,-0.79639834,-0.7902623
37,-0.31664124,-0.22146161
38,-2.3964262,-2.37406
39,1.9413774,1.9132917
40,-0.80813944,-0.808978
41,1.2999724,1.322072
42,-2.3975132,-2.37406
43,2.0810459,2.056
44,-2.3966978,-2.4223077
45,-1.0891769,-1.0415528
46,1.1792893,1.1778138
47,-2.101915,-2.2764513
48,-2.446625,-2.2764513
49,2.188111,1.9268249
50,1.035754,1.2059102
51,-1.9600339,-1.968094
52,-0.028853351,-0.017110374
53,0.29202458,0.67385083
54,-1.706786,-1.6652844
55,-1.8321021,-1.7314918
56,0.07453304,0.02390935
57,0.0012131208,0.011944069
58,1.4006714,1.4015515
59,1.7125958,1.7742488
60,1.5749843,1.5629878
61,-1.6836065,-1.568641
62,1.8479643,1.8749347
63,0.39692673,0.368554
64,-1.9781879,-2.0232086
65,-1.334237,-1.4140072
66,-2.441845,-2.3147902
