,True,Predicted
0,-0.7229049,-0.97131276
1,-2.441845,-2.4279597
2,4.0824704,2.66015
3,0.9754603,1.1080383
4,-0.5136533,-0.47869673
5,-1.7216334,-1.5635229
6,-2.072215,-1.9531633
7,0.8172768,0.9506251
8,-1.7237036,-1.5635229
9,-0.26216385,-0.25824738
10,2.14648,2.9714115
11,-0.35421363,-0.33183965
12,-0.8082422,-0.8224885
13,-0.46152812,-0.10385647
14,1.9413774,1.8849066
15,-1.9600339,-1.9479202
16,-0.4266998,-0.42437008
17,1.6228681,1.5761619
18,3.460875,3.3302522
19,-1.334237,-1.8666596
20,-0.30215934,-0.2912477
21,-0.19074191,-0.1432533
22,0.08182392,0.045863103
23,1.1877677,1.0990072
24,1.2708272,1.1080383
25,1.7866899,1.8976847
26,1.0566698,1.2756127
27,1.7125958,1.6541287
28,-0.31664124,-0.21243218
29,-0.79639834,-0.8224885
30,-2.1586556,-1.8578292
31,-2.0351474,-1.9479202
32,-1.706786,-2.168788
33,-0.40260273,-0.42437008
34,-0.17960756,-0.46630722
35,-2.5595622,-2.3803365
36,0.12178479,0.16937372
37,1.9780644,2.0982962
38,-0.8795471,-0.9265587
39,-1.9882623,-1.7729789
40,0.48444018,1.8445295
41,1.0387318,1.1758347
42,-2.508946,-2.168788
43,-2.5156136,-2.4951863
44,-1.9643965,-2.006186
45,-1.0201219,-0.99737144
46,0.2586846,0.20291081
47,0.3853757,0.24656895
48,-0.9711898,-1.5244718
49,-2.4470456,-2.4279597
50,1.4006714,0.9506251
51,1.1792893,1.4722081
52,-0.254919,-0.25824738
53,-0.4215418,-0.41800207
54,2.63897,2.023417
55,1.3919817,1.1758347
56,-1.948147,-1.9849116
57,0.0012131208,-0.049510855
58,-0.60259336,-0.40212953
59,-0.3548886,-0.35293835
60,-1.1876415,-1.3458604
61,-1.8648397,-1.6921409
62,1.709635,1.5459445
63,-2.5770082,-2.5351114
64,3.668212,3.3191252
65,1.8479643,1.7949697
66,-0.3868947,-0.33614755
67,-0.30067727,-0.21243218
68,-2.3966978,-2.3973196
69,-0.101797484,-0.16063172
70,-2.5625906,-2.3803365
71,1.9589945,1.8849066
72,-0.046375714,0.24656895
73,-2.1733763,-1.8666596
74,-0.44490644,-0.16063172
75,4.1855707,4.017311
76,-0.42586583,-0.47869673
77,0.18820167,0.20315805
78,-2.3130474,-2.168788
79,3.3348553,3.2631102
80,2.0505164,1.9817989
81,2.0901618,2.0716722
82,-0.4577898,-0.51535195
83,2.0472374,1.8976847
84,-0.28274137,-0.2912477
85,2.0938697,1.6347746
86,0.9000179,0.86788434
87,2.3705134,1.4937867
88,-1.1267637,-0.99737144
89,0.07453304,0.045863103
90,-1.4944717,-1.0184455
91,1.3665475,1.5459445
92,-1.1915718,-0.97131276
93,-0.25696218,-0.25824738
94,-1.3312873,-1.8578292
95,-2.1012766,-2.006186
96,-0.29767883,-0.2912477
97,1.6191646,1.4722081
98,0.39692673,0.37245327
99,-0.3573372,-0.51535195
100,-0.8675044,-0.73403364
101,0.52796483,1.4937867
102,1.71861,1.6541287
103,-0.7649598,-0.51535195
104,-1.065434,-0.73403364
105,0.0974953,-0.10385647
106,1.0295994,1.0990072
107,-0.6627546,-0.46630722
108,-2.1589713,-1.8578292
109,2.188111,2.0449555
110,-0.7914701,-0.7521152
111,-0.513365,0.4611951
112,-1.7377381,-1.5244718
113,1.034993,1.1758347
114,-1.1057765,-1.6921409
115,1.3799661,1.7409486
116,-0.075394414,-0.1432533
117,-0.3911824,-0.33614755
118,3.832354,2.9714115
119,-2.251234,-2.3803365
120,-2.2504263,-2.3803365
121,-2.5748644,-2.5351114
122,2.5627184,2.2385092
123,-1.8650864,-1.6921409
124,0.22717163,0.20291081
125,-0.1433273,-0.10385647
126,-0.037560925,0.045863103
127,1.6893098,1.5459445
128,0.6231204,0.54173166
129,-1.0079458,-1.5635229
130,0.9891933,0.9158831
131,0.4057082,1.1342858
132,-1.9886746,-1.7729789
133,-0.1704899,-0.1432533
134,1.5749843,2.023417
135,1.3673582,2.66015
136,0.4771099,0.8987977
137,2.2938774,2.0449555
138,0.8180324,0.9506251
139,0.29202458,0.82946694
140,-1.7243762,-1.5635229
141,-1.5749494,-1.5244718
142,-0.25599107,-0.25824738
143,-0.19419856,-0.1432533
144,1.035754,1.1758347
145,1.9674283,1.8849066
146,3.1345582,1.8445295
147,-1.9949665,-1.7729789
148,-0.5863088,-1.0184455
149,0.18388478,0.20315805
150,-2.097455,-2.006186
151,1.0160147,1.6347746
152,1.2827427,0.4611951
153,1.8014386,1.7949697
154,-1.5116783,-1.3458604
155,0.32321626,0.370049
156,-1.0882459,-0.9138153
157,-1.8642699,-1.6921409
158,1.1822182,1.4564991
159,-1.9534696,-2.006186
160,-0.08292652,-0.16063172
161,-1.2062125,-1.7729789
162,-0.76957977,-0.9138153
163,-1.7959878,-1.8578292
164,-1.8321021,-1.5244718
165,1.7519392,2.0449555
166,0.9078417,1.2756127
167,-1.9781879,-1.9531633
168,-0.7583166,-0.78325444
169,-1.9503593,-1.9849116
170,0.6249973,0.54173166
171,1.3740764,0.8987977
172,-2.0604246,-1.9531633
173,0.09654875,-0.10385647
174,2.0810459,2.0096745
175,1.7812524,1.2756127
176,-2.3964262,-2.3973196
177,-0.32633317,-0.73403364
178,2.1672943,1.7409486
179,1.9251344,1.4564991
180,-0.19617942,-0.40212953
181,-0.80076647,-0.78325444
182,0.18412083,0.20315805
183,1.1704127,0.82946694
184,-0.87095743,-0.91381526
185,1.809745,1.7949696
186,1.8462856,1.1342858
187,-2.1745625,-1.8666595
188,-0.1147365,-0.049510855
189,-0.34049386,-0.33614755
190,-0.08830288,-0.049510855
