,True,Predicted
0,-0.088654675,-0.098990716
1,-0.14260948,-0.14329085
2,-1.0003688,-1.0031871
3,0.8048004,0.72313726
4,-0.07888137,-0.08182845
5,0.7686713,0.6673897
6,-0.10524022,-0.112944774
7,-0.1796456,-0.14652726
8,-0.30679733,-0.29131433
9,-0.13043211,-0.12398837
10,-0.07963866,-0.014091874
11,-0.913268,-0.90227914
12,0.9397113,0.930033
13,-0.17707671,-0.036617354
14,-0.13923867,-0.11654755
15,-0.1594004,-0.16477738
16,-0.18219973,-0.209769
17,-0.18614177,-0.21907675
18,0.7780136,0.91301125
19,0.83129936,0.85585576
20,-0.22702593,-0.19168487
21,-0.13547929,-0.075766005
22,-0.14477387,-0.08746302
23,-0.8617559,-0.8197837
24,-0.14549674,-0.10261884
25,-0.18780862,-0.14192353
26,-0.10214683,-0.12182932
27,-0.11494217,-0.10926781
28,1.0753304,1.0146106
29,2.415264,2.333888
30,-0.9991352,-0.9807688
31,0.46536633,0.46186653
32,-0.10562968,-0.1112904
33,-0.09713599,-0.067854606
34,-0.14332229,-0.11097293
35,-0.10054517,-0.11562032
36,-0.6363117,-0.6774119
37,0.51870006,0.5741846
38,-0.40495166,-0.3933575
39,1.1038265,0.9176056
40,-0.11513285,-0.14778166
41,1.3455645,1.2914323
42,-0.10569859,-0.12898575
43,0.8757332,0.8317913
44,-0.09953896,-0.07957331
45,-0.1915876,-0.10200211
46,-1.0761818,-0.9050374
47,-0.9265846,-0.9475321
48,-0.83687544,-0.72591835
49,-0.13405238,-0.032081924
50,-0.26610637,-0.2759709
51,-0.6637851,-0.6528552
52,-1.0230756,-0.97106534
53,-1.071184,-1.074136
54,0.848739,0.8552202
55,-0.10543676,-0.116865166
56,-0.09386899,-0.028605593
57,-0.45763037,-0.44952413
58,-0.12818533,-0.11702629
59,-0.15144046,-0.06773121
60,-1.0039026,-1.0240223
61,-0.102974944,-0.10878777
62,-0.1833637,-0.25978547
63,-0.13195881,-0.09104014
64,-0.3561726,-0.38397434
65,-0.9937311,-0.97920877
66,-0.057111852,-0.06742345
67,0.045633305,-0.019637274
68,-0.18831325,-0.127424
69,-0.15669973,-0.16075659
70,1.8242538,1.7407438
71,-0.16680169,-0.18817562
72,-0.36809587,-0.35631463
73,-0.12831235,-0.10099093
74,-0.110672496,-0.11239233
75,-0.27935043,-0.29014125
76,-0.12973584,-0.19802758
77,-0.3079592,-0.28722218
78,-0.640817,-0.67755395
79,1.0400285,0.97373134
80,-0.5588356,-0.5291306
81,-0.12934074,-0.14584568
82,-0.6204904,-0.5967062
83,-0.29071608,-0.28570792
84,1.0215375,1.0383457
85,-1.0656881,-0.92676365
86,-0.8572653,-0.8426023
87,-0.1718324,-0.095040895
88,-0.091333635,-0.12455129
89,-0.966878,-0.9306782
90,-0.45379943,-0.50117284
91,-0.13668066,-0.1524136
92,1.8317311,1.6092083
93,-0.14945988,-0.1394412
94,-0.23637597,-0.2432045
95,0.96641517,0.9320937
96,-0.20520274,-0.15430287
97,-0.48495924,-0.4951754
98,-0.5333971,-0.50117284
99,-0.08773432,-0.074366756
100,-0.098086074,-0.15683764
101,2.114886,1.9906095
102,-0.09512194,-0.08157766
103,0.52094173,0.4240434
104,-0.38435012,-0.38870528
105,-0.09564106,-0.1391646
106,-0.28047916,-0.25978547
107,3.3651953,3.3364277
108,-0.9937559,-0.99425894
109,-0.09244774,-0.122512095
110,-0.121842906,-0.10543789
111,-0.17295568,-0.10220703
112,5.3639865,5.0493665
113,0.40462834,0.2943538
114,0.9933352,1.0018029
115,-0.13790001,-0.097572796
116,-0.3319171,-0.22911891
117,-0.14574614,-0.14401928
118,-0.15308729,-0.13000245
119,-1.0015266,-0.9916381
120,-0.077154465,-0.11122652
121,1.1693138,1.1491613
122,0.85226244,0.88414484
123,-0.1088158,-0.12184038
124,-0.9508112,-0.9278762
125,-0.15230538,-0.13334993
126,-0.20560262,-0.19673717
127,-0.17738414,-0.1458266
128,0.49433768,0.43885994
129,-0.16423254,-0.04446166
130,-0.16960011,-0.21494201
131,-0.34169042,-0.27629718
132,-0.17836857,-0.20030785
133,-0.09679727,-0.11943453
134,-0.1674362,-0.12838815
135,-0.6718592,-0.75840604
136,0.8467677,0.79078764
137,-0.3977186,-0.39041722
138,-0.33302495,-0.35921726
139,-0.096755505,-0.041078486
