,True,Predicted
0,-0.15098317,-0.36349297
1,-0.16779436,0.13107835
2,-0.6204926,-0.1568713
3,-0.40894532,-0.62451017
4,-0.16680169,-0.020339081
5,-0.34216785,-0.31532758
6,-0.15144046,-0.05522298
7,-0.10214683,-0.27951545
8,0.52094173,0.20527023
9,-0.10403544,-0.10113931
10,-0.13043211,-0.079224385
11,-0.45379943,-0.70866287
12,-0.110672496,0.23991594
13,-0.1915876,-0.25397944
14,-0.096755505,-0.241612
15,1.1693138,0.59342426
16,0.9397113,1.1774294
17,-0.12866738,-0.20120372
18,-0.28047916,-0.49687454
19,-0.11640015,0.15591902
20,-0.6204904,-0.60027033
21,-0.16100737,-0.18923493
22,-0.23085722,-0.32970116
23,0.9933352,0.6427412
24,-0.1750692,0.6058457
25,-0.09679727,-0.10426332
26,-0.26879567,-0.2257133
27,-0.15669973,-0.09400411
28,-0.30679733,-0.36562788
29,-0.31844604,-0.62451017
30,-0.1796456,-0.10188836
31,-0.26610637,-0.3236904
32,-1.6295624,-1.3412559
33,-0.6363117,-0.69587255
34,-0.10569859,-0.21052806
35,-0.13679549,-0.24411397
36,-0.14477387,-0.018471373
37,0.83129936,0.6675673
38,-0.9508112,-0.87806123
39,0.44200802,0.1511664
40,-0.9265846,-1.2542605
41,-0.09713599,-0.16697918
42,-0.17655337,0.42262465
43,-0.09144793,-0.15778713
44,-0.14332229,-0.106640235
45,-1.0097684,-0.88867223
46,-0.14549674,0.109284386
47,-0.27379617,-0.44949847
48,-0.10524022,-0.13712415
49,-0.10773653,-0.16208848
50,-0.16153356,-0.25551093
51,-0.13588269,-0.3187871
52,-0.99342835,-0.8806138
53,1.8180017,0.61242515
54,-0.65260977,-0.6890669
55,-0.15847759,-0.3408663
56,-0.16423254,0.14801489
57,-0.12669687,-0.29487157
58,-0.13032734,-0.06660318
59,0.7780136,1.2304145
60,0.14543991,0.08830437
61,-0.123086266,0.7470902
62,-0.5588356,-0.27153277
63,-0.10055632,-0.03287287
64,-0.16302013,-0.114448786
65,0.7686713,-0.06818048
66,-0.101450086,-0.060960248
67,-0.10013958,-0.32226604
68,-1.6224372,-1.0623814
69,-0.3977186,-0.39194253
70,3.3651953,1.0998656
71,-0.16960011,-0.2090121
72,-0.18614177,-0.24733202
73,-0.14260948,-0.10748395
74,-0.17707671,-0.2816136
75,-0.07888137,0.12917127
76,-0.09311993,0.009797251
77,-0.17771114,0.17869012
78,-1.1190425,-0.8416879
79,-0.10328304,0.11909887
80,1.8392476,0.75664043
81,-0.3020688,-0.33977118
82,-0.84185016,-0.6359744
83,-0.13195881,-0.22866379
84,0.848739,0.7544311
85,-0.08100311,0.5604631
