,True,Predicted
0,2.4190812,2.3628156
1,0.9253347,0.85759556
2,-3.1081905,-3.1140873
3,1.0677968,1.0410478
4,-2.3280823,-2.2957344
5,2.9051545,2.831261
6,0.3097484,0.33238745
7,-1.1262482,-1.1153791
8,0.5851972,0.62086916
9,0.944076,0.89659667
10,3.4995763,3.4498775
11,0.36368948,0.3513128
12,1.9349568,1.9508182
13,2.4003959,2.4153037
14,-0.93794495,-0.9570961
15,2.4828193,2.760461
16,-3.058314,-3.0585434
17,-1.2162819,-1.0861206
18,-0.8136765,-0.85019714
19,-2.9226296,-2.8975942
20,-2.1465287,-2.1579149
21,-2.225886,-2.4024432
22,2.268792,2.2421057
23,0.699027,0.6616498
24,-1.2027427,-1.1732601
25,1.7051699,1.7389088
26,2.7473905,2.6878307
27,1.1078017,1.1155616
28,2.6268535,2.5391767
29,-1.1340619,-1.1450849
30,0.69012815,0.6469193
31,1.7429026,1.7024784
32,2.7410767,2.7976449
33,-3.0355012,-2.8175225
34,3.014038,2.900554
35,-0.8973652,-0.8044324
36,0.7218281,0.6775518
37,0.53686434,0.47684553
38,-1.5579652,-1.5653436
39,-0.85879177,-0.75584745
40,2.4597647,2.4126275
41,1.66967,1.7578199
42,3.1377187,2.9626822
43,3.694084,3.618426
44,-1.7309209,-1.663723
45,-2.1890168,-2.5159028
46,1.865093,1.9170595
47,-0.7873491,-0.75238967
48,-1.96075,-1.9250234
49,4.277596,4.2296195
50,2.1724248,2.1711705
51,2.351948,2.3349814
52,1.8641264,1.8362826
53,-0.87008786,-0.86071014
54,-0.8537424,-0.81222546
55,-2.0183318,-2.061292
56,2.8597302,2.8555815
57,2.2804894,2.2912455
58,-1.0307723,-1.0370532
59,-0.20224304,-0.22128795
60,1.6680876,1.6387625
61,-0.6046024,-0.60208076
62,2.928569,2.9292843
63,-1.1480671,-1.1246705
64,-1.0503061,-1.0826812
65,-2.2219706,-2.4301975
66,0.21571988,0.20869729
67,2.5498176,2.5169597
68,2.2403934,2.3450122
69,-3.1080682,-2.970745
70,-2.948876,-2.970745
71,2.5557153,2.5681522
72,-0.8618832,-0.9262122
73,-0.45270398,-0.4481944
74,-1.0090503,-1.0901554
75,-0.68184316,-0.6628741
76,0.68906456,0.69091177
77,-2.1462529,-2.1854773
78,0.7837875,0.8386731
79,-1.1911318,-1.1248472
80,3.109514,2.768726
81,1.5653344,1.5109398
82,3.1312842,3.0485942
83,-1.2037956,-1.0889124
84,1.1427735,1.0449208
85,2.733142,2.6820316
86,2.255398,2.2479994
87,1.3855307,1.3433311
88,-1.0284339,-1.0025058
89,-2.6478698,-2.8175225
90,1.1307064,1.2423053
91,0.8633252,1.0897634
92,1.5821241,1.5523808
93,-2.1132746,-2.1000292
94,-2.7741487,-2.6995301
95,1.8273517,1.7977588
96,0.9620621,0.9879784
97,2.8772645,2.858339
98,2.4577053,2.5371273
99,-1.4911221,-1.3924458
100,-0.5917962,-0.8161192
101,1.1425313,1.14758
102,-0.94668806,-0.85637176
103,-0.2350312,-0.25828493
104,1.986223,1.8365579
105,-3.2057137,-2.9519117
106,2.9047506,2.9050581
107,-1.251527,-1.2493523
108,2.6071994,2.5803525
109,-0.9104506,-1.0248169
110,-1.199064,-1.1134946
111,2.5044594,2.5091672
112,3.056939,3.022239
113,3.9254904,3.8737319
114,-0.6194779,-0.5762025
115,1.5701462,1.4033623
116,-2.9289677,-2.9166825
117,-2.6998851,-2.4301975
118,-0.2877532,-0.28225362
119,-0.9117755,-0.76421845
120,2.4653983,2.3690677
121,-2.239087,-2.1579149
122,0.6908768,0.6180996
123,0.7297758,0.70527494
124,2.0602195,2.0751417
125,2.4557128,2.4605129
126,-0.82347554,-0.76900494
127,2.7335644,2.7398806
128,-3.0645118,-3.0339496
129,2.7606192,2.7638457
130,1.3852539,1.3448594
131,-2.5746987,-2.4024432
132,-0.9791212,-0.99090755
133,2.99027,2.9882095
134,0.8517493,0.80003554
135,-1.554967,-1.6467963
136,1.5545748,1.649158
137,0.69236666,0.6938227
138,-2.4482412,-2.3470004
139,-0.83230853,-0.9015732
140,-0.98052144,-0.9754628
141,2.5423625,2.5307343
142,-2.9904819,-2.9166825
143,2.4003468,2.481307
144,1.046782,1.0182371
145,-0.34375244,-0.49888662
146,-0.8329652,-0.73467505
147,1.5697414,1.450098
148,-0.25483245,-0.24241552
149,1.4472604,1.2801859
150,3.4563184,3.4235675
151,1.517101,1.5046265
152,-3.0351698,-3.0325797
153,-2.7643147,-2.9519117
154,-3.1297536,-3.0585434
155,-3.6091855,-3.4313705
156,-2.5752604,-2.514421
157,2.7187235,2.6925514
158,0.29271027,0.3464081
159,0.083838545,0.07041678
160,2.315194,2.2833297
161,1.2093761,1.1492107
162,-0.49697867,-0.5272356
163,2.098386,2.0644236
164,-1.0916803,-1.1519567
165,2.8240685,2.82397
166,2.7187443,2.7427285
167,-2.7734284,-2.5159028
168,2.4096465,2.4121535
169,-1.4595431,-1.4696193
170,-3.9903398,-3.8844125
