,True,Predicted
0,-3.0355012,-2.8550184
1,1.66967,1.7888637
2,4.277596,4.2403646
3,-2.5746987,-2.5542495
4,2.4190812,2.3957715
5,1.3852539,1.3832474
6,0.29271027,0.27333713
7,-2.1462529,-2.1371262
8,-1.0916803,-1.2242641
9,-0.49697867,-0.6364579
10,2.928569,2.9580312
11,0.083838545,-0.018309372
12,-3.6091855,-3.374404
13,3.1312842,3.0377765
14,-1.1340619,-1.1976678
15,-0.18835837,-0.27812985
16,0.69012815,0.6985162
17,4.09586,3.948201
18,2.7186155,2.6609755
19,-1.4595431,-1.3972948
20,2.7187443,2.7380824
21,-1.2037956,-1.0024421
22,-2.1890168,-2.4940202
23,1.1078017,1.1160086
24,2.255398,2.2327275
25,2.351948,2.3691483
26,0.8014838,0.88121086
27,2.504283,2.3420696
28,2.4577053,2.4418173
29,-1.7309209,-1.7501652
30,-0.20224304,-0.17924415
31,0.36368948,0.37857252
32,-0.8973652,-0.7751432
33,1.986223,1.8862436
34,3.9454494,3.9292374
35,2.7335644,2.76542
36,-2.7741487,-2.7340136
37,1.517101,1.5123131
38,-0.5917962,-0.78196806
39,-0.6046024,-0.54827756
40,-3.1081905,-3.1145554
41,2.7473905,2.7096834
42,-1.1480671,-1.0380981
43,-0.9117755,-0.72501415
44,1.5821241,1.5943209
45,1.9349568,2.0745318
46,-0.7270637,-0.69671565
47,1.8641264,1.8709028
48,-3.0645118,-3.0953608
49,-2.7643147,-2.9711404
50,-3.2057137,-2.9711404
51,-1.0503061,-0.9952491
52,0.699027,0.7309143
53,1.5697414,1.5015434
54,0.3097484,0.31491062
55,0.7837875,0.83155996
56,-1.0090503,-1.1081221
57,1.6680876,1.5828972
58,-2.1465287,-2.2141898
59,2.4653983,2.4389243
60,0.8517493,0.8394735
61,0.53686434,0.5105712
62,-1.5579652,-1.4894705
63,-1.2027427,-1.2287498
64,1.2093761,1.1836278
65,3.014038,3.0130928
66,3.4563184,3.3440118
67,2.2874353,2.2784743
68,0.2738017,0.3463278
69,2.4066913,2.324029
70,-2.6998851,-2.606427
71,1.1425313,1.1877873
72,-1.1262482,-1.1329894
73,-1.0307723,-1.0248766
74,-1.2162819,-1.0339737
75,2.3926537,2.2324033
76,-0.68184316,-0.7227196
77,2.7410767,2.893516
78,-0.93794495,-1.0020101
79,2.733142,2.7128286
80,-2.1132746,-2.0945048
81,-3.058314,-3.0278287
82,-1.1911318,-1.1230581
83,0.8633252,1.0218954
84,2.99027,2.8721986
85,1.8260599,1.7622037
86,-2.9289677,-2.98342
87,1.4472604,1.3669007
88,0.047792643,0.23223114
89,-2.5752604,-2.5796847
90,1.8273517,1.866087
91,-0.34375244,-0.50089115
92,0.9636653,0.8835928
93,1.5653344,1.5702295
94,3.056939,3.0711293
95,2.5044594,2.5318618
96,2.6268535,2.3258917
97,2.4096465,2.385276
98,2.5423625,2.533451
99,3.9254904,3.9088013
100,-0.85879177,-0.7151457
101,2.0797753,2.0433865
102,-2.040858,-1.9381614
103,-1.554967,-1.7059422
104,-2.948876,-3.0273356
105,-2.3280823,-2.279154
106,-1.199064,-1.1338073
107,2.4003959,2.4303262
108,-0.9791212,-1.0068142
109,-0.9104506,-1.1628008
110,2.9047506,2.7320642
111,-0.82347554,-0.7753703
112,-0.8618832,-0.9678028
113,1.5701462,1.483616
114,2.0602195,2.093369
115,0.7218281,0.6230646
116,2.7187235,2.7066038
117,-0.8329652,-0.6376944
118,-0.2350312,-0.27915376
119,2.9051545,2.930481
120,2.5498176,2.5939214
121,-0.2877532,-0.32180244
122,-2.239087,-2.2141898
123,1.865093,1.8888935
124,2.6071994,2.6352785
125,-0.45270398,-0.39042047
126,1.1307064,1.183252
127,-0.8136765,-0.8116174
128,1.7545516,1.757459
129,-2.9226296,-2.8028433
130,2.145514,2.2818027
131,-2.6478698,-2.8550184
132,-2.0125043,-1.9394312
133,-0.8537424,-0.94598454
134,2.315194,2.1541414
135,-0.87008786,-0.88874644
136,2.8772645,2.7650664
137,-3.0351698,-3.0486393
138,-0.83230853,-0.828503
139,-2.113416,-2.0418267
140,0.6908768,0.70054984
141,-2.7734284,-2.4940202
142,3.694084,3.6837144
143,2.1724248,2.3492827
144,-0.25483245,-0.20265882
145,-3.128912,-3.1285691
146,-0.7873491,-0.7110148
147,2.7386258,2.7007666
148,0.69236666,0.67260766
149,2.2804894,2.3428178
150,-3.1080682,-3.0273356
151,-2.6996982,-2.7115355
152,1.7051699,1.724958
153,2.098386,2.0837913
154,-0.98052144,-1.0641263
155,-0.6194779,-0.48741564
156,0.6963436,0.6849011
157,1.7973558,1.9827412
158,-1.96075,-2.0418267
159,0.21571988,0.21494879
160,-2.9904819,-2.98342
161,-0.94668806,-0.9342424
162,0.9620621,1.0069147
163,1.9336103,2.1109388
164,-1.4911221,-1.3941333
165,-3.9903398,-3.8731184
166,1.7429026,1.7487179
167,1.046782,1.0070943
168,3.4995763,3.4762785
169,0.9521436,0.87728256
170,0.5851972,0.6494376
