,True,Predicted
0,3.694084,3.4954083
1,2.4066913,1.6771791
2,-0.8618832,-0.7568637
3,2.8772645,3.1091633
4,1.046782,0.9390388
5,4.09586,3.3193693
6,0.6878886,0.89346254
7,2.4557128,2.6416216
8,3.4995763,2.2203786
9,-2.6996982,-2.7828574
10,1.1427735,0.75325143
11,-1.1911318,-0.8713739
12,-2.9289677,-2.9125688
13,2.2804894,2.0960233
14,2.1724248,1.8914295
15,-0.87008786,-1.1598163
16,2.5498176,2.4442666
17,-0.82347554,-0.8498991
18,-3.0645118,-3.0381632
19,0.047792643,-0.353379
20,0.3097484,0.7619198
21,0.8014838,0.90239465
22,-1.199064,-0.53460395
23,-0.2350312,0.13695945
24,-1.1262482,-0.79825974
25,-0.25483245,-0.4026678
26,-2.2219706,-2.5072737
27,0.7837875,0.720001
28,-3.058314,-3.0763493
29,-1.2162819,-1.2088449
30,-1.4595431,-1.4892685
31,-2.5746987,-2.1644666
32,-0.49697867,-0.35760146
33,0.9253347,1.0875301
34,1.4472604,1.4890134
35,1.8260599,1.4530113
36,-1.0284339,-1.8529809
37,-0.2877532,-0.6609866
38,-2.6998851,-2.5072737
39,2.9047506,2.9217546
40,2.8240685,2.6539538
41,-1.5579652,-1.0838739
42,1.8273517,1.4947592
43,-3.0355012,-3.0187404
44,2.4096465,1.7281637
45,0.083838545,0.23840766
46,0.7218281,0.38064402
47,0.68906456,0.7614231
48,-0.9117755,0.038174916
49,1.0953189,1.143167
50,0.2738017,0.2544078
51,-2.0183318,-2.3645954
52,-2.9226296,-3.1380765
53,2.2874353,1.767347
54,-2.3280823,-2.4838305
55,1.4495966,1.4914205
56,3.014038,2.4692717
57,-1.2037956,-0.17345206
58,-2.7643147,-3.161253
59,-0.8537424,-0.042889547
60,2.4577053,1.85973
61,3.4563184,3.250592
62,1.517101,1.615489
63,-0.6046024,0.053195838
64,1.5821241,1.7659161
65,-1.1480671,-0.92271703
66,2.7472343,2.2188373
67,2.7473905,2.4296637
68,1.5545748,1.6507425
69,-0.5917962,-1.020558
70,-2.4450452,-2.3645954
71,0.21571988,0.20925601
72,-0.93794495,-1.0536532
73,0.36368948,0.53374326
74,2.5557153,3.0107744
75,-3.2057137,-3.161253
76,0.9636653,0.8714318
77,2.7606192,2.55558
78,-0.98052144,-0.9729037
79,1.3852539,1.4588128
80,-2.7734284,-2.2696834
81,2.7187235,2.6451092
82,1.8641264,1.7314799
83,2.098386,2.8174763
84,1.0677968,0.94497365
85,0.9620621,0.9001788
86,0.53686434,0.52250063
87,-1.1340619,-0.944503
88,2.2403934,2.263247
89,-0.18835837,0.5094428
90,-1.251527,-1.2347944
91,-3.1297536,-3.0763493
92,-0.8136765,-0.50510174
93,0.7297758,0.8075788
94,0.6963436,0.868
95,1.2093761,1.1800693
96,-3.0351698,-2.9615264
97,-1.0090503,-0.7624416
98,2.7386258,2.5854433
99,-0.8329652,0.38083503
100,2.7410767,3.026758
101,1.7545516,2.082398
102,1.7973558,1.8213241
103,-2.7741487,-2.610757
104,-1.0307723,-1.33968
105,2.4003959,2.5458407
106,1.865093,1.9962775
107,-0.45270398,-0.035272297
108,-0.6194779,-0.63859165
109,0.29271027,0.53521615
110,-1.0503061,-0.3280469
111,-3.131796,-3.301365
112,1.1307064,1.3972983
113,-0.34375244,0.041698117
114,3.109514,2.2894652
115,2.8180585,1.8970132
116,-2.948876,-2.9326005
117,2.4597647,2.4774222
118,1.66967,1.8354399
119,2.0797753,2.2957826
120,-0.81954753,-0.3119277
121,1.5697414,1.3410387
122,-0.9791212,-0.39688087
123,2.5506315,2.3410215
124,2.351948,2.2650607
125,-0.83230853,0.26517087
126,2.4190812,2.6356487
127,0.6908768,0.7651497
128,2.5423625,2.5096323
129,0.944076,0.8427869
130,-2.1890168,-2.2696834
131,3.9454494,4.008059
132,2.733142,2.373385
133,-2.9904819,-2.9125688
134,-0.7270637,-0.101262406
135,-1.4911221,-1.2413461
136,-2.1462529,-2.3396933
137,1.7051699,1.796206
138,1.986223,1.8329206
139,-0.5819225,-0.34969312
140,2.255398,2.018095
141,-1.2027427,-1.176632
142,-3.9903398,-3.371745
143,-3.128912,-3.1524744
144,1.0373034,1.2379024
145,-2.113416,-1.5823146
146,-0.20224304,-0.08466308
147,-2.5752604,-2.3005934
148,1.5653344,1.3656917
149,3.1377187,2.074854
150,-1.96075,-1.5823146
151,0.69012815,1.1279805
152,1.6680876,1.543833
153,1.1425313,1.0501201
154,3.9254904,3.9853659
155,-2.0125043,-2.2327523
156,-1.0916803,-0.5748935
157,2.7335644,2.4592428
158,-0.94668806,0.07393311
159,3.056939,3.1710753
160,2.504283,2.590674
161,2.7187443,1.3220296
162,2.9051545,1.2129452
163,2.268792,2.7804809
164,2.221412,2.2886386
165,2.7186155,1.1392784
166,-2.239087,-2.5199175
167,-2.040858,-2.076387
168,0.699027,0.68265873
169,2.8597302,2.564858
170,-1.7484865,-2.3726244
