,True,Predicted
0,1.8273517,1.6601573
1,-1.1262482,-1.9064547
2,2.098386,2.0091786
3,-3.6091855,-3.570785
4,0.8517493,0.81682503
5,0.7218281,0.01687844
6,-0.7873491,-0.83544827
7,-0.9104506,-0.9989914
8,-0.81954753,-0.58342206
9,2.6071994,2.6562555
10,-0.9791212,-0.83544827
11,0.6908768,0.6396977
12,0.36368948,0.32767227
13,2.4577053,2.771514
14,1.0677968,0.96897095
15,2.0602195,2.1295035
16,-2.1890168,-2.5909083
17,-1.0307723,-0.9770163
18,-2.0125043,-1.5021652
19,2.9051545,2.8038228
20,-0.25483245,0.010763399
21,-3.0645118,-2.355009
22,3.9254904,3.474096
23,2.8180585,3.115857
24,-1.4911221,-1.2564391
25,1.5545748,1.7333199
26,1.0373034,1.0903729
27,-1.7484865,-1.3567165
28,-3.131796,-3.0761573
29,3.014038,2.604503
30,-3.1297536,-3.05532
31,-1.7309209,-1.3567165
32,3.694084,3.572107
33,-1.1911318,-1.5021652
34,2.2403934,2.604503
35,-2.7643147,-2.355009
36,-0.8136765,-0.83544827
37,2.7335644,2.5426385
38,-0.5917962,-0.90967256
39,2.0797753,2.0091786
40,2.4190812,2.3488443
41,0.047792643,0.49139678
42,2.9047506,2.7911658
43,0.68906456,0.6396977
44,-0.83230853,-0.2835364
45,-0.34375244,-0.44778857
46,-0.6046024,-0.77387774
47,-2.7734284,-2.5909083
48,-0.8618832,-0.54808795
49,0.9253347,0.04970763
50,-2.1465287,-2.1906834
51,2.4557128,2.3684804
52,-1.5579652,-1.5729629
53,-0.8537424,-0.77387774
54,2.7473905,2.5426385
55,1.3855307,1.3068584
56,0.2738017,0.81682503
57,3.4563184,3.572107
58,-2.3280823,-1.4255065
59,-1.2037956,-0.44778857
60,-2.948876,-2.9601567
61,2.5044594,2.4900775
62,2.4003959,2.4921825
63,0.5851972,0.8381969
64,1.1427735,0.49139678
65,0.69236666,0.70973253
66,2.5498176,2.5326965
67,2.315194,2.1432555
68,0.7837875,0.96897095
69,-1.1340619,-1.542008
70,0.9620621,0.81682503
71,2.7186155,2.8038228
72,1.8260599,1.6601573
73,1.6680876,1.5965271
74,1.9336103,2.4900775
75,-1.2162819,-0.90967256
76,-0.18835837,-0.2835364
77,2.268792,2.2849073
78,1.986223,1.7333199
79,-1.2027427,-2.3596306
80,1.8641264,2.094621
81,2.7472343,2.581291
82,-0.49697867,-1.4255065
83,0.8633252,1.2419457
84,-0.20224304,-0.36256257
85,0.699027,0.70973253
86,2.8597302,2.4900775
87,0.3097484,0.3322272
88,2.8772645,2.9067185
89,0.083838545,-0.44778857
90,1.4472604,1.357936
91,-2.113416,-2.0662212
92,2.255398,2.1432555
93,2.8240685,2.888855
94,-0.9117755,-0.9989914
95,1.5653344,1.6601573
96,-0.8329652,-0.2835364
97,-3.9903398,-3.570785
98,2.4096465,2.581291
99,-3.0355012,-2.3596306
100,2.351948,2.561319
101,-0.94668806,0.04970763
102,-0.87008786,-1.6793069
103,-1.251527,-2.355009
104,1.4495966,1.357936
105,2.2874353,2.295946
106,-0.82347554,0.01687844
107,3.1377187,2.771514
108,2.5423625,2.5617225
109,1.5701462,1.2419457
110,2.7187235,2.6562555
111,-3.0351698,-2.3596306
112,0.6878886,0.6396977
113,-2.6996982,-1.8078147
114,1.2093761,1.0903729
115,0.8014838,0.8381969
116,-0.98052144,-1.8078147
117,2.4548166,2.3684804
118,0.53686434,-0.2835364
119,4.277596,4.0306997
120,-1.0090503,-1.2564391
121,0.9521436,0.96897095
122,1.7429026,1.7333199
123,-0.45270398,-0.58342206
124,-2.9904819,-2.937142
125,2.99027,3.474096
126,3.1312842,2.9891157
127,-2.040858,-1.542008
128,-0.7270637,-0.698182
129,2.5506315,2.5617225
130,1.66967,1.7333199
131,-1.0284339,-0.9770163
132,2.7410767,2.9891157
133,0.9636653,0.81682503
134,2.504283,2.4900775
135,-2.239087,-2.1906834
136,-2.225886,-1.9064547
137,-2.9289677,-2.937142
138,2.4597647,2.581291
139,0.6963436,0.70973253
140,-3.058314,-3.05532
141,-0.6194779,-1.3567165
142,3.109514,3.1318526
143,-2.4482412,-1.6793069
144,-3.1319482,-3.0761573
145,-2.0183318,-1.6793069
146,1.7545516,2.0091786
147,1.046782,0.8381969
148,-3.1080682,-2.9601567
149,1.9349568,2.3684804
150,2.4003468,2.5426385
151,1.1307064,1.357936
152,-0.2877532,-0.54808795
153,0.69012815,0.70973253
154,3.4995763,3.115857
155,1.517101,1.5273527
156,2.7386258,1.9238074
157,1.0953189,1.9238074
158,2.7606192,2.7911658
159,2.5557153,2.3684804
160,3.9454494,3.890893
161,-2.5752604,-1.9064547
162,2.928569,2.888855
163,2.7187443,2.8038228
164,1.3852539,1.3068584
165,1.7973558,2.1432555
166,2.3926537,2.094621
167,-2.7741487,-2.5909083
168,2.4653983,2.5426385
169,2.221412,2.0946214
170,-1.0503061,-0.9989908
