,True,Predicted
0,-0.17797972,-0.12568027
1,0.6165787,0.55801994
2,-1.8414855,-2.0201871
3,-2.5692348,-2.5872114
4,-1.2798151,-1.2658786
5,-0.37109604,-0.3785002
6,-0.9353313,-0.86910516
7,3.0925553,3.1370907
8,3.9813755,3.9666548
9,-0.2973292,-0.22616461
10,2.3162398,2.3627148
11,0.667489,0.6138107
12,2.5019171,2.4950378
13,2.544149,2.5542252
14,-2.2482276,-2.0201871
15,2.4477668,2.346045
16,2.8053138,2.7338054
17,-1.1713144,-1.2561682
18,1.312863,1.3424305
19,-0.5147283,-0.4672109
20,-0.0023915188,-0.026562281
21,-1.9758362,-1.6743908
22,0.35892117,0.44041616
23,4.640027,4.5859194
24,2.4467988,2.4618595
25,2.7421772,2.6907628
26,-2.5835617,-2.4942276
27,4.7335343,4.5941014
28,4.306297,4.2933555
29,1.9972795,1.9069085
30,-0.011957545,-0.012640797
31,3.9803622,4.102767
32,3.3044837,3.1874495
33,1.7384604,1.8586227
34,-0.010757115,0.0046040714
35,-2.1841574,-2.2422132
36,-1.2795345,-1.1694695
37,3.1975863,3.248824
38,0.1873747,0.14509414
39,2.4473243,2.4058523
40,-1.8629857,-1.7915034
41,2.3357158,2.3117595
42,-1.8786076,-1.836836
43,4.9700346,4.8171573
44,2.841342,2.864248
45,3.528029,3.404072
46,-2.5302107,-2.5292196
47,3.5906103,3.6044364
48,3.9032156,3.8259919
49,-1.3702097,-1.2890996
50,-2.611759,-2.6294339
51,1.5614332,1.5242068
52,-2.6117907,-2.68913
53,2.6472402,2.6233335
54,-2.4447107,-2.4206953
55,-1.6147048,-1.572174
56,0.38968176,0.41926402
57,-0.7611642,-0.7068018
58,1.8198978,1.8360893
59,0.26842973,0.20956661
60,1.6841617,1.6743473
61,2.9331467,2.943953
62,-1.2432812,-1.3897034
63,-2.5304341,-2.4970667
64,-0.55868715,-0.5091583
65,4.5049963,4.5490108
66,0.53074646,0.4931216
67,0.9428902,0.92676157
68,-1.0338299,-1.0021889
69,0.5154469,0.52358633
70,2.7193856,2.7194097
71,-1.3212419,-1.2393005
72,2.610799,2.6155994
73,-2.39967,-2.4942276
74,0.5280129,0.5808205
75,0.09006576,0.06766326
76,-2.4482331,-2.4970667
77,4.445582,4.434011
78,2.6047375,2.576709
79,-2.185352,-2.2045093
80,1.3343527,1.3454784
81,3.442185,3.4613066
82,4.900499,4.8140903
83,2.2370794,2.2010398
84,-2.5447235,-2.5127676
85,2.4086776,2.385789
86,-2.5439987,-2.6313026
87,-0.008995926,0.014899366
88,2.9171424,2.9289916
89,-1.3213365,-1.6743908
90,1.3122227,1.3149792
91,0.38575652,0.3629706
92,4.503928,4.5336194
93,0.974417,0.96904033
94,-2.291299,-2.2422132
95,1.15301,1.1642481
96,1.8222003,1.847093
97,-2.7825959,-2.68913
98,0.14378321,0.15081137
99,1.2706239,1.2082132
100,-1.4141561,-1.4097041
101,0.5438603,0.55308026
102,-2.4047902,-2.3964572
103,0.3151484,0.27026483
104,0.5444837,0.56159073
105,4.3058157,4.2623076
106,3.2040594,3.1030169
107,0.20367153,0.19652167
108,0.75037086,0.72312504
109,1.0298942,1.0236455
110,-2.3989296,-2.3748217
111,4.5710964,4.5758414
112,0.5030948,0.4900127
113,-1.9764159,-1.9572698
114,4.4804,4.471008
115,2.481847,2.4983654
116,-1.5525393,-1.3897034
117,-0.4771263,-0.47423023
118,3.7134767,3.698443
119,1.4399711,1.4101812
120,-0.3484815,-0.34750953
121,1.4222748,1.4142305
122,-0.42164984,-0.42831594
123,-2.2662444,-2.2020059
124,1.6496295,1.650494
125,4.6400185,4.6189857
126,-2.681968,-2.5915704
127,4.71016,4.7538056
128,4.5011,4.50713
129,3.622721,3.6633394
130,3.6560166,3.6415162
131,4.220839,4.233742
132,2.3188694,2.3470721
133,1.4013036,1.5509106
134,1.996969,1.8937474
135,-1.6845698,-1.6285435
136,2.328857,2.3210897
137,0.5453756,0.5877193
138,-1.0430765,-1.1694695
139,3.6740263,3.679586
140,-2.5445151,-2.5209022
141,2.2592285,2.2829144
142,1.4312304,1.428109
143,-1.5520488,-1.5817538
144,-0.24151857,-0.1988681
145,-1.4990056,-1.5930635
146,1.3113506,1.2605139
147,0.03057698,-0.0013680905
