,True,Predicted
0,-2.4447107,-2.4205012
1,4.220839,4.233386
2,2.4467988,2.3134108
3,0.5444837,0.57341236
4,-1.5525393,-1.3809842
5,-0.008995926,0.0019312128
6,-2.5302107,-2.5144782
7,4.5049963,4.525286
8,0.75037086,0.6574678
9,3.5906103,3.5929756
10,-0.010757115,0.00017907843
11,-0.24151857,-0.07377106
12,3.7134767,3.7240205
13,1.3122227,1.3527015
14,3.6787097,3.5844765
15,4.9700346,4.8633423
16,0.42696354,0.515261
17,-1.4990056,-1.5899783
18,4.7335343,4.5623116
19,0.7162562,0.6831609
20,0.667489,0.7004028
21,4.306297,4.278035
22,2.5019171,2.5347285
23,-0.37109604,-0.43121624
24,-2.1841574,-2.2100503
25,1.6496295,1.6512469
26,-0.17797972,-0.104877785
27,0.53074646,0.5405492
28,2.9331467,2.9074464
29,-2.6117907,-2.6527123
30,1.9316304,1.905115
31,0.103701726,0.15394191
32,3.0984068,3.0299335
33,-2.5299685,-2.5154095
34,-2.291299,-2.2100503
35,0.67980355,0.7021273
36,1.15301,1.1311296
37,4.424884,4.379108
38,0.5030948,0.45583814
39,1.1889555,1.2092797
40,1.5614332,1.4087945
41,1.9912937,1.9819733
42,-1.4141561,-1.4207083
43,-1.0338299,-1.018124
44,-2.681968,-2.5949163
45,-1.3213365,-1.6750091
46,0.26842973,0.2870505
47,3.9813755,3.9674776
48,2.4477668,2.3896542
49,-1.3212419,-1.2217292
50,3.3044837,3.0455017
51,-1.8414855,-2.0409722
52,-2.2662444,-2.1230907
53,4.503928,4.540658
54,2.4086776,2.3496943
55,2.501912,2.4820147
56,-2.4044023,-2.40339
57,-1.1713144,-1.2646884
58,2.6047375,2.51919
59,4.640027,4.5547433
60,-1.5520488,-1.5212153
61,-2.7825959,-2.6527123
62,2.6472402,2.5985088
63,0.14271006,0.1123333
64,-1.9764159,-1.9360322
65,3.6740263,3.6467242
66,-1.9758362,-1.6750091
67,1.6841617,1.6960446
68,-1.8629857,-1.7183292
69,-1.2432812,-1.3809842
70,0.398766,0.3504925
71,2.9171424,2.8896317
72,0.35892117,0.50651073
73,1.7387248,1.8956834
74,1.4425538,1.3914224
75,3.9803622,4.0954294
76,2.7421772,2.5996573
77,2.4323952,2.4848151
78,0.3151484,0.29278573
79,0.5438603,0.50330114
80,4.5710964,4.557972
81,1.8198978,1.8204193
82,-0.3484815,-0.31212407
83,0.03057698,0.033870347
84,2.841342,2.7317562
85,1.7384604,1.8352333
86,-0.2973292,-0.23182352
87,-2.5694666,-2.4253426
88,-1.4424175,-1.32531
89,1.1897618,1.2262101
90,4.900499,4.8448124
91,-1.7838283,-2.0745587
92,2.3357158,2.2865615
93,1.0298942,0.9910743
94,-2.310134,-2.4253426
95,-2.4047902,-2.0745587
96,0.20367153,0.17533901
97,-1.2798151,-1.2482673
98,2.328857,2.3236501
99,4.445582,4.403922
100,0.5154469,0.4650005
101,-0.5147283,-0.4723469
102,3.442185,3.4469705
103,4.5011,4.5044546
104,0.09006576,0.0878725
105,-2.611759,-2.628645
106,-2.5835617,-2.4803743
107,0.55836695,0.5355364
108,2.544149,2.5059295
109,3.3916297,3.4550672
110,-2.5447235,-2.5264044
111,3.9032156,3.869067
112,3.320002,3.2975934
113,1.3343527,1.3181051
114,1.4399711,1.4605883
115,2.2592285,2.2399693
116,-0.7611642,-0.6557443
117,0.1873747,0.14136899
118,1.8222003,1.8576556
119,3.479979,3.4431748
120,-2.2482276,-2.0409722
121,-2.5304341,-2.4896433
122,4.6400185,4.6442757
123,-2.39967,-2.4803743
124,-0.42164984,-0.52227294
125,2.4473243,2.4089808
126,-1.6147048,-1.5724531
127,1.4222748,1.4623332
128,4.3058157,4.2827425
129,0.14378321,0.21489538
130,-2.5445151,-2.5556765
131,-0.4771263,-0.43019256
132,-2.4482331,-2.4896433
133,4.5701632,4.5749216
134,0.974417,0.92184895
135,0.38968176,0.39501882
136,-2.5692348,-2.6218152
137,-2.185352,-2.217772
138,-1.2795345,-1.3072389
139,-2.247983,-2.2201352
140,0.5453756,0.5260944
141,2.7193856,2.6171877
142,2.481847,2.570613
143,-2.3989296,-2.3881636
144,-0.55868715,-0.46113992
145,-0.011957545,-0.0095837
146,-2.5439987,-2.558816
147,-0.9353313,-0.96746796
