,True,Predicted
0,0.9428902,0.5904009
1,0.67980355,0.60987276
2,4.445582,4.5032125
3,3.0606089,3.0991297
4,0.14378321,0.15234487
5,-2.4044023,-2.4079757
6,-1.4424175,-0.69228774
7,2.6472402,2.5108025
8,1.8198978,1.5050051
9,4.5701632,4.4946856
10,0.42696354,-0.009743978
11,3.6787097,3.475264
12,4.6400185,4.481611
13,-2.3989296,-2.3588371
14,-1.5525393,-1.3733052
15,-2.681968,-1.7108271
16,1.9912937,2.1436808
17,1.2706239,1.6282626
18,-2.4047902,-2.35075
19,2.2370794,1.9990891
20,-2.5835617,-2.4126449
21,0.5444837,0.5620146
22,-2.5447235,-2.2830625
23,0.03057698,0.02844299
24,2.7421772,2.604972
25,0.35892117,0.35507378
26,4.220839,3.780864
27,4.9700346,4.800815
28,1.7387248,2.0970392
29,-1.9758362,-1.6715884
30,0.5030948,0.44359577
31,1.9972795,1.9626418
32,3.9813755,3.591219
33,0.667489,0.6404887
34,1.4222748,1.5775554
35,1.1889555,1.1653267
36,-1.4990056,-1.5988189
37,1.8222003,1.5127648
38,-2.5692348,-2.6350322
39,-2.611759,-2.484794
40,2.5019171,2.573491
41,3.7134767,3.144908
42,0.5154469,1.3016009
43,0.75037086,0.61385447
44,2.328857,1.8456969
45,3.3044837,2.8482163
46,-2.5439987,-2.4741802
47,2.5341547,3.0689158
48,1.15301,1.4282092
49,0.38575652,0.08738773
50,-1.3213365,-1.6715884
51,-1.3212419,-1.3438796
52,2.610799,2.471521
53,-0.4771263,-0.39756694
54,0.1873747,0.2810854
55,2.3162398,1.780244
56,3.0984068,3.0991755
57,1.3343527,1.3363215
58,0.974417,1.2384899
59,-1.2798151,-1.3191825
60,3.479979,3.5858593
61,-0.42164984,-0.5471279
62,1.0298942,0.9003188
63,1.6841617,1.7415619
64,-1.4141561,-1.4277307
65,3.528029,3.5949612
66,-1.2795345,-1.267016
67,-1.0338299,-1.0311428
68,-0.5147283,-0.7141269
69,2.2592285,1.9960519
70,4.7335343,4.101475
71,0.5438603,0.47060636
72,0.5295391,0.7435464
73,4.424884,4.460236
74,4.5710964,4.0058794
75,3.6560166,3.5984983
76,0.5280129,0.74263364
77,-0.7611642,-0.43060103
78,2.481847,2.6572585
79,3.9803622,4.0243506
80,0.38968176,0.35245094
81,4.306297,4.2752166
82,-2.4447107,-2.2381933
83,-2.6132143,-2.6154332
84,2.4473243,2.3237329
85,1.312863,0.8971611
86,0.55836695,0.6279437
87,4.900499,4.633113
88,1.4013036,1.7693182
89,-0.24151857,-0.039452825
90,0.398766,0.24767001
91,4.71016,4.5461993
92,-1.2432812,-1.3733052
93,1.3113506,1.7725254
94,4.503928,4.654713
95,-0.3484815,0.033966523
96,-0.9353313,-0.3921991
97,-0.0023915188,0.044098835
98,1.6496295,1.7652096
99,1.4399711,1.4991742
100,3.3916297,3.3988187
101,-2.5445151,-2.5719943
102,-2.39967,-2.4126449
103,1.7384604,2.333034
104,-2.247983,-2.0966372
105,-1.0430765,-1.267016
106,2.3357158,2.2921822
107,2.6047375,2.5669007
108,3.5906103,3.602903
109,2.4467988,2.6229186
110,0.26842973,-0.0017092125
111,3.320002,3.2370625
112,0.103701726,0.1108425
113,-2.2662444,-2.285411
114,2.544149,2.5588593
115,-2.6117907,-2.5100064
116,-1.1713144,-1.5557599
117,4.4804,4.890161
118,2.9331467,2.7591004
119,-2.5302107,-2.549556
120,4.640027,4.478503
121,-1.9764159,-1.9340225
122,-2.291299,-2.289804
123,-0.008995926,0.037843864
124,1.9316304,1.8493875
125,-1.8640572,-1.5557599
126,0.14271006,0.14839695
127,1.4425538,1.4940575
128,1.9323151,2.249558
129,-1.6147048,-1.2844812
130,2.8053138,2.8089614
131,-0.55868715,-0.5624675
132,0.09006576,0.12502758
133,3.9032156,3.3475485
134,1.1897618,1.2107502
135,4.3058157,4.3032403
136,-2.310134,-2.7008348
137,0.53074646,0.6786786
138,-1.5520488,-1.6429895
139,2.4086776,2.1595967
140,4.5011,4.725085
141,-1.8786076,-1.5743885
142,0.20367153,0.16686015
143,4.5049963,4.338501
144,-2.7825959,-2.5100064
145,-1.3702097,-0.81727433
146,3.2040594,3.0952857
147,1.5614332,1.4839392
