,True,Predicted
0,-1.8640572,-1.1538616
1,1.4399711,1.3827287
2,2.9171424,2.715933
3,0.667489,0.288714
4,-2.4047902,-2.3928328
5,1.9972795,1.7390814
6,-0.9353313,-0.23306894
7,0.5030948,-0.5249147
8,-1.0234666,-0.9964579
9,2.2370794,2.2967596
10,2.7193856,2.715933
11,1.3122227,1.3827287
12,-1.9758362,-1.974805
13,3.0925553,3.2653422
14,2.6047375,2.552425
15,0.6165787,0.5293525
16,1.7387248,2.23612
17,4.445582,4.447733
18,0.9428902,0.64748985
19,-1.3212419,-1.265735
20,3.320002,3.335619
21,0.5444837,0.5293525
22,1.9316304,1.9782697
23,3.7134767,3.5872197
24,4.5011,4.5047383
25,4.424884,4.3220167
26,2.481847,2.4754171
27,4.3058157,4.3220167
28,0.5154469,0.47418773
29,-2.5447235,-2.450451
30,-1.9764159,-1.974805
31,1.6496295,1.3582972
32,-2.4447107,-2.4392543
33,0.35892117,0.46401227
34,-1.4424175,-0.5249147
35,-2.5692348,-2.4381256
36,1.1897618,1.3582972
37,3.6560166,4.1035757
38,2.3162398,2.3852806
39,3.5906103,3.5802264
40,-0.010757115,0.017272275
41,1.4013036,1.7390814
42,-0.42164984,-0.3105359
43,-0.2973292,-0.30435228
44,-2.291299,-2.245319
45,4.7335343,4.2488174
46,2.328857,1.8590455
47,2.8053138,2.7618454
48,-0.17797972,0.288714
49,0.38575652,-0.23306894
50,2.4467988,2.6667418
51,4.220839,4.2536097
52,2.9331467,2.8852496
53,0.3151484,0.18156758
54,2.3188694,2.3852806
55,-0.37109604,-1.1538616
56,0.67980355,0.6673197
57,-1.8786076,-1.7125591
58,2.6472402,2.511985
59,0.53074646,0.6673197
60,0.1873747,0.288714
61,-2.611759,-2.6874905
62,-2.5302107,-2.4939342
63,2.4477668,2.3852806
64,1.6841617,1.7605476
65,3.3916297,3.4593425
66,0.03057698,0.021229282
67,2.3357158,2.220879
68,-1.5520488,-1.4457275
69,1.7384604,2.23612
70,2.501912,2.511985
71,0.398766,0.288714
72,-0.55868715,-0.54349226
73,-1.8414855,-2.0456662
74,-0.3484815,-0.4160048
75,-1.2795345,-0.7729634
76,0.5295391,0.64748985
77,2.4473243,2.3852806
78,3.6740263,3.4593425
79,2.610799,2.5797057
80,3.0984068,2.23612
81,0.14378321,0.15001225
82,0.26842973,-0.624657
83,1.8198978,2.4268818
84,-2.4482331,-2.4939342
85,-1.6147048,-1.7125591
86,1.9323151,1.9782697
87,1.15301,1.1294774
88,4.4804,4.1035757
89,4.5049963,4.5047383
90,-0.5147283,-1.0135058
91,-2.310134,-2.4381256
92,1.1889555,1.3582972
93,0.42696354,0.50922465
94,2.544149,2.715933
95,4.640027,4.601281
96,-1.4990056,-2.0360062
97,1.0298942,0.6673197
98,-2.247983,-2.0456662
99,-1.2432812,-1.4457275
100,1.3113506,1.3827287
101,1.4425538,1.4361144
102,-2.7825959,-2.6874905
103,-0.0023915188,0.017272275
104,0.38968176,0.6673197
105,-0.24151857,-0.3105359
106,4.503928,4.5047383
107,-2.681968,-2.0360062
108,0.14271006,0.15001225
109,0.5280129,0.64748985
110,3.2040594,2.6667418
111,4.5701632,4.601281
112,4.306297,4.3220167
113,-1.4141561,-1.0135058
114,3.528029,3.2653422
115,-2.6132143,-2.6243684
116,3.1975863,3.2653422
117,2.4323952,2.6667418
118,-2.104757,-2.2051346
119,3.9813755,4.2488174
120,-0.011957545,0.017272275
121,4.6400185,4.601281
122,4.5710964,4.601281
123,-2.6117907,-2.6874905
124,4.900499,4.724611
125,2.4086776,2.2967596
126,0.5453756,0.5293525
127,0.55836695,0.64748985
128,1.8222003,1.849233
129,0.20367153,-0.7729634
130,2.5019171,2.511985
131,-2.4044023,-2.3928328
132,-2.5304341,-2.4939342
133,3.0606089,2.4268818
134,3.9803622,4.2488174
135,1.312863,1.3827287
136,2.5341547,2.6061764
137,1.4222748,1.8590455
138,-1.5525393,-1.4457275
139,1.996969,1.7390814
140,-1.3702097,-0.624657
141,0.09006576,0.15001225
142,-1.2798151,-0.7729634
143,-2.185352,-2.245319
144,0.103701726,0.15001225
145,3.442185,3.5872197
146,-2.5439987,-2.450451
147,-0.008995926,0.017272275
