,Loss
0,535.30206
1,483.74475
2,436.13437
3,392.7083
4,353.45923
5,318.2123
6,286.69714
7,258.60193
8,233.60799
9,211.40617
10,191.70396
11,174.22864
12,158.7291
13,144.97653
14,132.76436
15,121.9073
16,112.24039
17,103.61734
18,95.90934
19,89.00329
20,82.80033
21,77.2144
22,72.170784
23,67.60466
24,63.46001
25,59.68842
26,56.24799
27,53.102512
28,50.220592
29,47.57495
30,45.141838
31,42.900475
32,40.832615
33,38.922165
34,37.154877
35,35.518066
36,34.00041
37,32.59174
38,31.282919
39,30.065691
40,28.93258
41,27.876793
42,26.892132
43,25.972967
44,25.114143
45,24.310944
46,23.559042
47,22.854485
48,22.193615
49,21.573095
50,20.989855
51,20.441051
52,19.924082
53,19.436537
54,18.976223
55,18.541094
56,18.129267
57,17.739017
58,17.368748
59,17.016993
60,16.682396
61,16.363703
62,16.059769
63,15.769525
64,15.491998
65,15.226291
66,14.97156
67,14.727044
68,14.492034
69,14.265887
70,14.047992
71,13.837804
72,13.634798
73,13.438518
74,13.24852
75,13.064405
76,12.885805
77,12.712374
78,12.543799
79,12.379786
80,12.220069
81,12.064396
82,11.912538
83,11.764278
84,11.619426
85,11.477793
86,11.339215
87,11.203538
88,11.070609
89,10.940301
90,10.812484
91,10.68705
92,10.563882
93,10.442886
94,10.3239765
95,10.207054
96,10.092049
97,9.978884
98,9.867485
99,9.757796
100,9.649754
101,9.5433
102,9.438384
103,9.334958
104,9.232978
105,9.132397
106,9.033179
107,8.935285
108,8.838676
109,8.743328
110,8.649204
111,8.556277
112,8.464518
113,8.373903
114,8.284407
115,8.196006
116,8.108682
117,8.022409
118,7.937174
119,7.852951
120,7.7697253
121,7.6874847
122,7.606207
123,7.52588
124,7.4464855
125,7.368016
126,7.2904534
127,7.213782
128,7.1379952
129,7.063081
130,6.989024
131,6.9158125
132,6.8434405
133,6.7718906
134,6.701161
135,6.631235
136,6.5621047
137,6.4937615
138,6.426195
139,6.359401
140,6.293362
141,6.2280803
142,6.163537
143,6.0997276
144,6.036651
145,5.9742885
146,5.912639
147,5.851693
148,5.791441
149,5.73188
150,5.673001
151,5.614795
152,5.557256
153,5.500377
154,5.4441533
155,5.388575
156,5.333637
157,5.279334
158,5.2256575
159,5.1726017
160,5.120158
161,5.068325
162,5.0170913
163,4.9664545
164,4.916407
165,4.8669424
