,Loss
0,111.30815
1,103.691826
2,96.625694
3,90.0851
4,84.0244
5,78.39647
6,73.15946
7,68.27696
8,63.7189
9,59.46105
10,55.483555
11,51.76945
12,48.30356
13,45.071846
14,42.061016
15,39.25836
16,36.651665
17,34.22913
18,31.979408
19,29.891584
20,27.95522
21,26.160313
22,24.497341
23,22.957254
24,21.531479
25,20.211924
26,18.990929
27,17.861317
28,16.816334
29,15.84965
30,14.955356
31,14.127927
32,13.362218
33,12.653432
34,11.997125
35,11.389168
36,10.825734
37,10.3032875
38,9.8185625
39,9.368549
40,8.950471
41,8.561769
42,8.200092
43,7.863288
44,7.5493755
45,7.2565384
46,6.983108
47,6.7275615
48,6.4885025
49,6.264653
50,6.054842
51,5.8579974
52,5.6731367
53,5.499364
54,5.3358555
55,5.181857
56,5.036677
57,4.8996797
58,4.770287
59,4.6479607
60,4.532209
61,4.4225807
62,4.3186584
63,4.220059
64,4.126426
65,4.037435
66,3.9527807
67,3.872185
68,3.7953897
69,3.7221515
70,3.65225
71,3.5854788
72,3.5216446
73,3.46057
74,3.4020882
75,3.3460467
76,3.2923002
77,3.2407124
78,3.191163
79,3.1435323
80,3.0977104
81,3.0535977
82,3.0110989
83,2.9701238
84,2.9305897
85,2.8924212
86,2.8555424
87,2.8198864
88,2.7853887
89,2.7519913
90,2.719636
91,2.6882708
92,2.6578457
93,2.6283157
94,2.5996351
95,2.5717645
96,2.5446653
97,2.5183
98,2.4926357
99,2.4676394
100,2.4432826
101,2.419534
102,2.3963678
103,2.3737597
104,2.351685
105,2.3301206
106,2.3090458
107,2.2884398
108,2.2682848
109,2.248562
110,2.2292538
111,2.2103443
112,2.1918192
113,2.1736631
114,2.1558623
115,2.1384044
116,2.1212764
117,2.1044667
118,2.087964
119,2.0717585
120,2.055839
121,2.0401974
122,2.0248227
123,2.009708
124,1.994844
125,1.9802228
126,1.965837
127,1.9516801
128,1.9377449
129,1.9240242
130,1.9105123
131,1.8972026
132,1.8840907
133,1.8711694
134,1.8584343
135,1.8458806
136,1.8335029
137,1.8212966
138,1.8092575
139,1.797381
140,1.7856624
141,1.7740992
142,1.7626866
143,1.7514203
144,1.7402974
145,1.7293147
146,1.7184682
147,1.7077551
148,1.6971719
149,1.686716
150,1.676384
151,1.6661736
152,1.6560813
153,1.646105
154,1.6362422
155,1.6264899
156,1.6168456
157,1.6073079
158,1.5978733
159,1.5885403
160,1.5793061
161,1.5701694
162,1.5611278
163,1.5521791
164,1.5433214
165,1.5345536
166,1.525873
167,1.5172778
168,1.5087662
169,1.5003374
170,1.4919885
171,1.4837193
172,1.4755275
173,1.4674114
174,1.4593699
175,1.4514012
176,1.4435036
177,1.435677
178,1.4279193
179,1.4202287
180,1.4126049
181,1.405046
182,1.3975515
183,1.3901196
184,1.382749
185,1.3754396
186,1.3681897
187,1.360998
188,1.3538638
189,1.3467864
190,1.3397645
191,1.332797
192,1.3258835
193,1.319023
194,1.3122143
195,1.3054569
196,1.2987498
197,1.2920927
198,1.2854843
199,1.2789237
200,1.272411
201,1.2659444
202,1.2595237
203,1.2531486
204,1.2468187
205,1.240532
206,1.2342895
207,1.2280893
208,1.221932
209,1.2158161
210,1.2097417
211,1.203708
212,1.1977144
213,1.1917605
214,1.1858459
215,1.1799698
216,1.1741322
217,1.1683327
218,1.16257
219,1.1568451
220,1.1511557
221,1.1455034
222,1.1398869
223,1.1343054
224,1.1287589
225,1.1232476
226,1.1177706
227,1.1123276
228,1.1069183
229,1.1015425
230,1.0962002
231,1.0908899
232,1.0856127
233,1.0803677
234,1.0751544
235,1.0699728
236,1.064823
237,1.0597041
238,1.054616
239,1.0495588
240,1.0445323
241,1.0395355
242,1.0345689
243,1.0296319
244,1.0247245
245,1.0198466
246,1.0149978
247,1.0101779
248,1.0053868
249,1.0006242
250,0.99588984
251,0.9911837
252,0.98650557
253,0.9818553
254,0.9772327
255,0.972637
256,0.9680693
257,0.9635285
258,0.9590148
259,0.9545278
260,0.9500674
261,0.9456333
262,0.9412256
263,0.9368441
264,0.93248874
265,0.9281595
266,0.9238554
267,0.9195773
268,0.9153243
269,0.9110972
270,0.9068949
271,0.9027173
272,0.89856535
273,0.89443773
274,0.8903348
275,0.8862564
276,0.8822025
277,0.8781728
278,0.8741674
279,0.8701859
280,0.8662284
281,0.86229455
282,0.8583844
283,0.85449785
284,0.85063475
285,0.8467946
286,0.842978
287,0.83918405
288,0.8354136
289,0.83166564
290,0.82794017
