,Loss
0,43.748234
1,42.774902
2,41.817814
3,40.87853
4,39.957905
5,39.056274
6,38.173576
7,37.309586
8,36.46399
9,35.636425
10,34.826534
11,34.033962
12,33.25836
13,32.49942
14,31.756813
15,31.030256
16,30.319473
17,29.624186
18,28.944132
19,28.27905
20,27.6287
21,26.99283
22,26.371195
23,25.76355
24,25.169659
25,24.58928
26,24.022179
27,23.468115
28,22.926859
29,22.398176
30,21.88184
31,21.377598
32,20.885239
33,20.404537
34,19.935266
35,19.477198
36,19.03012
37,18.593805
38,18.16805
39,17.752623
40,17.34733
41,16.951956
42,16.566288
43,16.19013
44,15.823281
45,15.465538
46,15.116702
47,14.776584
48,14.444991
49,14.121736
50,13.806626
51,13.499488
52,13.200134
53,12.908392
54,12.6240835
55,12.347039
56,12.077089
57,11.814061
58,11.5578
59,11.308141
60,11.064923
61,10.827994
62,10.597201
63,10.372391
64,10.153422
65,9.9401455
66,9.732421
67,9.5301075
68,9.333071
69,9.141175
70,8.954292
71,8.772294
72,8.59505
73,8.42244
74,8.254342
75,8.090641
76,7.9312186
77,7.7759633
78,7.6247644
79,7.4775143
80,7.334103
81,7.194433
82,7.0583997
83,6.925906
84,6.796855
85,6.671157
86,6.548715
87,6.429443
88,6.31325
89,6.200054
90,6.089773
91,5.982325
92,5.87763
93,5.7756157
94,5.6762023
95,5.5793214
96,5.484902
97,5.392872
98,5.3031664
99,5.2157207
100,5.130471
101,5.047356
102,4.9663153
103,4.887291
104,4.810227
105,4.735067
106,4.66176
107,4.5902514
108,4.520492
109,4.452434
110,4.3860297
111,4.3212304
112,4.2579937
113,4.1962757
114,4.136034
115,4.0772276
116,4.019817
117,3.9637635
118,3.9090295
119,3.8555791
120,3.8033774
121,3.7523894
122,3.702583
123,3.6539245
124,3.6063836
125,3.5599291
126,3.5145342
127,3.470168
128,3.426804
129,3.3844147
130,3.3429744
131,3.3024585
132,3.2628417
133,3.2241
134,3.1862118
135,3.1491535
136,3.1129036
137,3.0774407
138,3.0427454
139,3.0087974
140,2.975576
141,2.9430647
142,2.9112444
143,2.8800972
144,2.8496058
145,2.8197541
146,2.7905254
147,2.7619047
148,2.7338762
149,2.7064247
150,2.6795359
151,2.6531959
152,2.6273916
153,2.6021085
154,2.577334
155,2.5530567
156,2.5292623
157,2.505941
158,2.4830794
159,2.4606676
160,2.438694
161,2.4171479
162,2.3960183
163,2.375295
164,2.3549695
165,2.33503
166,2.3154695
167,2.2962768
168,2.277443
169,2.2589598
170,2.2408214
171,2.223016
172,2.2055354
173,2.1883729
174,2.1715214
175,2.1549716
176,2.1387177
177,2.1227517
178,2.1070669
179,2.0916564
180,2.0765142
181,2.0616326
182,2.047006
183,2.0326276
184,2.0184925
185,2.0045938
186,1.9909259
187,1.977483
188,1.9642597
189,1.9512514
190,1.9384519
191,1.9258568
192,1.9134607
193,1.9012586
194,1.8892455
195,1.8774179
196,1.8657709
197,1.8542993
198,1.8429991
199,1.8318661
200,1.8208967
201,1.8100868
202,1.7994318
