,Loss
0,113.080986
1,98.24743
2,84.98346
3,73.32244
4,63.20304
5,54.505463
6,47.0784
7,40.76312
8,35.408485
9,30.877815
10,27.050533
11,23.82143
12,21.099014
13,18.804052
14,16.868275
15,15.233319
16,13.84968
17,12.675714
18,11.676601
19,10.823422
20,10.0922
21,9.463113
22,8.919741
23,8.44848
24,8.038001
25,7.678865
26,7.363148
27,7.084208
28,6.8364387
29,6.615107
30,6.416211
31,6.236371
32,6.0727253
33,5.92286
34,5.7847414
35,5.656653
36,5.5371556
37,5.4250407
38,5.319299
39,5.219084
40,5.1236887
41,5.0325246
42,4.9450974
43,4.8609967
44,4.779879
45,4.7014575
46,4.625488
47,4.5517664
48,4.4801216
49,4.410406
50,4.342497
51,4.2762823
52,4.2116704
53,4.14858
54,4.0869393
55,4.0266848
56,3.96776
57,3.9101136
58,3.853699
59,3.7984738
60,3.7443988
61,3.6914392
62,3.6395597
63,3.588729
64,3.5389178
65,3.490098
66,3.442243
67,3.3953254
68,3.349323
69,3.30421
70,3.2599664
71,3.2165692
72,3.1739967
73,3.13223
74,3.0912485
75,3.0510347
76,3.0115685
77,2.972834
78,2.9348116
79,2.8974855
80,2.8608408
81,2.8248596
82,2.7895277
83,2.75483
84,2.720752
85,2.687278
86,2.6543987
87,2.6220953
88,2.5903585
89,2.5591726
90,2.528529
91,2.4984128
92,2.468814
93,2.439719
94,2.411119
95,2.3830025
96,2.355359
97,2.3281791
98,2.3014517
99,2.2751682
100,2.2493172
101,2.2238927
102,2.1988835
103,2.1742814
104,2.1500785
105,2.126266
106,2.1028366
107,2.0797825
108,2.0570955
109,2.034769
110,2.0127945
111,1.9911673
112,1.9698766
113,1.9489214
114,1.9282917
115,1.9079823
116,1.8879871
117,1.8682994
118,1.8489145
119,1.8298258
120,1.8110286
121,1.7925181
122,1.7742877
123,1.7563342
124,1.7386519
125,1.7212348
126,1.7040795
127,1.6871822
128,1.6705368
129,1.6541404
130,1.6379889
131,1.6220765
132,1.606401
133,1.5909585
134,1.575744
135,1.5607564
136,1.5459882
137,1.5314397
138,1.5171058
139,1.5029832
140,1.4890697
141,1.4753615
142,1.4618543
143,1.4485484
144,1.4354374
145,1.4225208
146,1.4097942
147,1.397256
148,1.3849041
149,1.372734
150,1.3607445
151,1.3489333
152,1.3372974
153,1.3258344
154,1.3145427
155,1.3034196
156,1.292463
157,1.2816701
158,1.2710397
159,1.2605692
160,1.250256
161,1.2400997
162,1.2300967
163,1.2202463
164,1.2105457
165,1.2009932
166,1.1915866
167,1.1823251
