,Loss
0,610.22577
1,550.74207
2,495.52493
3,444.84882
4,398.73782
5,357.04147
6,319.5092
7,285.8491
8,255.76204
9,228.95483
10,205.1444
11,184.05917
12,165.44008
13,149.04135
14,134.63167
15,121.99463
16,110.92969
17,101.25216
18,92.79355
19,85.40116
20,78.9378
21,73.28104
22,68.322395
23,63.966454
24,60.129707
25,56.739628
26,53.73341
27,51.057056
28,48.66424
29,46.51545
30,44.576977
31,42.820225
32,41.22091
33,39.75847
34,38.415443
35,37.17705
36,36.030724
37,34.965763
38,33.973053
39,33.044754
40,32.174183
41,31.355495
42,30.583689
43,29.854376
44,29.16372
45,28.50834
46,27.885265
47,27.29185
48,26.72573
49,26.184797
50,25.667173
51,25.171135
52,24.695152
53,24.237816
54,23.797853
55,23.374111
56,22.965532
57,22.571148
58,22.190067
59,21.821474
60,21.464615
61,21.118805
62,20.783401
63,20.45781
64,20.141495
65,19.833942
66,19.534695
67,19.243315
68,18.95939
69,18.682552
70,18.412457
71,18.148777
72,17.891201
73,17.639465
74,17.393297
75,17.152458
76,16.916708
77,16.685843
78,16.45966
79,16.237972
80,16.020609
81,15.8074045
82,15.598203
83,15.392861
84,15.191243
85,14.993231
86,14.798695
87,14.607521
88,14.419617
89,14.234875
90,14.053207
91,13.874517
92,13.698725
93,13.525759
94,13.3555355
95,13.18799
96,13.023056
97,12.860666
98,12.700762
99,12.543295
100,12.3882
101,12.235431
102,12.08494
103,11.936674
104,11.790594
105,11.646657
106,11.504826
107,11.365054
108,11.227305
109,11.091544
110,10.957737
111,10.82585
112,10.695857
113,10.567718
114,10.441402
115,10.316889
116,10.194145
117,10.07314
118,9.953848
119,9.83625
120,9.72032
121,9.606017
122,9.493341
123,9.382253
124,9.272736
125,9.164763
126,9.058317
127,8.953379
128,8.849916
129,8.747915
130,8.647359
131,8.548217
132,8.450481
133,8.354129
134,8.259137
135,8.165489
136,8.073169
137,7.982155
138,7.8924317
139,7.8039765
140,7.7167783
141,7.630817
142,7.54607
143,7.462533
144,7.380179
145,7.298995
146,7.2189612
147,7.1400666
148,7.0622935
149,6.985625
150,6.910047
151,6.835542
152,6.762098
153,6.6897
154,6.618327
155,6.547971
156,6.478615
157,6.410244
158,6.3428445
159,6.276402
160,6.2109046
161,6.146335
162,6.082685
163,6.019938
164,5.9580793
165,5.897096
166,5.836979
167,5.7777123
168,5.7192845
169,5.661685
170,5.6048946
171,5.548909
172,5.493713
173,5.4392943
174,5.3856416
175,5.332743
176,5.280591
177,5.2291694
178,5.178471
179,5.1284814
180,5.0791926
181,5.030594
182,4.9826727
183,4.93542
184,4.8888235
185,4.8428807
186,4.7975717
187,4.7528915
188,4.708832
189,4.6653824
190,4.622532
191,4.580271
192,4.538596
193,4.497496
194,4.4569564
195,4.416972
196,4.377539
197,4.3386445
198,4.30028
199,4.2624397
200,4.2251115
201,4.1882915
202,4.151971
203,4.1161437
204,4.0807977
205,4.0459313
206,4.0115323
207,3.9775972
208,3.9441185
209,3.9110842
210,3.8784943
211,3.8463397
212,3.814612
213,3.7833066
214,3.7524157
215,3.721937
216,3.691858
217,3.6621768
218,3.632889
219,3.6039839
220,3.5754578
