,Loss
0,132.99998
1,124.70669
2,116.866554
3,109.4668
4,102.490295
5,95.91985
6,89.73838
7,83.9281
8,78.47084
9,73.34877
10,68.54485
11,64.04281
12,59.827034
13,55.882584
14,52.195072
15,48.7507
16,45.53618
17,42.53877
18,39.746174
19,37.146645
20,34.728878
21,32.48204
22,30.39574
23,28.460024
24,26.665373
25,25.002678
26,23.463259
27,22.038843
28,20.721565
29,19.503948
30,18.378922
31,17.339806
32,16.380285
33,15.494428
34,14.676656
35,13.921741
36,13.2247925
37,12.581238
38,11.986829
39,11.437604
40,10.929892
41,10.460289
42,10.025651
43,9.623067
44,9.249864
45,8.903574
46,8.581937
47,8.282875
48,8.004484
49,7.745024
50,7.502902
51,7.2766666
52,7.0649877
53,6.8666663
54,6.6805983
55,6.5057783
56,6.3413043
57,6.1863413
58,6.0401397
59,5.902016
60,5.771348
61,5.64757
62,5.5301676
63,5.418673
64,5.3126626
65,5.2117476
66,5.115575
67,5.023821
68,4.936193
69,4.8524218
70,4.7722588
71,4.6954813
72,4.621879
73,4.5512614
74,4.483454
75,4.418293
76,4.35563
77,4.2953253
78,4.2372518
79,4.1812873
80,4.1273246
81,4.0752563
82,4.0249877
83,3.9764276
84,3.929492
85,3.8841026
86,3.8401842
87,3.7976646
88,3.7564812
89,3.7165716
90,3.6778753
91,3.6403394
92,3.6039095
93,3.568538
94,3.5341773
95,3.5007834
96,3.468315
97,3.4367318
98,3.4059966
99,3.3760724
100,3.346926
101,3.3185267
102,3.2908404
103,3.2638414
104,3.2374985
105,3.2117877
106,3.186683
107,3.162161
108,3.138198
109,3.1147728
110,3.0918643
111,3.0694537
112,3.0475209
113,3.0260499
114,3.0050209
115,2.9844205
116,2.9642303
117,2.9444363
118,2.9250264
119,2.905984
120,2.8872983
121,2.868956
122,2.8509455
123,2.8332555
124,2.815875
125,2.7987943
126,2.7820022
127,2.765492
128,2.7492518
129,2.7332742
130,2.7175517
131,2.702075
132,2.6868374
133,2.6718307
134,2.6570492
135,2.6424859
136,2.628134
137,2.613988
138,2.6000404
139,2.5862875
140,2.5727239
141,2.5593426
142,2.5461402
143,2.5331113
144,2.5202515
145,2.5075557
146,2.495021
147,2.482642
148,2.4704146
149,2.458336
150,2.4464023
151,2.4346094
152,2.4229546
153,2.4114337
154,2.4000442
155,2.3887832
156,2.377647
157,2.3666332
158,2.3557396
159,2.3449614
160,2.3342986
161,2.3237467
162,2.3133044
163,2.302969
164,2.292738
165,2.282609
166,2.2725806
167,2.2626507
168,2.252816
169,2.2430758
170,2.233428
171,2.2238705
172,2.214401
173,2.2050185
174,2.1957207
175,2.1865077
176,2.1773758
177,2.168323
178,2.15935
179,2.150454
180,2.1416342
181,2.1328878
182,2.1242151
183,2.1156135
184,2.1070824
185,2.0986202
186,2.0902262
187,2.0818977
188,2.0736353
189,2.065437
190,2.0573018
191,2.049229
192,2.0412164
193,2.033264
194,2.0253701
195,2.0175345
196,2.0097551
197,2.0020335
198,1.9943655
199,1.9867524
200,1.9791923
201,1.9716843
202,1.9642286
203,1.9568238
204,1.9494679
205,1.9421619
206,1.9349049
207,1.9276953
208,1.9205328
209,1.9134163
210,1.9063464
211,1.8993204
212,1.892339
213,1.8854018
214,1.8785077
215,1.8716557
216,1.864846
217,1.8580772
218,1.8513496
219,1.8446612
220,1.8380138
221,1.8314052
222,1.8248345
223,1.8183032
224,1.8118087
225,1.8053517
226,1.7989314
227,1.7925476
228,1.7861989
229,1.7798868
230,1.7736088
231,1.7673659
232,1.761157
233,1.7549825
234,1.7488407
235,1.7427318
236,1.7366567
237,1.7306131
238,1.7246019
239,1.7186224
240,1.712674
241,1.706757
242,1.7008703
243,1.6950146
244,1.6891886
245,1.6833924
246,1.6776261
247,1.6718887
248,1.666181
249,1.6605014
250,1.6548505
251,1.6492281
252,1.6436335
253,1.6380668
254,1.6325275
255,1.6270156
256,1.6215309
257,1.6160731
258,1.6106421
259,1.6052374
260,1.5998591
261,1.5945069
262,1.5891805
263,1.58388
264,1.5786052
265,1.5733553
266,1.5681307
267,1.5629312
268,1.5577567
269,1.5526069
270,1.5474818
271,1.5423813
272,1.5373044
273,1.5322523
274,1.5272231
275,1.522219
276,1.517238
277,1.5122807
278,1.5073466
279,1.5024363
280,1.4975494
281,1.4926848
282,1.4878445
283,1.4830258
284,1.4782304
285,1.4734576
286,1.4687072
287,1.4639797
288,1.4592746
289,1.4545918
290,1.4499307
291,1.4452919
292,1.4406755
293,1.4360807
294,1.4315076
295,1.4269572
296,1.4224275
297,1.4179194
298,1.4134333
299,1.4089687
300,1.4045256
301,1.4001036
302,1.3957036
303,1.3913237
304,1.3869658
305,1.3826283
306,1.3783125
307,1.3740166
308,1.3697425
309,1.365489
310,1.3612565
311,1.3570447
312,1.3528534
313,1.3486832
314,1.3445332
315,1.3404037
316,1.336295
317,1.3322066
318,1.3281385
319,1.3240908
320,1.3200632
321,1.3160567
322,1.3120704
323,1.3081037
324,1.3041573
325,1.3002311
326,1.2963248
327,1.2924387
328,1.2885727
329,1.2847264
330,1.2809002
331,1.2770939
332,1.2733079
333,1.2695417
334,1.2657945
335,1.2620676
336,1.2583604
337,1.2546731
338,1.2510052
339,1.2473569
340,1.2437283
341,1.2401192
342,1.2365296
343,1.2329595
344,1.2294095
345,1.225878
346,1.2223667
347,1.2188746
348,1.2154013
349,1.211948
350,1.2085134
351,1.2050984
352,1.2017021
353,1.1983256
354,1.1949682
355,1.1916296
356,1.1883105
357,1.1850106
358,1.1817292
359,1.178467
360,1.1752237
361,1.1719995
362,1.1687938
363,1.1656072
364,1.1624393
365,1.1592906
366,1.1561602
367,1.1530485
368,1.1499559
369,1.1468815
370,1.1438257
371,1.1407883
372,1.1377699
373,1.1347697
374,1.1317875
375,1.1288248
376,1.1258796
377,1.1229525
378,1.1200445
379,1.1171544
380,1.1142823
381,1.1114283
382,1.1085924
383,1.105775
384,1.1029751
385,1.1001933
386,1.0974294
387,1.0946832
388,1.0919551
389,1.0892447
390,1.0865517
391,1.0838765
392,1.0812192
393,1.0785792
394,1.0759565
395,1.0733515
396,1.0707635
397,1.0681936
398,1.0656406
399,1.0631045
400,1.060586
401,1.0580845
402,1.0556004
403,1.0531325
404,1.0506822
405,1.0482482
406,1.0458318
407,1.0434315
408,1.0410483
409,1.0386814
410,1.0363312
411,1.0339975
412,1.0316807
413,1.0293797
414,1.0270957
415,1.0248269
416,1.022575
417,1.0203391
418,1.0181196
419,1.0159158
420,1.0137275
421,1.0115554
422,1.0093989
423,1.0072588
424,1.0051333
425,1.0030237
426,1.00093
427,0.9988513
428,0.99678814
429,0.9947399
430,0.992707
431,0.99068975
432,0.988687
433,0.9866994
434,0.98472625
435,0.98276865
436,0.9808255
437,0.97889686
438,0.9769828
439,0.97508377
440,0.97319865
441,0.97132766
442,0.96947104
443,0.9676295
444,0.9658013
445,0.96398723
446,0.9621873
447,0.96040076
448,0.95862824
449,0.9568699
450,0.9551241
451,0.9533931
452,0.9516749
453,0.9499699
454,0.9482785
455,0.94659984
456,0.9449349
457,0.94328237
458,0.94164306
459,0.94001675
460,0.93840307
461,0.9368026
462,0.93521386
463,0.9336381
464,0.9320749
465,0.93052334
466,0.92898506
467,0.92745805
468,0.92594373
469,0.92444116
470,0.92295086
471,0.9214724
472,0.920005
473,0.91854995
474,0.91710603
475,0.91567385
476,0.914253
477,0.91284335
478,0.91144466
479,0.91005796
480,0.90868175
481,0.9073167
482,0.90596205
483,0.9046187
484,0.9032855
485,0.90196335
486,0.9006518
487,0.89935035
488,0.8980593
489,0.89677846
490,0.89550817
491,0.894248
492,0.8929975
493,0.8917572
494,0.8905263
495,0.8893051
496,0.888094
497,0.88689256
