,Loss
0,38.63741
1,37.83776
2,37.050915
3,36.278126
4,35.520107
5,34.77715
6,34.04928
7,33.336365
8,32.638214
9,31.954605
10,31.285307
11,30.630074
12,29.988678
13,29.360878
14,28.746439
15,28.145142
16,27.556747
17,26.98103
18,26.417768
19,25.86674
20,25.32772
21,24.800495
22,24.284847
23,23.780561
24,23.287424
25,22.805231
26,22.333763
27,21.87283
28,21.42221
29,20.981718
30,20.55114
31,20.13029
32,19.71896
33,19.316963
34,18.924109
35,18.540209
36,18.165073
37,17.798521
38,17.440372
39,17.090445
40,16.748558
41,16.41454
42,16.088219
43,15.769425
44,15.457995
45,15.153757
46,14.856552
47,14.56622
48,14.282606
49,14.005552
50,13.734912
51,13.470532
52,13.212268
53,12.959975
54,12.713511
55,12.472743
56,12.237532
57,12.007742
58,11.783248
59,11.563922
60,11.349638
61,11.140275
62,10.935712
63,10.735836
64,10.540529
65,10.349684
66,10.163188
67,9.980939
68,9.80283
69,9.628763
70,9.458639
71,9.292359
72,9.129833
73,8.970968
74,8.815679
75,8.663873
76,8.515472
77,8.370393
78,8.228555
79,8.089879
80,7.9542904
81,7.8217187
82,7.69209
83,7.565333
84,7.441385
85,7.320176
86,7.201643
87,7.0857253
88,6.9723597
89,6.8614907
90,6.7530584
91,6.647009
92,6.5432854
93,6.4418406
94,6.3426185
95,6.24557
96,6.150646
97,6.0578
98,5.966985
99,5.878159
100,5.791275
101,5.7062917
102,5.6231694
103,5.5418653
104,5.462341
105,5.3845577
106,5.3084774
107,5.2340636
108,5.1612806
109,5.090095
110,5.020471
111,4.9523764
112,4.88578
113,4.8206463
114,4.756948
115,4.694653
116,4.6337323
117,4.5741568
118,4.5158978
119,4.4589276
120,4.4032197
121,4.3487473
122,4.295484
123,4.2434063
124,4.1924872
125,4.1427016
126,4.094027
127,4.04644
128,3.999917
129,3.9544356
130,3.9099743
131,3.8665102
132,3.8240228
133,3.782491
134,3.7418947
135,3.702213
136,3.663427
137,3.625518
138,3.5884666
139,3.5522532
140,3.5168598
141,3.482267
142,3.4484599
143,3.415419
144,3.3831291
145,3.3515725
146,3.320733
147,3.2905955
148,3.2611418
149,3.232358
150,3.2042286
151,3.1767387
152,3.1498737
153,3.1236186
154,3.09796
155,3.0728831
156,3.0483758
157,3.0244226
158,3.0010114
159,2.978129
160,2.9557624
161,2.9339008
162,2.91253
163,2.8916383
164,2.8712149
165,2.8512478
166,2.8317251
167,2.8126364
168,2.7939708
169,2.7757175
170,2.757866
171,2.740406
172,2.7233272
173,2.7066202
174,2.6902747
175,2.6742814
176,2.6586316
177,2.6433158
178,2.6283255
179,2.6136513
180,2.599285
181,2.585218
182,2.571443
183,2.5579515
184,2.5447357
185,2.5317876
186,2.5191002
187,2.5066664
188,2.4944782
189,2.4825299
190,2.4708138
191,2.4593236
192,2.4480526
193,2.4369948
194,2.4261441
195,2.415494
196,2.4050386
197,2.3947725
198,2.3846903
