,Loss
0,504.8357
1,454.4658
2,408.1784
3,366.20456
4,328.51663
5,294.90808
6,265.0744
7,238.67252
8,215.35516
9,194.78815
10,176.65831
11,160.67715
12,146.58224
13,134.13737
14,123.13201
15,113.38015
16,104.71885
17,97.006325
18,90.12
19,83.95437
20,78.41875
21,73.43546
22,68.937874
23,64.86873
24,61.178802
25,57.82561
26,54.772293
27,51.98683
28,49.441265
29,47.111034
30,44.97453
31,43.012627
32,41.208344
33,39.54657
34,38.01378
35,36.59787
36,35.287983
37,34.074326
38,32.94809
39,31.901325
40,30.926828
41,30.018116
42,29.169321
43,28.3751
44,27.630642
45,26.931591
46,26.273983
47,25.654238
48,25.069107
49,24.51565
50,23.991203
51,23.493341
52,23.019882
53,22.568836
54,22.138418
55,21.726978
56,21.33305
57,20.95529
58,20.592484
59,20.243517
60,19.907404
61,19.583225
62,19.270151
63,18.96743
64,18.674376
65,18.39036
66,18.114817
67,17.84722
68,17.587088
69,17.334002
70,17.087551
71,16.847353
72,16.613098
73,16.38445
74,16.161144
75,15.942904
76,15.729484
77,15.520661
78,15.316221
79,15.115982
80,14.919749
81,14.727362
82,14.538666
83,14.353507
84,14.17176
85,13.993287
86,13.817984
87,13.645729
88,13.476419
89,13.309959
90,13.146267
91,12.985242
92,12.826817
93,12.670911
94,12.517455
95,12.366381
96,12.2176285
97,12.071138
98,11.926852
99,11.784725
100,11.644702
101,11.506736
102,11.370787
103,11.23681
104,11.104765
105,10.974617
106,10.846331
107,10.719874
108,10.595206
109,10.472305
110,10.351143
111,10.231682
112,10.113902
113,9.997776
114,9.883283
115,9.7703905
116,9.659084
117,9.5493355
118,9.441126
119,9.334437
120,9.229247
121,9.125534
122,9.02328
123,8.922468
124,8.823078
125,8.725093
126,8.628499
127,8.533271
128,8.439401
129,8.346868
130,8.255653
131,8.165748
132,8.077131
133,7.9897876
134,7.9037037
135,7.818865
136,7.735253
137,7.6528587
138,7.5716596
139,7.491649
140,7.412808
141,7.335127
142,7.2585826
143,7.1831703
144,7.1088686
145,7.0356727
146,6.963561
147,6.8925233
148,6.8225436
149,6.7536116
150,6.6857147
151,6.618834
152,6.5529613
153,6.4880824
154,6.4241834
155,6.361253
156,6.299274
157,6.2382402
158,6.178134
159,6.118942
160,6.060657
161,6.0032644
162,5.946749
163,5.8911014
164,5.836308
165,5.7823567
166,5.729237
167,5.676936
168,5.625443
169,5.5747433
170,5.5248256
171,5.475683
172,5.427302
173,5.3796697
174,5.332772
175,5.286604
176,5.2411523
177,5.1964054
178,5.1523514
179,5.108981
180,5.0662827
181,5.0242486
182,4.982864
183,4.942122
184,4.9020095
185,4.8625183
186,4.8236403
187,4.7853594
188,4.747672
189,4.710566
190,4.674033
191,4.6380606
192,4.602642
193,4.567766
194,4.533425
195,4.499608
196,4.46631
197,4.4335194
198,4.4012265
199,4.3694224
200,4.3381014
201,4.3072534
202,4.2768717
203,4.246946
204,4.2174673
205,4.188432
206,4.1598268
207,4.1316466
208,4.1038847
209,4.0765324
210,4.0495825
211,4.0230274
212,3.9968598
213,3.9710732
214,3.945659
215,3.9206145
216,3.8959258
217,3.871592
218,3.847603
219,3.8239565
220,3.8006427
221,3.7776551
222,3.7549896
223,3.7326372
224,3.710595
225,3.6888556
226,3.6674132
227,3.646263
228,3.6253965
229,3.6048133
230,3.5845008
231,3.564463
232,3.5446854
233,3.5251677
234,3.5059037
235,3.4868894
236,3.46812
237,3.4495893
238,3.431294
239,3.4132278
240,3.3953874
241,3.3777678
242,3.3603675
243,3.343176
244,3.3261943
245,3.3094194
246,3.2928429
247,3.276464
248,3.2602751
249,3.2442749
250,3.228462
251,3.2128282
252,3.197375
253,3.1820946
254,3.1669838
255,3.1520407
256,3.1372638
257,3.1226466
