,Loss
0,119.5551
1,111.839
2,104.520355
3,97.623215
4,91.14705
5,85.07882
6,79.401436
7,74.09577
8,69.14175
9,64.519135
10,60.20817
11,56.18981
12,52.445908
13,48.959255
14,45.713642
15,42.693844
16,39.88554
17,37.27531
18,34.85055
19,32.599422
20,30.510788
21,28.574135
22,26.779533
23,25.11762
24,23.579517
25,22.15683
26,20.84161
27,19.626348
28,18.503942
29,17.467684
30,16.511261
31,15.628723
32,14.814476
33,14.063278
34,13.370218
35,12.730711
36,12.140475
37,11.595526
38,11.092159
39,10.626952
40,10.19672
41,9.798532
42,9.429677
43,9.087671
44,8.770225
45,8.475232
46,8.200779
47,7.9451
48,7.7065907
49,7.4837875
50,7.2753544
51,7.080079
52,6.8968515
53,6.7246704
54,6.5626254
55,6.4098883
56,6.265709
57,6.1294065
58,6.0003624
59,5.878019
60,5.761867
61,5.6514473
62,5.54634
63,5.446163
64,5.3505735
65,5.2592545
66,5.1719193
67,5.0883055
68,5.008177
69,4.931309
70,4.857506
71,4.78658
72,4.7183657
73,4.6527042
74,4.5894527
75,4.528477
76,4.4696574
77,4.412875
78,4.358027
79,4.305014
80,4.2537436
81,4.204131
82,4.156095
83,4.109561
84,4.0644584
85,4.020721
86,3.9782872
87,3.9370975
88,3.897099
89,3.8582373
90,3.8204641
91,3.7837331
92,3.7480001
93,3.7132246
94,3.6793668
95,3.6463873
96,3.614254
97,3.5829315
98,3.552388
99,3.5225935
100,3.4935188
101,3.4651363
102,3.4374206
103,3.4103458
104,3.3838885
105,3.3580253
106,3.3327365
107,3.3080008
108,3.2837975
109,3.2601087
110,3.2369173
111,3.2142045
112,3.191955
113,3.1701531
114,3.1487832
115,3.127831
116,3.1072843
117,3.0871294
118,3.0673516
119,3.047942
120,3.0288863
121,3.010176
122,2.991799
123,2.973745
124,2.9560058
125,2.93857
126,2.92143
127,2.9045775
128,2.8880026
129,2.871699
130,2.8556578
131,2.8398721
132,2.8243358
133,2.8090398
134,2.7939796
135,2.7791483
136,2.7645404
137,2.7501483
138,2.7359684
139,2.7219944
140,2.7082214
141,2.6946423
142,2.6812553
143,2.668054
144,2.6550345
145,2.6421921
146,2.6295228
147,2.617022
148,2.604686
149,2.592511
150,2.5804949
151,2.568632
152,2.5569184
153,2.5453525
154,2.533931
155,2.5226495
156,2.5115066
157,2.5004978
158,2.4896219
159,2.4788747
160,2.4682543
161,2.4577577
162,2.447384
163,2.4371278
164,2.4269893
165,2.4169655
166,2.4070542
167,2.3972533
168,2.38756
169,2.377974
170,2.3684921
