,Loss
0,38.378853
1,37.58957
2,36.815636
3,36.058247
4,35.317745
5,34.593784
6,33.885685
7,33.192772
8,32.51454
9,31.850601
10,31.200628
11,30.564342
12,29.941473
13,29.331755
14,28.734957
15,28.150824
16,27.579132
17,27.019648
18,26.472143
19,25.936403
20,25.412207
21,24.899338
22,24.397587
23,23.906742
24,23.426601
25,22.956955
26,22.497599
27,22.048334
28,21.608963
29,21.179289
30,20.759111
31,20.348248
32,19.946491
33,19.553667
34,19.169586
35,18.794065
36,18.42692
37,18.067976
38,17.717052
39,17.373985
40,17.038591
41,16.710705
42,16.390165
43,16.076813
44,15.77048
45,15.471009
46,15.178253
47,14.8920555
48,14.612269
49,14.338745
50,14.071342
51,13.80992
52,13.554344
53,13.304474
54,13.0601845
55,12.821338
56,12.587819
57,12.359498
58,12.136256
59,11.917973
60,11.704537
61,11.495833
62,11.291756
63,11.092193
64,10.897045
65,10.7062025
66,10.519572
67,10.337058
68,10.158564
69,9.983993
70,9.813259
71,9.6462755
72,9.482955
73,9.3232155
74,9.166976
75,9.014154
76,8.864678
77,8.718471
78,8.575458
79,8.435571
80,8.298735
81,8.164889
82,8.033965
83,7.9058957
84,7.780621
85,7.6580806
86,7.538214
87,7.4209614
88,7.3062706
89,7.194082
90,7.0843434
91,6.977001
92,6.8720083
93,6.7693114
94,6.668861
95,6.570609
96,6.4745126
97,6.3805223
98,6.288595
99,6.1986904
100,6.11076
101,6.0247674
102,5.9406695
103,5.8584275
104,5.7780013
105,5.699354
106,5.62245
107,5.5472503
108,5.4737206
109,5.401825
110,5.33153
111,5.262802
112,5.1956077
113,5.129915
114,5.065694
115,5.0029116
116,4.9415393
117,4.88155
118,4.8229074
119,4.7655888
120,4.7095656
121,4.6548085
122,4.6012926
123,4.5489893
124,4.4978733
125,4.447921
126,4.399105
127,4.3514023
128,4.304789
129,4.2592406
130,4.214734
131,4.171248
132,4.1287584
133,4.087245
134,4.046685
135,4.0070586
136,3.9683435
137,3.9305205
138,3.89357
139,3.8574712
140,3.8222055
141,3.787754
142,3.7540996
143,3.7212217
144,3.6891024
145,3.6577249
146,3.6270733
147,3.5971305
148,3.56788
149,3.5393038
150,3.5113876
151,3.484115
152,3.4574711
153,3.4314404
154,3.4060082
155,3.3811598
156,3.3568823
157,3.3331602
158,3.3099806
159,3.2873294
160,3.2651932
161,3.2435606
162,3.2224183
163,3.2017536
164,3.1815546
165,3.1618094
166,3.1425066
167,3.1236336
168,3.1051805
169,3.0871363
170,3.06949
171,3.052231
172,3.0353491
173,3.0188339
174,3.0026765
175,2.9868665
176,2.9713945
177,2.9562519
178,2.941429
179,2.926917
180,2.912708
181,2.8987927
