,Loss
0,139.35286
1,122.00154
2,106.30598
3,92.349915
4,80.10621
5,69.46711
6,60.282333
7,52.38834
8,45.626076
9,39.849586
10,34.92861
11,30.748133
12,27.206604
13,24.214159
14,21.691124
15,19.566954
16,17.779541
17,16.27459
18,15.005179
19,13.931117
20,13.018389
21,12.238495
22,11.567786
23,10.986813
24,10.479706
25,10.033591
26,9.638078
27,9.284796
28,8.967021
29,8.679337
30,8.417363
31,8.177548
32,7.956989
33,7.7532835
34,7.5644383
35,7.388772
36,7.224863
37,7.0714855
38,6.9275837
39,6.792232
40,6.664622
41,6.544037
42,6.429846
43,6.3214836
44,6.2184424
45,6.120276
46,6.026577
47,5.936981
48,5.8511653
49,5.7688313
50,5.6897106
51,5.6135697
52,5.5401874
53,5.469367
54,5.4009347
55,5.3347235
56,5.2705917
57,5.2084036
58,5.148041
59,5.0893908
60,5.0323563
61,4.9768414
62,4.922765
63,4.8700514
64,4.8186274
65,4.7684274
66,4.719393
67,4.67147
68,4.6246066
69,4.578754
70,4.5338693
71,4.489911
72,4.446845
73,4.40463
74,4.3632374
75,4.3226337
76,4.2827888
77,4.2436776
78,4.2052717
79,4.1675496
80,4.1304846
81,4.094058
82,4.058248
83,4.023033
84,3.9883988
85,3.954325
86,3.9207938
87,3.8877914
88,3.855302
89,3.8233104
90,3.7918022
91,3.7607675
92,3.73019
93,3.7000606
94,3.6703663
95,3.6410937
96,3.6122375
97,3.583784
98,3.5557268
99,3.528052
100,3.5007558
101,3.4738262
102,3.447257
103,3.421042
104,3.3951695
105,3.369637
106,3.3444328
107,3.3195553
108,3.294996
109,3.2707481
110,3.246807
111,3.2231681
112,3.1998248
113,3.1767707
114,3.1540036
115,3.131518
116,3.109308
117,3.0873706
118,3.0656993
119,3.0442932
120,3.0231454
121,3.0022552
122,2.9816172
123,2.9612274
124,2.9410815
125,2.9211795
126,2.901516
127,2.8820868
128,2.862891
129,2.843924
130,2.8251853
131,2.8066695
132,2.7883735
133,2.770298
134,2.7524385
135,2.7347918
136,2.7173562
137,2.7001283
138,2.6831076
139,2.66629
140,2.6496766
141,2.6332598
142,2.6170435
143,2.6010196
144,2.5851912
145,2.5695543
146,2.554105
147,2.5388446
148,2.5237703
149,2.5088778
150,2.4941685
151,2.4796398
152,2.4652882
153,2.4511135
154,2.4371142
155,2.4232867
156,2.409632
157,2.3961468
158,2.382828
159,2.369678
160,2.356692
161,2.34387
162,2.33121
163,2.318709
164,2.306366
165,2.2941828
166,2.2821534
167,2.2702792
168,2.2585561
169,2.2469857
170,2.2355654
171,2.224293
172,2.213168
173,2.2021866
174,2.1913507
175,2.1806571
176,2.170106
177,2.1596951
178,2.149421
179,2.139286
180,2.1292841
181,2.1194196
182,2.1096864
183,2.1000862
184,2.0906165
185,2.0812752
186,2.0720625
187,2.0629754
188,2.0540147
189,2.045178
190,2.0364633
191,2.027871
192,2.0193982
193,2.0110438
194,2.002807
195,1.9946877
196,1.9866834
197,1.9787925
198,1.9710139
199,1.9633468
200,1.9557905
201,1.9483429
202,1.941003
203,1.9337695
204,1.926641
205,1.9196172
206,1.9126961
207,1.9058769
208,1.8991596
209,1.8925403
210,1.8860185
211,1.8795938
212,1.8732663
213,1.8670326
214,1.8608934
215,1.8548467
216,1.8488907
217,1.843025
218,1.8372481
219,1.8315592
220,1.8259577
221,1.8204422
222,1.8150108
223,1.8096632
224,1.8043971
225,1.7992134
226,1.7941103
227,1.7890866
228,1.7841401
229,1.7792714
230,1.7744782
231,1.7697617
232,1.765118
233,1.760547
234,1.7560498
235,1.7516224
236,1.7472641
237,1.7429775
238,1.7387569
239,1.7346046
240,1.7305181
241,1.7264963
242,1.7225386
243,1.7186447
244,1.7148137
245,1.7110436
246,1.7073342
247,1.7036843
248,1.7000934
249,1.6965601
250,1.6930832
251,1.6896632
252,1.6862985
253,1.6829879
254,1.6797295
255,1.6765248
256,1.6733729
