,Loss
0,588.3508
1,532.4257
2,480.58844
3,433.08188
4,389.89832
5,350.87158
6,315.7475
7,284.23343
8,256.0298
9,230.84506
10,208.4014
11,188.43643
12,170.70352
13,154.97221
14,141.02823
15,128.67386
16,117.72795
17,108.02584
18,99.41899
19,91.77428
20,84.973145
21,78.910706
22,73.49451
23,68.6435
24,64.28693
25,60.36321
26,56.818924
27,53.60784
28,50.690025
29,48.031006
30,45.60101
31,43.374393
32,41.328976
33,39.445568
34,37.707542
35,36.100403
36,34.611507
37,33.229794
38,31.9455
39,30.749998
40,29.635622
41,28.595537
42,27.62361
43,26.714317
44,25.862684
45,25.06418
46,24.314693
47,23.610487
48,22.94812
49,22.324469
50,21.736649
51,21.182018
52,20.658148
53,20.162802
54,19.693922
55,19.249601
56,18.828102
57,18.427801
58,18.047213
59,17.684956
60,17.33976
61,17.010447
62,16.695934
63,16.39522
64,16.107367
65,15.831517
66,15.566876
67,15.312699
68,15.068313
69,14.833068
70,14.606389
71,14.387718
72,14.1765585
73,13.972433
74,13.77491
75,13.583578
76,13.398062
77,13.218014
78,13.043104
79,12.873031
80,12.707512
81,12.546289
82,12.3891115
83,12.235761
84,12.0860195
85,11.939697
86,11.796609
87,11.656584
88,11.51947
89,11.385112
90,11.253383
91,11.124152
92,10.997298
93,10.87272
94,10.750308
95,10.629973
96,10.511623
97,10.395179
98,10.280565
99,10.167706
100,10.056541
101,9.947003
102,9.839043
103,9.732599
104,9.627633
105,9.524084
106,9.421921
107,9.321096
108,9.22158
109,9.123324
110,9.026304
111,8.930497
112,8.83586
113,8.742375
114,8.65001
115,8.558748
116,8.468564
117,8.379433
118,8.291339
119,8.204259
120,8.118182
121,8.033086
122,7.9489574
123,7.8657775
124,7.7835355
125,7.702214
126,7.621803
127,7.5422864
128,7.463655
129,7.385896
130,7.3089952
131,7.2329493
132,7.157739
133,7.0833607
134,7.0097995
135,6.937049
136,6.8650985
137,6.7939415
138,6.7235627
139,6.653962
140,6.5851274
141,6.5170517
142,6.4497213
143,6.3831353
144,6.3172846
145,6.252159
146,6.1877546
147,6.1240606
148,6.0610723
149,5.9987807
150,5.937179
151,5.876264
152,5.816023
153,5.756455
154,5.6975493
155,5.639301
156,5.5817027
157,5.524749
158,5.468433
159,5.412751
160,5.3576913
161,5.303251
162,5.2494254
163,5.1962047
164,5.1435866
165,5.0915623
166,5.040127
167,4.9892745
168,4.938999
169,4.8892965
170,4.8401594
171,4.791581
172,4.743558
173,4.696082
174,4.6491513
175,4.6027555
176,4.5568933
177,4.511556
178,4.4667435
179,4.4224434
180,4.3786545
181,4.3353715
182,4.292586
183,4.250294
184,4.2084928
185,4.1671762
186,4.1263356
187,4.085971
188,4.0460734
189,4.00664
190,3.9676633
191,3.9291434
192,3.8910692
193,3.8534389
194,3.8162477
195,3.77949
196,3.743161
197,3.7072558
198,3.6717703
199,3.6367018
200,3.602042
201,3.5677862
202,3.533933
203,3.500475
204,3.4674091
205,3.43473
206,3.4024365
207,3.3705206
208,3.338977
209,3.3078039
210,3.276997
211,3.2465508
212,3.2164626
213,3.1867273
214,3.1573408
215,3.1282992
216,3.0995972
217,3.0712323
218,3.0432005
219,3.0154965
220,2.9881184
221,2.9610596
222,2.9343195
223,2.9078925
224,2.8817751
225,2.8559623
226,2.8304534
227,2.8052416
228,2.7803257
229,2.7557015
230,2.7313635
231,2.7073112
232,2.6835394
233,2.6600432
234,2.6368237
235,2.6138728
236,2.5911906
237,2.5687718
238,2.5466146
239,2.5247147
240,2.503068
241,2.4816751
242,2.4605296
243,2.4396284
244,2.4189687
245,2.3985505
246,2.3783665
247,2.3584166
248,2.3386955
249,2.3192053
250,2.2999368
251,2.2808921
252,2.2620668
253,2.2434561
254,2.2250612
255,2.2068756
256,2.1889002
257,2.1711304
258,2.1535637
259,2.1361969
260,2.1190307
261,2.1020584
262,2.085281
263,2.0686932
264,2.052295
265,2.036082
266,2.0200546
267,2.0042088
268,1.9885423
269,1.9730519
270,1.9577374
271,1.9425956
272,1.9276248
273,1.9128226
274,1.8981861
275,1.8837159
276,1.8694072
277,1.8552598
278,1.8412682
279,1.8274348
280,1.8137572
281,1.8002313
282,1.7868562
283,1.7736299
284,1.7605505
285,1.7476168
286,1.734826
287,1.7221779
288,1.709669
289,1.6972988
290,1.685065
291,1.6729658
292,1.6610005
293,1.6491667
294,1.6374633
295,1.6258883
296,1.6144395
297,1.603116
298,1.591918
299,1.5808396
300,1.5698847
301,1.5590483
302,1.548329
303,1.5377264
304,1.5272399
305,1.5168664
306,1.5066048
307,1.4964551
308,1.4864134
309,1.4764818
310,1.4666564
311,1.456937
312,1.4473222
313,1.4378095
314,1.4283999
315,1.41909
316,1.4098808
317,1.4007691
318,1.3917546
319,1.3828365
320,1.3740127
321,1.365283
322,1.3566462
323,1.3481
324,1.3396443
325,1.3312787
326,1.3230007
327,1.3148103
328,1.3067052
329,1.2986854
330,1.2907505
331,1.2828981
332,1.275128
333,1.2674389
334,1.2598302
335,1.2523005
336,1.244849
337,1.237475
338,1.2301772
339,1.2229552
340,1.2158074
341,1.2087338
342,1.2017328
343,1.1948038
344,1.1879455
345,1.1811588
346,1.1744403
347,1.1677907
348,1.1612087
349,1.1546944
350,1.1482453
351,1.1418616
352,1.1355432
353,1.1292887
354,1.1230968
355,1.1169673
356,1.1108998
