,Loss
0,118.61445
1,103.96969
2,90.73293
3,78.969894
4,68.64664
5,59.661087
6,51.880882
7,45.17061
8,39.404434
9,34.46866
10,30.26021
11,26.685013
12,23.657354
13,21.099764
14,18.942898
15,17.125433
16,15.593663
17,14.301021
18,13.207533
19,12.2792225
20,11.487478
21,10.808416
22,10.222229
23,9.712627
24,9.266269
25,8.872279
26,8.521817
27,8.207703
28,7.9241195
29,7.6663404
30,7.430517
31,7.213503
32,7.012728
33,6.826062
34,6.6517467
35,6.488308
36,6.3345118
37,6.1893086
38,6.0518045
39,5.9212403
40,5.7969503
41,5.6783595
42,5.564967
43,5.4563327
44,5.352064
45,5.251821
46,5.1552944
47,5.0622106
48,4.9723277
49,4.8854246
50,4.801307
51,4.7197943
52,4.640728
53,4.5639644
54,4.489371
55,4.4168267
56,4.3462253
57,4.277468
58,4.210464
59,4.145127
60,4.081386
61,4.019167
62,3.9584064
63,3.899044
64,3.8410249
65,3.7842948
66,3.7288077
67,3.674518
68,3.6213837
69,3.5693612
70,3.5184174
71,3.4685135
72,3.4196212
73,3.371702
74,3.3247292
75,3.2786748
76,3.2335098
77,3.189209
78,3.1457481
79,3.1031017
80,3.061249
81,3.020167
82,2.979837
83,2.9402351
84,2.9013448
85,2.8631494
86,2.8256261
87,2.7887635
88,2.7525406
89,2.7169433
90,2.6819563
91,2.6475656
92,2.6137562
93,2.5805154
94,2.5478272
95,2.5156806
96,2.4840658
97,2.452967
98,2.4223735
99,2.392275
100,2.3626604
101,2.3335195
102,2.304841
103,2.2766185
104,2.2488363
105,2.2214901
106,2.1945693
107,2.1680663
108,2.1419704
109,2.1162758
110,2.0909724
111,2.0660546
112,2.0415142
113,2.0173435
114,1.9935355
115,1.9700842
116,1.9469824
117,1.9242225
118,1.9017996
119,1.8797073
120,1.8579396
121,1.8364906
122,1.8153536
123,1.794526
124,1.773999
125,1.75377
126,1.7338328
127,1.7141842
128,1.6948158
129,1.6757263
130,1.6569105
131,1.6383619
132,1.620079
133,1.6020546
134,1.584288
135,1.5667728
136,1.549506
137,1.532483
138,1.5157009
139,1.4991561
140,1.4828442
141,1.4667627
142,1.4509083
143,1.4352767
144,1.4198656
145,1.4046717
146,1.3896906
147,1.3749219
148,1.3603609
149,1.3460048
150,1.3318515
151,1.3178973
152,1.3041396
153,1.2905768
154,1.2772065
155,1.2640239
156,1.251029
157,1.2382182
158,1.225589
159,1.213141
