,Loss
0,94.58355
1,88.064926
2,82.020676
3,76.41046
4,71.200874
5,66.36445
6,61.876167
7,57.71153
8,53.846813
9,50.25971
10,46.92978
11,43.838356
12,40.968384
13,38.304203
14,35.83129
15,33.536137
16,31.406116
17,29.429426
18,27.595013
19,25.892546
20,24.312403
21,22.845598
22,21.483753
23,20.219107
24,19.044422
25,17.952986
26,16.938572
27,15.995413
28,15.118163
29,14.301871
30,13.541962
31,12.834198
32,12.174666
33,11.559753
34,10.986122
35,10.450693
36,9.950625
37,9.483296
38,9.04629
39,8.637382
40,8.254514
41,7.8957963
42,7.5594854
43,7.2439675
44,6.947763
45,6.669503
46,6.407927
47,6.1618695
48,5.930256
49,5.7120976
50,5.506474
51,5.312542
52,5.129515
53,4.9566708
54,4.793338
55,4.638897
56,4.49277
57,4.3544264
58,4.223368
59,4.0991364
60,3.9813037
61,3.8694735
62,3.7632732
63,3.6623626
64,3.5664165
65,3.4751384
66,3.3882475
67,3.3054848
68,3.2266057
69,3.1513817
70,3.0796022
71,3.0110672
72,2.945589
73,2.8829937
74,2.8231177
75,2.7658074
76,2.7109182
77,2.6583157
78,2.6078725
79,2.5594687
80,2.5129952
81,2.4683437
82,2.425417
83,2.3841228
84,2.344372
85,2.3060842
86,2.2691813
87,2.2335906
88,2.199245
89,2.1660786
90,2.1340322
91,2.1030478
92,2.0730727
93,2.0440552
94,2.015949
95,1.988709
96,1.9622927
97,1.9366609
98,1.9117754
99,1.8876023
100,1.8641069
101,1.8412592
102,1.8190287
103,1.7973886
104,1.7763127
105,1.7557752
106,1.7357541
107,1.7162262
108,1.6971714
109,1.6785712
110,1.6604053
111,1.6426574
112,1.6253107
113,1.6083502
114,1.5917605
115,1.5755278
116,1.5596393
117,1.5440824
118,1.5288453
119,1.5139176
120,1.4992874
121,1.4849457
122,1.470883
123,1.4570897
124,1.4435575
125,1.4302787
126,1.4172454
127,1.4044495
128,1.391885
129,1.3795447
130,1.3674227
131,1.3555121
132,1.3438082
133,1.3323046
134,1.3209966
135,1.3098786
136,1.2989461
137,1.2881944
138,1.2776192
139,1.2672156
140,1.25698
141,1.246908
142,1.2369963
143,1.2272414
144,1.2176393
145,1.2081869
146,1.1988804
147,1.1897168
148,1.1806936
149,1.1718069
150,1.1630542
151,1.1544331
152,1.1459398
153,1.1375728
154,1.1293291
155,1.1212063
156,1.1132014
157,1.1053133
158,1.0975387
159,1.0898759
160,1.082322
161,1.0748768
162,1.0675355
163,1.060298
164,1.0531617
165,1.046125
166,1.039186
167,1.0323424
168,1.0255933
169,1.0189365
170,1.01237
171,1.005893
172,0.9995031
173,0.99319875
174,0.98697954
175,0.9808422
176,0.9747872
177,0.96881145
178,0.9629141
179,0.95709425
180,0.95135015
181,0.94568026
182,0.94008327
183,0.9345587
184,0.9291052
185,0.92372113
186,0.9184048
187,0.91315615
188,0.90797365
189,0.9028558
