,Loss
0,35.43553
1,34.5707
2,33.723423
3,32.89533
4,32.087288
5,31.299553
6,30.531979
7,29.784224
8,29.055805
9,28.346218
10,27.654932
11,26.9814
12,26.325071
13,25.68542
14,25.061924
15,24.454073
16,23.861404
17,23.283453
18,22.719805
19,22.170073
20,21.633871
21,21.110867
22,20.600744
23,20.103186
24,19.617899
25,19.144592
26,18.683
27,18.232857
28,17.7939
29,17.365875
30,16.948544
31,16.541641
32,16.144941
33,15.758211
34,15.381224
35,15.013751
36,14.655567
37,14.306451
38,13.966201
39,13.634601
40,13.311439
41,12.996527
42,12.689659
43,12.390642
44,12.09929
45,11.815407
46,11.538827
47,11.269355
48,11.006826
49,10.751067
50,10.501908
51,10.25919
52,10.022743
53,9.792419
54,9.568061
55,9.349517
56,9.13664
57,8.929287
58,8.727317
59,8.530591
60,8.338974
61,8.152335
62,7.9705453
63,7.7934794
64,7.621014
65,7.4530296
66,7.2894077
67,7.1300344
68,6.9747977
69,6.823589
70,6.6762996
71,6.5328245
72,6.3930683
73,6.2569294
74,6.124309
75,5.995115
76,5.869255
77,5.74664
78,5.6271834
79,5.5108004
80,5.3974085
81,5.2869263
82,5.179276
83,5.074382
84,4.972169
85,4.8725657
86,4.775502
87,4.68091
88,4.588723
89,4.4988756
90,4.411305
91,4.3259506
92,4.242753
93,4.1616545
94,4.0825977
95,4.00553
96,3.9303968
97,3.8571475
98,3.785731
99,3.7161002
100,3.648206
101,3.5820038
102,3.5174468
103,3.4544935
104,3.3931015
105,3.3332307
106,3.2748392
107,3.2178893
108,3.1623437
109,3.108165
110,3.0553186
111,3.003769
112,2.953482
113,2.904427
114,2.8565698
115,2.8098826
116,2.764333
117,2.7198923
118,2.6765318
119,2.6342256
120,2.592945
121,2.5526648
122,2.5133584
123,2.4750025
124,2.4375718
125,2.4010437
126,2.3653955
127,2.3306046
128,2.2966495
129,2.2635086
130,2.2311618
131,2.1995885
132,2.1687703
133,2.1386871
134,2.1093214
135,2.080654
136,2.0526683
137,2.025346
138,1.9986715
139,1.9726282
140,1.9472003
141,1.9223719
142,1.8981268
143,1.8744516
144,1.8513311
145,1.8287516
146,1.806699
147,1.7851603
148,1.7641221
149,1.7435714
150,1.7234958
151,1.703883
152,1.684721
153,1.6659987
154,1.6477036
155,1.6298251
156,1.6123526
157,1.5952755
158,1.578583
159,1.562265
160,1.5463116
161,1.5307132
162,1.5154601
163,1.500543
164,1.4859529
165,1.4716815
166,1.4577191
167,1.4440581
168,1.4306906
169,1.4176084
170,1.4048029
171,1.3922669
172,1.3799936
173,1.3679748
174,1.3562037
175,1.3446732
176,1.3333769
177,1.3223078
178,1.3114594
179,1.3008257
180,1.2904004
181,1.2801782
182,1.2701527
183,1.2603178
184,1.2506685
185,1.2411995
186,1.2319056
187,1.2227812
188,1.2138212
189,1.2050221
190,1.1963778
191,1.1878844
192,1.1795377
193,1.1713328
194,1.163266
195,1.1553329
196,1.1475294
197,1.139852
198,1.1322968
199,1.1248604
200,1.1175392
201,1.1103293
202,1.1032276
203,1.0962311
204,1.089337
205,1.0825421
206,1.0758433
207,1.0692378
208,1.0627228
209,1.0562959
210,1.0499544
211,1.0436957
212,1.0375175
213,1.0314176
214,1.0253938
215,1.019444
216,1.0135658
217,1.0077574
218,1.0020169
219,0.9963424
220,0.990732
221,0.985184
222,0.97969675
223,0.9742686
224,0.968898
225,0.96358365
226,0.9583239
227,0.9531172
228,0.9479627
229,0.9428588
230,0.9378043
231,0.93279797
232,0.92783916
233,0.92292607
234,0.91805804
235,0.9132338
236,0.9084529
237,0.9037142
238,0.8990167
239,0.8943594
240,0.8897415
241,0.8851627
242,0.8806217
243,0.87611824
244,0.8716513
245,0.86722034
246,0.86282486
247,0.85846424
248,0.8541378
249,0.84984505
250,0.84558564
251,0.84135884
252,0.83716416
253,0.8330015
254,0.82886994
255,0.82476944
256,0.82069933
257,0.81665957
258,0.81264955
259,0.80866903
260,0.8047177
261,0.80079514
262,0.79690117
263,0.79303545
264,0.7891978
265,0.7853878
266,0.7816055
267,0.77785045
268,0.7741225
269,0.7704213
270,0.76674676
271,0.7630987
272,0.759477
273,0.75588155
274,0.7523119
275,0.7487681
276,0.74524987
277,0.74175715
278,0.73828983
279,0.73484755
280,0.73143053
281,0.7280385
282,0.7246713
283,0.7213288
284,0.7180109
285,0.7147177
286,0.7114487
287,0.7082042
288,0.70498383
289,0.7017877
290,0.6986155
291,0.6954674
292,0.6923432
293,0.6892426
294,0.68616575
295,0.68311256
296,0.6800829
297,0.6770768
298,0.6740941
299,0.6711345
300,0.6681982
301,0.6652852
302,0.6623953
303,0.6595283
304,0.6566842
305,0.6538631
306,0.6510647
307,0.648289
308,0.6455361
309,0.6428057
310,0.640098
311,0.63741255
312,0.6347495
313,0.6321088
314,0.6294903
315,0.62689406
316,0.62431973
317,0.6217674
318,0.6192371
319,0.6167287
320,0.6142421
321,0.6117771
322,0.60933375
323,0.606912
324,0.6045117
325,0.60213286
326,0.59977525
327,0.59743893
328,0.59512377
329,0.5928297
330,0.59055656
331,0.58830434
332,0.586073
333,0.5838623
334,0.58167243
335,0.579503
336,0.5773541
337,0.5752256
338,0.5731173
339,0.5710293
340,0.56896144
341,0.5669136
342,0.5648857
343,0.5628776
344,0.5608893
345,0.5589207
346,0.55697155
347,0.5550419
348,0.5531317
349,0.5512407
350,0.5493689
351,0.5475162
352,0.54568243
353,0.5438676
354,0.5420714
355,0.54029405
356,0.5385352
357,0.5367948
358,0.53507274
359,0.53336895
360,0.5316834
361,0.53001577
362,0.52836615
363,0.5267343
364,0.52512014
365,0.52352375
366,0.5219447
367,0.5203832
368,0.5188389
369,0.5173117
370,0.5158016
371,0.5143086
372,0.5128323
373,0.5113727
374,0.5099298
375,0.5085033
376,0.50709325
377,0.50569946
378,0.5043218
379,0.5029602
380,0.5016146
381,0.5002847
382,0.4989705
383,0.4976719
384,0.4963888
385,0.4951211
386,0.4938684
387,0.49263102
388,0.4914085
389,0.4902009
390,0.48900807
391,0.4878298
392,0.4866661
393,0.48551682
394,0.48438177
395,0.48326093
396,0.48215413
397,0.48106125
398,0.4799821
399,0.47891665
400,0.47786477
401,0.47682634
402,0.47580126
403,0.47478935
404,0.47379056
405,0.47280473
406,0.47183168
407,0.4708714
408,0.4699237
409,0.46898857
410,0.46806568
411,0.46715516
412,0.46625668
413,0.4653702
414,0.46449566
415,0.4636329
416,0.46278185
417,0.4619423
418,0.46111414
419,0.46029732
420,0.45949167
421,0.45869702
422,0.45791337
423,0.45714054
424,0.45637846
425,0.455627
426,0.45488596
427,0.45415536
428,0.453435
429,0.45272475
430,0.45202455
431,0.45133424
432,0.45065376
433,0.449983
434,0.44932178
435,0.44867006
436,0.4480276
437,0.44739452
438,0.44677052
439,0.44615558
440,0.4455495
441,0.4449522
442,0.4443636
443,0.44378367
444,0.44321212
445,0.44264898
446,0.44209418
447,0.44154745
448,0.44100884
449,0.4404781
450,0.4399553
451,0.4394402
452,0.43893275
453,0.43843284
454,0.43794036
455,0.43745515
456,0.43697727
457,0.43650654
458,0.43604285
459,0.43558607
460,0.43513617
461,0.434693
462,0.4342565
463,0.43382654
464,0.43340304
465,0.43298596
466,0.43257508
467,0.4321704
468,0.43177187
469,0.43137932
470,0.43099263
471,0.43061185
472,0.43023673
473,0.4298673
474,0.42950344
475,0.429145
476,0.428792
477,0.4284443
478,0.42810178
479,0.42776445
480,0.42743218
481,0.42710483
482,0.42678243
483,0.4264649
484,0.42615193
485,0.42584378
486,0.42554006
487,0.42524096
488,0.42494628
489,0.42465594
490,0.42436987
491,0.424088
492,0.42381027
493,0.42353663
494,0.42326695
495,0.42300114
496,0.42273933
497,0.42248112
498,0.4222268
499,0.42197603
500,0.42172885
501,0.42148522
502,0.42124504
503,0.42100823
504,0.42077482
505,0.4205446
506,0.4203176
507,0.42009374
