,Loss
0,546.7399
1,493.76022
2,444.9946
3,400.64722
4,360.6831
5,324.89365
6,292.97226
7,264.57242
8,239.34573
9,216.96135
10,197.11368
11,179.52393
12,163.93878
13,150.12894
14,137.88733
15,127.027664
16,117.38293
17,108.80413
18,101.15903
19,94.330894
20,88.217155
21,82.72811
22,77.785484
23,73.321304
24,69.27659
25,65.60031
26,62.2484
27,59.1828
28,56.370705
29,53.783775
30,51.397526
31,49.190807
32,47.145264
33,45.244953
34,43.475956
35,41.826122
36,40.284733
37,38.84237
38,37.49066
39,36.222153
40,35.03018
41,33.908764
42,32.852478
43,31.856428
44,30.916155
45,30.027613
46,29.187052
47,28.391094
48,27.636587
49,26.92064
50,26.240612
51,25.59403
52,24.978632
53,24.392298
54,23.833097
55,23.299229
56,22.789032
57,22.300953
58,21.833565
59,21.385536
60,20.955643
61,20.542736
62,20.145773
63,19.76376
64,19.395796
65,19.04103
66,18.698687
67,18.368032
68,18.048407
69,17.739176
70,17.439747
71,17.149591
72,16.868206
73,16.595121
74,16.3299
75,16.072145
76,15.821469
77,15.577524
78,15.339985
79,15.108544
80,14.882914
81,14.662832
82,14.448046
83,14.238321
84,14.03345
85,13.833208
86,13.637422
87,13.445902
88,13.258491
89,13.075015
90,12.895344
91,12.719325
92,12.546831
93,12.37774
94,12.211934
95,12.049302
96,11.889744
97,11.733159
98,11.579458
99,11.428554
100,11.280358
101,11.134799
102,10.9918
103,10.851293
104,10.713206
105,10.577478
106,10.444056
107,10.312874
108,10.183875
109,10.057017
110,9.932246
111,9.809509
112,9.6887665
113,9.569973
114,9.45309
115,9.338071
116,9.22488
117,9.113483
118,9.0038395
119,8.895922
120,8.789691
121,8.685114
122,8.582167
123,8.480818
124,8.381032
125,8.282787
126,8.186051
127,8.090803
128,7.9970174
129,7.9046626
130,7.813723
131,7.7241673
132,7.6359777
133,7.5491343
134,7.463607
135,7.379379
136,7.296431
137,7.21474
138,7.134287
139,7.055053
140,6.9770217
141,6.9001665
142,6.824477
143,6.7499313
144,6.676515
145,6.6042066
146,6.5329905
147,6.4628506
148,6.393773
149,6.325738
150,6.258732
151,6.1927385
152,6.1277413
153,6.063725
154,6.0006766
155,5.93858
156,5.8774223
157,5.81719
158,5.757867
159,5.699443
160,5.6418962
161,5.585222
162,5.529404
163,5.474428
164,5.420284
165,5.3669567
166,5.314434
167,5.2627068
168,5.2117577
169,5.1615767
170,5.112158
171,5.063478
172,5.0155334
173,4.968311
174,4.921799
175,4.875988
176,4.830867
177,4.7864213
178,4.7426424
179,4.6995187
180,4.6570444
181,4.615207
182,4.5739946
183,4.5333967
184,4.493402
185,4.4540067
186,4.415196
187,4.376961
188,4.3392954
189,4.3021846
190,4.2656236
191,4.229601
192,4.1941094
193,4.1591396
194,4.1246815
195,4.0907288
196,4.0572696
197,4.024298
198,3.9918063
199,3.9597826
200,3.9282238
201,3.8971186
202,3.866458
203,3.836236
204,3.8064475
205,3.7770803
206,3.7481294
207,3.7195888
208,3.6914485
209,3.6636984
210,3.6363404
211,3.6093585
212,3.5827515
213,3.5565119
214,3.5306315
215,3.505104
216,3.479923
217,3.455081
218,3.4305735
219,3.4063942
220,3.382537
221,3.3589942
222,3.3357635
223,3.312834
224,3.2902043
225,3.2678666
226,3.2458181
227,3.2240493
228,3.2025561
229,3.1813352
230,3.160381
231,3.1396859
232,3.119247
233,3.0990593
234,3.079118
235,3.059416
236,3.0399516
237,3.0207183
238,3.001714
239,2.9829314
240,2.9643672
241,2.9460204
242,2.9278815
243,2.9099488
244,2.892219
245,2.8746865
246,2.8573494
247,2.8402004
248,2.823241
249,2.8064637
250,2.789867
251,2.7734451
252,2.7571943
253,2.7411146
254,2.7252002
255,2.7094483
256,2.693857
257,2.6784215
258,2.6631377
259,2.6480079
260,2.6330209
261,2.6181822
262,2.6034842
263,2.5889237
264,2.574501
265,2.560211
266,2.546053
267,2.5320232
268,2.5181208
269,2.5043414
270,2.490683
271,2.4771457
272,2.463723
273,2.450417
274,2.4372222
275,2.424138
276,2.411163
277,2.3982944
278,2.3855312
279,2.3728702
280,2.3603094
281,2.3478482
282,2.335485
283,2.3232162
284,2.3110423
285,2.2989612
286,2.2869694
